排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
124,1308,亞聚,13.75,-0.3,-2.14,06/26,-504,-571,-1705,-1572,-3465,-5898,1621.0,14298.0,11412.0,14193.0
125,6182,合晶,119.5,-5.5,-4.4,06/26,4004,7394,1538,-1568,-59,-1689,-18356.0,-16855.0,12090.0,-16720.0
126,2645,長榮航太,170.5,-3.0,-1.73,06/26,1,-690,-1382,-1456,-1549,-2062,-4341.0,-452.0,1748.0,-376.0
127,00685L,群益臺灣加權正2,280.35,-24.7,-8.1,06/26,0,-148,-148,-1439,-3562,-3017,-2819.0,-2346.0,-1591.0,-2366.0
128,8039,台虹,137.5,-6.0,-4.18,06/26,127,142,-425,-1409,-4495,-1170,-2403.0,-2448.0,-4087.0,-2802.0
129,2360,致茂,2035.0,-150.0,-6.86,06/26,-153,-304,-729,-1394,-2374,-1654,-1893.0,-5028.0,-3257.0,-3996.0
130,2457,飛宏,27.0,-2.1,-7.22,06/26,411,514,-734,-1389,-1732,2337,-3201.0,-7856.0,10867.0,-8771.0
131,6257,矽格,224.0,-14.0,-5.88,06/26,-310,-1195,-1049,-1369,-1450,-6219,-6573.0,-1746.0,1879.0,-3286.0
132,6414,樺漢,361.5,-12.0,-3.21,06/26,-193,-432,-956,-1362,-1053,-182,-915.0,-884.0,29.0,-917.0
133,1785,光洋科,137.0,-5.5,-3.86,06/26,488,717,149,-1356,520,14729,34424.0,33179.0,20129.0,31718.0
134,00686R,群益臺灣加權反1,1.03,0.04,4.04,06/26,0,-296,-696,-1346,-1346,-1860,-1888.0,-2297.0,1911.0,-2523.0
135,1402,遠東新,28.5,-0.1,-0.35,06/26,850,1770,2309,-1328,-4086,-182711,-52806.0,20270.0,30652.0,18971.0
136,2329,華泰,53.4,-3.5,-6.15,06/26,790,824,-877,-1328,-1876,-8343,341.0,8367.0,1888.0,7404.0
137,00665L,富邦恒生國企正2,7.38,-0.23,-3.02,06/26,-376,-50,-90,-1324,-2459,-3389,-5911.0,-11785.0,-27581.0,-11794.0
138,00646,元大S&P500,73.35,-0.8,-1.08,06/26,7,-256,-313,-1319,-3198,-6358,3894.0,7737.0,6121.0,8615.0
139,1304,台聚,13.2,-0.2,-1.49,06/26,-1190,-1193,-1891,-1296,-3730,-3075,7075.0,22223.0,18942.0,21034.0
140,1904,正隆,21.25,-0.5,-2.3,06/26,85,25,-1106,-1281,-3198,-3228,-5329.0,-3900.0,-7888.0,-3808.0
141,2034,允強,19.9,-0.25,-1.24,06/26,-147,-117,-398,-1274,-3385,-2662,-3308.0,1348.0,14553.0,2569.0
142,8112,至上,91.2,-3.9,-4.1,06/26,112,484,-985,-1262,214,1994,18099.0,-13706.0,-5291.0,-15487.0
143,3036,文曄,215.5,-2.0,-0.92,06/26,-791,-382,-1571,-1261,14440,26069,41091.0,58775.0,76795.0,57313.0
144,3645,達邁,87.1,-4.5,-4.91,06/26,-280,-515,-639,-1207,-2166,-1774,-2301.0,-2574.0,-4088.0,-2625.0
145,2328,廣宇,48.0,-2.6,-5.14,06/26,1642,1980,1739,-1164,-1757,-3088,-5662.0,-15819.0,14149.0,-15982.0
146,3605,宏致,74.0,-3.5,-4.52,06/26,50,-191,-416,-1143,-1409,-2078,-1447.0,-964.0,1635.0,-928.0
147,2485,兆赫,52.2,-4.8,-8.42,06/26,48,164,79,-1124,-699,355,5167.0,1681.0,11502.0,1369.0
148,2486,一詮,225.0,-23.5,-9.46,06/26,-4,59,-254,-1121,-845,1282,741.0,-16819.0,-8222.0,-17526.0
149,2634,漢翔,49.2,0.8,1.65,06/26,-13,-136,-386,-1099,-2671,-4502,2663.0,-2378.0,2190.0,-4164.0
150,00987B,野村10+澳洲公債,15.93,0.03,0.19,06/26,0,0,0,-1050,-1050,-1050,-384.0,,,
151,2501,國建,24.15,-0.4,-1.63,06/26,-223,-26,-348,-1049,-1290,1208,3591.0,2586.0,-1902.0,2581.0
152,2106,建大,16.85,-0.1,-0.59,06/26,-106,-597,-1207,-1042,-966,-1474,1361.0,4182.0,5342.0,3945.0
153,5521,工信,10.15,-0.15,-1.46,06/26,-483,-537,-687,-1035,188,2632,7791.0,10935.0,8033.0,11331.0
154,8476,台境*,23.8,0.1,0.42,06/26,-301,-705,-782,-1030,-980,-608,475.0,1178.0,1107.0,1178.0
155,3008,大立光,4720.0,-445.0,-8.62,06/26,-210,-90,-538,-1024,-685,-1973,-4229.0,-320.0,2517.0,-798.0
156,8110,華東,57.0,-6.2,-9.81,06/26,-247,-63,-1192,-1015,-1067,280,2757.0,3297.0,7143.0,3297.0
157,9914,美利達,73.6,0.8,1.1,06/26,60,59,-352,-994,-1525,-2182,-809.0,905.0,-2217.0,838.0
158,00713,元大台灣高息低波,59.65,-1.2,-1.97,06/26,0,0,0,-979,-1093,-2288,3777.0,-16569.0,-46145.0,-15058.0
159,2338,光罩,47.5,-2.7,-5.38,06/26,540,664,-489,-976,-1893,2792,142.0,-840.0,2860.0,-847.0
160,3006,晶豪科,227.0,-13.0,-5.42,06/26,-8,-201,-559,-945,-1241,-376,-702.0,-5901.0,-8839.0,-3502.0
161,2492,華新科,540.0,-59.0,-9.85,06/26,-37,-38,-171,-914,-635,-715,-6260.0,-18489.0,-8195.0,-18539.0
162,2327,國巨*,1015.0,-110.0,-9.78,06/26,219,-82,-70,-900,-8265,-10676,-936.0,-9799.0,-2436.0,-14524.0
163,4919,新唐,168.5,-9.0,-5.07,06/26,709,1121,115,-898,-4893,-9082,-347.0,5906.0,7531.0,5502.0
164,6592,和潤企業,64.5,-0.9,-1.38,06/26,-12,121,177,-862,-1093,-1769,-1538.0,1880.0,58.0,1622.0
165,0050,元大台灣50,103.1,-4.1,-3.82,06/26,-638,1960,1854,-854,-8077,50186,6591.0,23480.0,54490.0,25672.0
166,8086,宏捷科,141.0,-9.5,-6.31,06/26,235,233,-524,-848,-1250,-1258,-3363.0,-2014.0,-4045.0,-1999.0
167,5534,長虹,78.7,-0.1,-0.13,06/26,102,208,-662,-845,-1932,386,6006.0,7188.0,7798.0,7306.0
168,4952,凌通,54.2,-2.7,-4.75,06/26,-178,-175,-321,-841,-889,-621,-1087.0,115.0,-322.0,115.0
169,00887,永豐中國科技50大,19.76,-0.39,-1.94,06/26,-30,-580,-898,-839,-791,644,-1764.0,-4372.0,-10808.0,-4372.0
170,4763,材料*-KY,43.5,-1.0,-2.25,06/26,1906,1371,537,-838,-3750,-6741,-9820.0,-8020.0,81394.0,-8301.0
171,3015,全漢,59.7,-1.5,-2.45,06/26,-79,-28,-603,-828,-547,-594,-766.0,-217.0,-756.0,-244.0
172,8096,擎亞,145.0,-10.5,-6.75,06/26,7,-27,-211,-817,-1288,-1503,-2750.0,-7840.0,-5767.0,-7830.0
173,1215,卜蜂,114.0,-1.0,-0.87,06/26,233,349,-364,-815,-3032,-3274,8252.0,12135.0,13798.0,11328.0
174,5347,世界,202.0,-18.0,-8.18,06/26,-3257,-1359,-952,-812,-3040,-22534,-8714.0,-21735.0,6096.0,-18721.0
175,1612,宏泰,37.05,-0.6,-1.59,06/26,47,28,25,-803,-1065,-780,-1109.0,-2170.0,-3383.0,-2302.0
176,2478,大毅,218.0,-24.0,-9.92,06/26,-74,-74,-156,-790,-818,1032,-673.0,-2568.0,2624.0,-2585.0
177,8261,富鼎,244.0,-11.5,-4.5,06/26,-335,-403,-333,-787,559,1801,1938.0,-1323.0,3199.0,-1302.0
178,2101,南港,31.15,-0.45,-1.42,06/26,-87,-147,-508,-786,-1990,-3845,-5149.0,210.0,-8184.0,72.0
179,3105,穩懋,424.0,-39.0,-8.42,06/26,2003,2839,-127,-785,-249,7604,9567.0,7108.0,-608.0,6828.0
180,2392,正崴,37.0,-1.75,-4.52,06/26,233,230,-230,-777,-2524,-6107,-7986.0,-7512.0,-5913.0,-7557.0
181,6757,台灣虎航,62.6,-3.0,-4.57,06/26,267,282,561,-774,-3020,-8358,-6730.0,-7036.0,92.0,-5704.0
182,4306,炎洲,15.9,0.0,0.0,06/26,10,20,-711,-772,-1174,-1549,-1357.0,-3305.0,-3548.0,-3303.0
183,6202,盛群,63.9,-6.5,-9.23,06/26,-50,-43,-446,-768,-1221,-690,-1224.0,-1185.0,683.0,-1310.0
184,5452,佶優,31.65,-1.75,-5.24,06/26,67,-126,-490,-765,-1041,-362,-1001.0,-658.0,-1184.0,-882.0
185,3189,景碩,797.0,-15.0,-1.85,06/26,-30,-28,-88,-754,-1088,-2061,-9562.0,-2669.0,-4533.0,-2728.0
186,00923,群益台ESG低碳50,41.18,-1.96,-4.54,06/26,0,0,0,-750,-985,-2931,-2163.0,329.0,-4780.0,329.0
187,2455,全新,348.0,-38.0,-9.84,06/26,-72,-103,-212,-748,-913,-2195,-2601.0,7.0,-4083.0,328.0
188,6190,萬泰科,81.6,-1.8,-2.16,06/26,-5,-96,-162,-733,-753,-1080,2330.0,-575.0,6007.0,-577.0
189,1611,中電,12.8,-0.2,-1.54,06/26,154,195,-583,-715,-874,33,854.0,-126.0,-1880.0,-280.0
190,6104,創惟,96.5,-6.0,-5.85,06/26,456,492,-259,-715,-833,-1114,-2694.0,-1511.0,2218.0,-1882.0
191,6239,力成,314.0,-12.0,-3.68,06/26,-88,-797,-1414,-708,1050,-8603,3506.0,8750.0,-2421.0,8774.0
192,5351,鈺創,87.3,-6.2,-6.63,06/26,35,224,-43,-699,-2571,-4112,-1351.0,-8769.0,-8837.0,-9612.0
193,3712,永崴投控,17.35,-1.2,-6.47,06/26,97,-35,-446,-694,-1030,-1526,-1919.0,-1336.0,2322.0,-1479.0
194,6672,騰輝電子-KY,292.0,2.5,0.86,06/26,417,370,-30,-690,-712,-804,1145.0,925.0,1822.0,746.0
195,3591,艾笛森,26.45,-0.8,-2.94,06/26,-428,-308,-702,-684,-668,-805,-681.0,639.0,-1031.0,631.0
196,0052,富邦科技,60.6,-2.4,-3.81,06/26,1047,1049,1562,-679,-1619,-4292,-23998.0,8562.0,19199.0,8377.0
197,2511,太子,8.06,-0.07,-0.86,06/26,-424,-465,-463,-668,-619,-394,1345.0,2304.0,-1128.0,2304.0
198,8054,安國,124.0,-6.0,-4.62,06/26,15,-91,-452,-657,-526,-553,92.0,-767.0,-257.0,-980.0
199,8016,矽創,311.0,-19.5,-5.9,06/26,-381,-232,-720,-644,-883,1722,2013.0,1076.0,1943.0,1107.0
200,3264,欣銓,214.5,-13.5,-5.92,06/26,70,-349,-277,-620,-801,-1664,900.0,217.0,-2343.0,-262.0
201,3357,臺慶科,300.5,-15.5,-4.91,06/26,6,-47,-32,-613,-532,-507,-717.0,-773.0,1828.0,-780.0
