排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
63,3014,聯陽,157.5,6.0,3.96,06/18,2.21,2.65,4.83,27.0,90.8,42.3,26.5,150.0,226.0,136.0
64,4958,臻鼎-KY,642.0,3.0,0.47,06/18,12.1,15.9,19.3,26.8,30.8,-12.1,53.1,-30.2,23.7,57.1
65,9917,中保科,117.0,-0.5,-0.43,06/18,4.64,7.97,15.0,26.8,15.1,16.0,-5.06,34.9,41.2,39.8
66,3709,鑫聯大投控,74.4,-0.2,-0.27,06/18,4.82,15.8,17.5,26.7,56.6,-21.7,17.0,-20.5,131.0,-28.2
67,3376,新日興,205.0,7.5,3.8,06/18,2.11,11.5,22.7,25.7,11.3,-10.9,7.04,77.2,138.0,79.5
68,7704,明遠精密,58.2,0.1,0.17,06/18,0.53,3.24,15.1,25.7,21.7,45.8,306.0,403.0,,403.0
69,00945B,凱基美國非投等債,14.43,-0.02,-0.14,06/18,25.6,25.6,25.6,25.6,25.6,25.6,18.0,46.6,-34.3,47.9
70,3556,禾瑞亞,74.0,-2.4,-3.14,06/18,41.7,41.7,25.1,25.1,16.6,54.4,268.0,923.0,201.0,923.0
71,7791,皇家可口,62.6,0.1,0.16,06/18,3.37,4.55,8.24,24.3,130.0,254.0,,,,
72,2439,美律,92.4,-0.4,-0.43,06/18,2.38,5.72,10.2,24.3,20.3,8.61,38.1,6.57,3.71,70.0
73,00984D,主動聯博全球非投,10.11,0.02,0.2,06/18,24.9,24.9,24.3,24.3,19.6,74.4,336.0,,,
74,6658,聯策,189.0,-1.0,-0.53,06/18,7.19,10.2,13.0,24.2,-9.01,-41.6,-46.5,-43.5,-30.4,-56.8
75,4155,訊映,15.3,0.0,0.0,06/18,3.47,10.0,13.2,24.1,80.9,112.0,144.0,134.0,38.3,134.0
76,6805,富世達,1755.0,40.0,2.33,06/18,1.3,3.39,3.93,23.5,18.0,33.3,26.4,55.5,-45.3,54.3
77,6016,康和證,28.8,0.05,0.17,06/18,15.6,16.8,17.1,23.2,34.5,43.8,39.9,173.0,-1.47,172.0
78,6788,華景電,438.0,3.0,0.69,06/18,-0.07,-0.79,6.85,23.0,23.9,28.7,127.0,99.1,97.8,245.0
79,3163,波若威,893.0,-10.0,-1.11,06/18,20.4,22.9,29.1,23.0,83.7,163.0,237.0,65.3,-28.8,148.0
80,7722,LINEPAY,328.0,9.0,2.82,06/18,3.69,12.0,19.3,22.9,89.1,54.7,58.7,93.1,886.0,90.1
81,2464,盟立,172.0,6.0,3.61,06/18,5.19,37.9,38.5,22.9,5.59,-14.1,-23.3,-54.1,-13.9,-52.2
82,4764,雙鍵,338.5,22.5,7.12,06/18,3.23,18.4,36.5,22.7,51.8,277.0,46.5,208.0,1688.0,95.0
83,6168,宏齊,28.3,0.4,1.43,06/18,1.45,6.78,22.8,22.6,18.0,2.89,25.1,45.8,133.0,49.7
84,6821,聯寶,67.6,6.1,9.92,06/18,-1.62,-0.98,2.36,22.6,22.6,45.5,143.0,48.3,70.8,48.3
85,00706L,期元大S&P日圓正2,18.85,-0.09,-0.48,06/18,0.0,0.0,0.0,22.5,22.5,22.5,9.3,1234.0,,1202.0
86,2114,鑫永銓,89.0,-0.4,-0.45,06/18,7.47,9.97,17.8,22.2,122.0,142.0,245.0,472.0,196.0,472.0
87,3285,微端,51.2,4.5,9.64,06/18,0.0,0.0,22.1,22.1,22.1,22.1,22.1,25.8,-49.4,22.1
88,5228,鈺鎧,75.5,2.4,3.28,06/18,-3.76,-5.53,-4.65,22.0,-8.48,-30.7,58.9,366.0,754.0,366.0
89,5871,中租-KY,114.0,-1.0,-0.87,06/18,1.84,6.11,11.1,21.9,53.6,170.0,246.0,-10.9,41.4,56.6
90,6831,邁科,773.0,33.0,4.46,06/18,7.83,0.56,0.56,21.8,54.3,116.0,,,,
91,5450,南良,14.25,0.05,0.35,06/18,0.0,6.33,6.33,21.7,21.7,21.7,25.4,61.5,12.0,61.5
92,6217,中探針,247.0,13.5,5.78,06/18,11.3,14.8,19.6,21.7,118.0,172.0,334.0,14.1,202.0,10.2
93,00999A,主動野村臺灣高息,11.31,0.12,1.07,06/18,0.0,59.3,59.3,21.7,29.7,105.0,,,,
94,3036,文曄,222.5,-1.5,-0.67,06/18,2.78,6.55,8.29,20.8,38.6,47.7,93.2,207.0,778.0,179.0
95,9941,裕融,81.4,0.0,0.0,06/18,1.33,4.98,9.82,20.7,50.7,93.4,30.6,304.0,106.0,204.0
96,4973,廣穎,193.5,2.0,1.04,06/18,13.1,20.1,20.1,20.1,4.88,-13.1,80.5,-47.5,3.47,-47.6
97,7730,暉盛-創,180.5,10.0,5.87,06/18,20.0,20.0,20.0,20.0,20.0,20.0,,,,
98,6690,安碁資訊,179.0,1.0,0.56,06/18,0.0,0.0,8.06,19.6,-13.0,15.5,-6.94,-53.8,-65.6,-53.8
99,8367,建新國際,40.3,-0.1,-0.25,06/18,10.5,13.7,16.0,19.6,58.9,68.1,17.2,41.5,-63.5,36.5
100,4749,新應材,991.0,51.0,5.43,06/18,6.07,6.73,15.4,19.6,57.2,42.4,32.9,9.41,397.0,15.7
101,1514,亞力,121.5,1.0,0.83,06/18,0.22,6.51,12.1,19.2,67.2,68.0,70.1,8.45,2.29,30.4
102,4939,亞電,64.9,0.1,0.15,06/18,4.1,11.3,20.7,19.1,63.5,5.34,39.4,-15.5,354.0,-24.4
103,3135,凌航,198.0,5.5,2.86,06/18,0.12,1.38,9.93,18.6,60.3,52.5,-21.8,296.0,,113.0
104,6189,豐藝,54.9,0.5,0.92,06/18,1.1,4.09,10.4,18.6,27.9,13.9,-7.21,26.0,-17.7,38.0
105,6291,沛亨,548.0,33.0,6.41,06/18,6.29,17.2,18.5,18.5,18.2,-10.6,81.3,10.5,564.0,-6.84
106,5508,永信建,61.7,0.6,0.98,06/18,6.88,8.47,9.69,18.4,29.1,43.2,86.7,-46.5,33.0,-11.3
107,00922,國泰台灣領袖50,41.22,0.61,1.5,06/18,0.0,4.81,13.7,18.4,-7.61,-29.6,-79.6,-66.5,-52.1,-56.7
108,2301,光寶科,210.5,0.5,0.24,06/18,-1.11,-3.15,0.48,18.4,-5.27,20.6,-38.4,91.2,44.6,318.0
109,3455,由田,242.0,14.0,6.14,06/18,6.22,13.2,20.9,18.4,18.2,63.1,-8.84,32.9,146.0,29.2
110,6865,偉康科技,26.25,0.5,1.94,06/18,0.0,0.0,8.33,18.2,30.0,30.0,160.0,,,1200.0
111,3010,華立,131.0,1.5,1.16,06/18,7.28,12.1,15.3,18.1,45.7,34.9,90.6,124.0,-11.9,87.6
112,3296,勝德,29.8,2.7,9.96,06/18,1.58,4.32,6.04,18.0,27.0,32.2,35.0,2.93,-12.1,2.12
113,4441,振大環球,200.0,-2.0,-0.99,06/18,3.6,9.09,14.3,18.0,22.0,41.2,,,,
114,3088,艾訊,145.0,4.0,2.84,06/18,-1.26,-2.06,-0.83,18.0,36.0,44.7,108.0,28.2,22.6,33.8
115,9136,巨騰-DR,16.7,0.05,0.3,06/18,2.44,3.97,8.74,17.8,76.3,129.0,25.2,66.1,23.6,66.1
116,1776,展宇,18.75,0.0,0.0,06/18,11.9,22.8,22.8,17.7,22.8,10.8,46.8,44.9,0.89,43.0
117,1568,倉佑,46.05,4.15,9.9,06/18,17.5,17.5,17.5,17.5,17.5,36.3,34.8,74.9,0.56,74.9
118,6620,漢達,81.8,7.4,9.95,06/18,1.39,7.22,7.88,17.5,24.3,42.3,,,,
119,1762,中化生,35.5,0.2,0.57,06/18,1.32,2.8,14.2,17.2,78.3,62.5,208.0,230.0,23.9,261.0
120,2342,茂矽,55.2,5.0,9.96,06/18,9.78,22.9,18.8,17.0,12.6,10.2,-12.6,-19.2,188.0,-15.5
121,6015,宏遠證,18.35,0.15,0.82,06/18,8.43,5.25,6.19,16.8,32.4,46.6,-9.76,3.53,-59.8,3.53
122,6614,資拓宏宇,40.9,-0.5,-1.21,06/18,0.0,16.7,16.7,16.7,,,,,,
123,6584,南俊國際,625.0,12.0,1.96,06/18,0.5,5.22,7.47,16.5,30.8,76.0,277.0,65.8,-24.7,71.5
124,2509,全坤建,14.55,0.55,3.93,06/18,2.44,3.18,1.71,16.3,18.4,18.8,13.7,14.4,-34.4,11.9
125,4938,和碩,82.9,-0.1,-0.12,06/18,1.67,2.96,4.68,15.8,51.8,140.0,443.0,135.0,598.0,219.0
126,3661,世芯-KY,4380.0,60.0,1.39,06/18,8.78,11.9,13.2,15.4,38.8,40.6,-34.1,40.8,45.2,61.3
127,00987A,主動台新優勢成長,17.83,0.47,2.71,06/18,0.0,15.3,15.3,15.3,15.3,34.5,295.0,,,392.0
128,6405,悅城,71.5,6.5,10.0,06/18,-0.6,-1.79,-0.77,15.2,15.2,42.8,64.8,68.9,-5.86,46.8
129,6180,橘子,50.3,-0.1,-0.2,06/18,3.67,9.26,10.5,15.2,22.6,41.7,22.5,-12.5,0.94,-12.7
130,3665,貿聯-KY,2100.0,10.0,0.48,06/18,9.72,10.8,11.8,15.2,19.9,14.4,-0.5,-37.3,18.9,-44.6
