" "," ","#","股票代號/名稱","類別","20260424","0430","0508","0515","0522","0529"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","91","2301光寶科","電腦週邊","0.73","0.46","1.71","0.15","-0.33","-0.18"," ","31","2.54"," ","80.24","234.50","4.00"," "
" "," ","92","3057喬鼎","電腦週邊","0.00","0.00","1.02","1.23","0.04","0.25"," ","31","2.54"," ","33.45","20.45","0.40"," "
" "," ","93","2472立隆電","電子零組件","0.05","-1.41","0.46","-0.72","0.08","4.06"," ","50","2.52"," ","61.54","371.00","0.00"," "
" "," ","94","4155訊映","生技醫療業","-0.01","0.00","0.57","0.31","1.09","0.52"," ","30","2.48"," ","42.99","14.80","-0.05"," "
" "," ","95","8213志超","電子零組件","1.44","-0.35","0.13","1.12","-0.29","0.41"," ","31","2.46"," ","51.55","39.00","0.10"," "
" "," ","96","2365昆盈","電腦週邊","0.02","-0.37","0.42","0.05","1.47","0.86"," ","30","2.45"," ","24.24","38.70","2.35"," "
" "," ","97","3043科風","其他電子","2.02","0.41","0.00","-0.06","0.16","-0.09"," ","30","2.44"," ","19.47","21.00","0.20"," "
" "," ","98","8210勤誠","電腦週邊","2.04","-0.44","0.99","1.49","-0.02","-1.68"," ","10","2.38"," ","71.53","1365.00","40.00"," "
" "," ","99","2497怡利電","汽車","1.78","0.08","0.23","-0.40","-0.21","0.88"," ","50","2.36"," ","68.90","59.70","-1.10"," "
" "," ","100","911608明輝-DR","存託憑證","0.15","1.20","0.22","0.14","0.28","0.33"," ","50","2.32"," ","29.06","2.67","0.00"," "
" "," ","101","6202盛群","半導體","-0.83","0.03","0.47","-0.05","1.12","1.56"," ","50","2.30"," ","37.79","58.70","-0.40"," "
" "," ","102","2426鼎元","光電","-0.82","1.72","0.16","0.20","0.30","0.68"," ","50","2.24"," ","50.69","81.20","0.30"," "
" "," ","103","6862三集瑞-KY","電子零組件","0.00","0.00","1.16","-1.16","1.01","1.22"," ","50","2.23"," ","71.95","224.50","20.00"," "
" "," ","104","4961天鈺","半導體","0.96","-0.36","0.28","0.54","1.17","-0.39"," ","30","2.20"," ","43.26","172.50","2.50"," "
" "," ","105","6224聚鼎","電子零組件","0.11","-0.52","3.76","-1.14","-0.13","0.10"," ","50","2.18"," ","38.97","95.00","6.30"," "
" "," ","106","3034聯詠","半導體","0.27","0.08","0.58","0.97","-0.31","0.55"," ","31","2.14"," ","70.63","477.00","-1.50"," "
" "," ","107","3311閎暉","通信網路","0.26","-0.42","0.85","0.10","-0.05","1.37"," ","31","2.11"," ","56.96","35.80","-0.65"," "
" "," ","108","2030彰源","鋼鐵","0.34","0.12","0.10","1.68","-0.14","-0.01"," ","31","2.09"," ","46.49","17.95","0.20"," "
" "," ","109","911868同方友友-DR","存託憑證","0.69","0.07","1.05","0.23","0.13","-0.09"," ","10","2.08"," ","35.36","1.30","0.03"," "
" "," ","110","5283禾聯碩","電器電纜","0.48","0.17","0.23","0.35","0.33","0.47"," ","31","2.03"," ","60.58","52.10","0.00"," "
" "," ","111","2353宏卅卅","電腦週邊","0.12","-0.06","0.48","0.21","0.42","0.85"," ","50","2.02"," ","40.87","35.20","3.20"," "
" "," ","112","8070長華*","電子通路","0.81","-0.12","0.49","0.05","-0.37","1.15"," ","31","2.01"," ","77.41","52.50","1.60"," "
" "," ","113","5234達興材料","光電","1.76","-0.48","-0.92","0.37","0.11","1.16"," ","31","2.00"," ","67.87","409.00","-2.50"," "
" "," ","114","6885全福生技","生技醫療業","0.87","-0.18","0.05","0.04","0.69","0.52"," ","30","1.99"," ","37.47","20.70","0.00"," "
" "," ","115","3011今皓","電子零組件","1.91","-0.09","-0.45","0.00","0.77","-0.17"," ","30","1.97"," ","34.49","13.20","0.05"," "
" "," ","116","4912聯德控股-KY","電子零組件","0.39","-0.87","-0.02","1.69","0.86","-0.09"," ","10","1.96"," ","54.34","115.00","9.00"," "
" "," ","117","2357華碩","電腦週邊","0.30","-0.39","0.46","0.75","-0.02","0.82"," ","31","1.92"," ","72.97","761.00","69.00"," "
" "," ","118","910861神州-DR","存託憑證","1.47","0.14","0.14","0.14","1.29","-1.28"," ","30","1.90"," ","35.28","4.58","0.08"," "
" "," ","119","3545敦泰","半導體","0.22","0.27","0.18","0.83","0.82","-0.47"," ","10","1.85"," ","24.88","59.50","1.30"," "
" "," ","120","6534正瀚-創","生技醫療業","0.15","0.44","0.13","0.30","0.20","0.61"," ","31","1.83"," ","82.03","96.00","0.00"," "
" "," ","121","3014聯陽","半導體","-0.33","-0.31","0.41","-1.64","1.57","2.12"," ","50","1.82"," ","35.56","154.00","5.50"," "
" "," ","122","3026禾伸堂","電子零組件","-0.24","-1.45","0.17","1.35","0.91","1.06"," ","31","1.80"," ","56.27","641.00","36.00"," "
" "," ","123","2316楠梓電","電子零組件","0.15","-0.45","1.26","0.28","2.18","-1.63"," ","30","1.79"," ","65.13","168.50","0.00"," "
" "," ","124","1721三晃","化學","8.16","-2.01","1.34","-2.19","-1.32","-2.20"," ","30","1.78"," ","39.97","28.25","-0.25"," "
" "," ","125","6446藥華藥","生技醫療業","-0.40","0.36","0.24","1.08","0.20","0.29"," ","31","1.77"," ","56.43","930.00","68.00"," "
" "," ","126","8473山林水","綠能","-0.07","-0.02","-0.35","-0.26","1.23","1.23"," ","40","1.76"," ","68.92","50.40","4.45"," "
" "," ","127","7610聯友金屬-創","綠能","0.95","1.15","-1.98","-1.18","2.05","0.75"," ","30","1.74"," ","48.03","1475.00","130.00"," "
" "," ","128","1626艾美特-KY","電器電纜","1.14","0.15","0.13","0.20","0.02","0.08"," ","31","1.72"," ","69.64","9.99","0.02"," "
" "," ","129","3406玉晶光","光電","1.53","-1.12","0.48","-0.34","0.21","0.95"," ","50","1.71"," ","56.62","603.00","31.00"," "
" "," ","130","1527鑽全","電機","-0.02","0.49","0.11","0.60","0.07","0.44"," ","31","1.69"," ","31.36","33.00","0.25"," "
