"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"6751","智聯服務","48.8","-0.6","-1.21","05/12","+2","+4","5.05","0.02","0","0","0","0","0","0","0","0","+2","+4","5.05","0.02"
"6831","邁科","626","+32","+5.39","05/12","+2","+689","15.8","1.02","-1","-1","-0.04","0","-1","-16","-0.75","-0.02","+2","+845","19.4","1.25"
"6844","諾貝兒","64.6","-0.3","-0.46","05/12","+2","+3","7.12","0.01","0","0","0","0","0","0","0","0","+2","+3","7.12","0.01"
"6861","睿生光電","426","+37","+9.51","05/12","+2","+54","5.79","0.13","0","0","0","0","+2","+51","5.46","0.12","+2","+105","11.2","0.25"
"6877","鏵友益","169","+6","+3.68","05/12","+2","+34","4.4","0.07","0","0","0","0","+1","+1","0.13","0","+2","+34","4.4","0.07"
"6890","來億-KY","168.5","+7.5","+4.66","05/12","+2","+521","36.3","0.21","0","0","0","0","-1","-32","-3.64","-0.01","+2","+489","34.1","0.2"
"6909","創控","57.2","+0.9","+1.6","05/12","+2","+214","9.79","0.32","0","0","0","0","-1","-2","-0.12","0","+2","+213","9.76","0.32"
"6922","宸曜","183","+4","+2.23","05/12","+2","+38","14","0.14","0","0","0","0","+2","+28","10.5","0.1","+2","+66","24.4","0.24"
"6929","佑全","24.2","-0.6","-2.42","05/12","+2","+4","9.61","0.01","0","0","0","0","0","0","0","0","+2","+4","9.61","0.01"
"6933","AMAX-KY","179","+16","+9.82","05/12","+2","+62","8.12","0.15","0","0","0","0","+1","+6","1.07","0.02","+2","+68","8.85","0.16"
"6994","富威電力","63.9","-0.4","-0.62","05/12","+2","+67","11.5","0.09","0","0","0","0","-4","-9","-0.63","-0.01","+2","+62","10.7","0.08"
"7704","明遠精密","60.7","+2.4","+4.12","05/12","+2","+58","17.8","0.17","0","0","0","0","0","0","0","0","+2","+58","17.8","0.17"
"7713","威力德生醫","68.5","+0.5","+0.74","05/12","+2","+4","14.9","0.01","0","0","0","0","0","0","0","0","+2","+4","14.9","0.01"
"7782","光速火箭","26.85","-0.2","-0.74","05/12","+2","+16","27","0.07","0","0","0","0","+1","+3","12","0.01","+2","+19","32.1","0.08"
