排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
44,6409,旭隼,708.0,-8.0,-1.12,05/18,67.7,55.6,61.2,63.0,63.4,61.4,62.6,64.1,66.6,71.1,70.8,59.7
45,2382,廣達,300.0,-6.0,-1.96,05/18,64.2,61.8,61.2,58.2,49.8,48.6,45.3,46.7,43.0,35.7,41.4,43.9
46,2636,台驊控股,64.6,-0.7,-1.07,05/18,75.4,63.8,61.0,56.7,43.7,37.3,30.0,31.7,34.4,33.4,19.8,31.1
47,2885,元大金,54.3,-0.5,-0.91,05/18,57.3,55.6,61.0,59.1,56.4,58.2,62.3,54.1,54.0,53.0,48.0,58.7
48,2385,群光,127.0,3.5,2.83,05/18,57.9,60.7,60.9,58.6,51.1,44.9,48.6,46.3,46.8,49.3,53.5,46.4
49,2360,致茂,2185.0,-55.0,-2.46,05/18,66.2,68.1,60.5,60.1,59.6,58.2,58.1,60.2,61.5,63.2,54.5,56.7
50,2610,華航,18.35,-0.15,-0.81,05/18,59.6,55.5,60.4,49.8,42.3,46.9,58.5,50.9,50.6,35.0,24.1,49.1
51,2903,遠百,22.05,-0.2,-0.9,05/18,68.8,59.9,60.4,55.4,52.0,57.6,47.2,49.1,46.4,39.8,32.3,41.2
52,2013,中鋼構,41.8,-0.25,-0.59,05/18,48.1,67.0,60.2,55.9,45.7,44.9,30.6,32.9,28.8,23.0,13.1,34.4
53,2883,凱基金,21.35,-0.5,-2.29,05/18,78.2,62.5,60.1,56.5,43.7,40.5,46.4,40.4,47.5,42.3,36.1,41.0
54,2393,億光,61.7,-0.8,-1.28,05/18,75.6,63.4,60.1,58.2,52.8,48.8,41.0,37.4,40.3,40.4,30.6,39.4
55,1235,興泰,38.85,-0.75,-1.89,05/18,90.2,51.6,59.8,60.6,34.9,21.7,21.8,23.1,20.2,19.8,4.27,22.8
56,2603,長榮,197.5,-3.0,-1.5,05/18,74.6,66.5,59.8,54.6,39.8,38.6,37.9,39.6,38.7,32.4,17.7,38.4
57,4942,嘉彰,36.95,-0.15,-0.4,05/18,33.2,50.6,59.7,52.0,35.8,26.9,28.2,30.5,30.1,25.6,17.6,28.6
58,2838,聯邦銀,20.25,0.15,0.75,05/18,49.7,57.9,59.7,59.8,48.7,55.5,42.8,41.8,43.6,44.2,34.4,40.2
59,6906,現觀科,63.7,-1.1,-1.7,05/18,59.4,59.2,59.4,48.6,43.1,35.6,26.2,14.3,7.81,,,22.4
60,2617,台航,28.75,0.1,0.35,05/18,39.6,61.8,59.3,54.6,44.9,47.6,37.0,33.0,31.7,29.8,18.9,35.1
61,8070,長華*,43.55,-1.6,-3.54,05/18,76.2,69.7,59.2,52.9,42.6,34.6,22.1,10.9,4.81,1.26,0.67,20.6
62,6782,視陽,190.5,1.5,0.79,05/18,54.4,57.1,58.9,62.3,53.7,44.8,35.1,36.6,36.4,32.0,,35.4
63,2201,裕隆,26.65,-0.25,-0.93,05/18,69.1,59.9,58.9,52.1,38.5,38.1,38.7,37.6,36.3,29.4,24.0,40.0
64,2345,智邦,2495.0,-10.0,-0.4,05/18,71.0,75.6,58.9,63.0,54.7,52.4,51.7,48.1,47.0,52.7,36.7,49.5
65,6026,福邦證,15.15,-0.25,-1.62,05/18,55.2,58.6,58.8,47.1,30.9,26.3,25.1,22.2,20.3,20.4,15.6,23.2
66,2034,允強,19.7,-0.15,-0.76,05/18,59.8,65.1,58.7,49.5,38.4,33.6,36.4,31.6,35.7,31.1,20.8,33.8
67,6741,91APP*-KY,61.2,0.3,0.49,05/18,66.0,61.6,58.6,52.4,40.8,33.0,45.6,43.2,44.1,33.6,,43.0
68,2330,台積電,2240.0,-25.0,-1.1,05/18,59.0,55.4,58.5,63.5,64.5,62.2,63.2,61.1,55.9,56.8,59.9,62.2
69,8464,億豐,316.0,1.0,0.32,05/18,76.8,54.5,58.4,65.9,72.1,72.4,53.2,19.9,11.3,3.94,2.14,31.6
70,6589,台康生技,44.4,-0.2,-0.45,05/18,72.2,62.2,58.2,51.0,48.3,39.8,38.1,36.3,34.1,26.9,,37.2
71,3293,鈊象,717.0,-4.0,-0.55,05/18,61.5,60.7,58.0,51.0,47.4,41.6,34.8,39.9,40.5,37.4,21.4,34.3
72,3023,信邦,294.0,13.0,4.63,05/18,40.5,55.5,58.0,55.2,45.1,37.4,43.2,48.0,53.6,56.7,43.3,44.6
73,6670,復盛應用,262.0,-1.0,-0.38,05/18,51.4,59.2,58.0,47.0,50.0,45.2,45.5,41.5,54.0,46.1,,44.4
74,2002,中鋼,18.2,0.05,0.28,05/18,63.7,56.8,57.6,56.9,51.5,57.2,48.6,42.9,46.7,47.4,36.5,42.1
75,1227,佳格,28.3,-0.2,-0.7,05/18,58.2,58.8,57.3,52.3,48.6,49.3,43.5,40.2,40.9,32.7,43.1,40.8
76,2867,三商壽,7.69,-0.03,-0.39,05/18,45.2,55.0,57.1,48.9,35.3,35.9,41.6,30.1,25.9,21.8,22.0,35.5
77,9904,寶成,26.35,0.35,1.35,05/18,56.0,53.2,56.8,57.8,60.5,62.9,44.3,26.2,11.1,3.7,1.44,38.2
78,2515,中工,12.15,-0.1,-0.82,05/18,53.1,48.8,56.8,52.7,46.9,46.8,36.0,38.3,33.6,27.5,20.9,36.0
