"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"190","2324","仁寶","31.3","+1.4","+4.68","05/13","0.1","1.02","1","0.93","2.12","7.51","6.81","7.96","7.4","5.46","3.86","6.3"
"191","6768","志強-KY","87.7","-2.7","-2.99","05/13","1.04","1.01","0.87","0.93","0.66","0.65","2.11","5.87","3.95","2.55","","5.65"
"192","5904","寶雅","562","+1","+0.18","05/13","0","1.46","0.98","0.92","2.23","3.44","1.8","1.72","13.1","7.08","4.79","1.59"
"193","2441","超豐","97.3","+0.8","+0.83","05/13","1.13","1.03","0.91","0.91","1.26","1.04","3.28","1.79","2.08","2.05","2.99","2.37"
"194","3029","零壹","97.1","-1.9","-1.92","05/13","0.47","0.7","0.92","0.9","0.38","0.31","0.22","0.47","0.51","0.3","0.16","0.28"
"195","1477","聚陽","229","+0.5","+0.22","05/13","0.16","1.16","1.02","0.88","2.47","8.46","4.89","10.4","9.05","6.64","4.61","5.9"
"196","2615","萬海","74.3","-2.6","-3.38","05/13","0.15","0.23","0.42","0.88","1.18","3.2","4.78","11.1","4.91","2.18","1.14","4.7"
"197","6217","中探針","341","+31","+10","05/13","0","1.19","1.04","0.88","0.54","0.25","0.04","0.01","0.01","0","0.32","0.02"
"198","3711","日月光投控","548","-7","-1.26","05/13","1.44","0.86","0.72","0.87","1.27","2.25","2.44","5.86","6.75","5.47","","2.52"
"199","1590","亞德客-KY","1480","-55","-3.58","05/13","3.18","2.95","1.62","0.85","1.1","0.77","1.12","0.81","1.07","2.11","2.07","0.88"
"200","6213","聯茂","273.5","-12","-4.2","05/13","2.02","1.18","1.06","0.81","1.19","0.67","0.27","0.51","0.53","0.87","2.41","0.3"
"201","6803","崑鼎","285.5","-1","-0.35","05/13","0","0","1.17","0.8","0.59","0.29","0.12","0.63","0.78","0.6","0.67","0.82"
"202","5515","建國","39","+0.95","+2.5","05/13","0.76","0.65","0.33","0.78","1.45","1.3","0.8","0.41","0.92","0.21","0.13","0.67"
"203","6285","啟碁","270.5","-11.5","-4.08","05/13","2.34","1","0.76","0.77","0.92","1.7","1.27","0.98","2.02","3.16","3.13","0.97"
"204","2312","金寶","29.1","-0.35","-1.19","05/13","2.28","1.14","0.73","0.76","0.36","0.39","1.05","0.72","0.52","0.2","0.17","0.79"
"205","1815","富喬","105.5","-2.5","-2.31","05/13","2.13","1.55","1.09","0.75","0.62","0.59","1.15","0.66","0.38","0.24","0.33","0.91"
"206","1513","中興電","155.5","-1.5","-0.96","05/13","0.14","0.23","0.2","0.74","1.12","2.29","1.37","1.15","0.99","0.82","0.76","1.1"
"207","6449","鈺邦","218","+19.5","+9.82","05/13","0","0","0","0.74","1.54","3.44","1.91","1.05","1.2","0.93","1.08","1.19"
"208","00881","國泰台灣科技龍頭","50.05","-0.9","-1.77","05/13","2.83","1.54","1.18","0.73","0.4","0.51","0.38","0.43","0.4","0.35","","0.51"
"209","6231","系微","306","-5.5","-1.77","05/13","3.92","1.92","1.79","0.7","0.4","0.15","0.08","0.06","0.13","0.58","0.39","0.07"
"210","6488","環球晶","750","-35","-4.46","05/13","1.45","0.99","1.5","0.69","1.23","1.75","3.18","3.12","3.78","3.94","2.05","2.75"
"211","5483","中美晶","148.5","-6.5","-4.19","05/13","0.26","0.1","0.08","0.69","0.68","3.25","2.4","3.65","4.9","6.4","2.62","2.92"
