20260320 大股東(>400張)持有張數成長率
" "," ","#","股票代號/名稱","類別","20260206","0211","0226","0306","0313","0320"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","157","5215科嘉-KY","電腦週邊","0.16","0.16","0.13","0.09","0.00","0.68"," ","31","1.22"," ","51.14","38.10","-0.50"," "
" "," ","158","3056富華新","營建","0.22","0.03","0.07","0.15","0.59","0.16"," ","30","1.22"," ","30.46","15.10","0.60"," "
" "," ","159","8101華冠","通信網路","-0.01","0.00","0.02","0.00","1.20","0.01"," ","30","1.22"," ","81.61","14.15","-0.10"," "
" "," ","160","6120達運","光電","0.28","-0.31","0.40","0.30","0.30","0.22"," ","20","1.19"," ","59.13","13.95","0.60"," "
" "," ","161","2211長榮鋼","鋼鐵","0.26","-0.25","0.57","0.12","0.32","0.17"," ","30","1.19"," ","83.06","100.50","0.50"," "
" "," ","162","3530晶相光","半導體","-0.53","0.53","-0.52","0.52","0.54","0.65"," ","50","1.19"," ","57.86","61.50","-0.40"," "
" "," ","163","9906欣巴巴","營建","0.21","0.44","-0.01","0.36","0.07","0.11"," ","31","1.18"," ","77.40","39.95","-0.75"," "
" "," ","164","2939凱羿-KY","貿易百貨","0.12","0.04","0.02","0.01","0.01","0.98"," ","41","1.18"," ","75.44","26.45","0.45"," "
" "," ","165","2637慧洋-KY","航運","-0.01","0.23","0.52","0.18","-0.07","0.32"," ","31","1.17"," ","79.50","70.30","-1.40"," "
" "," ","166","912000晨訊科-DR","存託憑證","0.00","0.54","0.08","0.09","0.04","0.42"," ","31","1.17"," ","30.39","2.54","-0.01"," "
" "," ","167","3015全漢","電子零組件","-0.28","-0.06","0.79","0.67","-0.04","0.08"," ","31","1.16"," ","64.48","51.10","0.00"," "
" "," ","168","2329華泰","半導體","0.24","0.03","-0.21","0.28","-0.12","0.93"," ","31","1.15"," ","54.84","62.10","1.80"," "
" "," ","169","2520冠德","營建","0.51","0.03","-0.31","0.13","0.56","0.22"," ","30","1.14"," ","69.61","33.05","1.35"," "
" "," ","170","5907大洋-KY","貿易百貨","0.13","0.05","0.03","0.37","0.42","0.13"," ","30","1.13"," ","70.08","5.93","0.09"," "
" "," ","171","2492華新科","電子零組件","-1.05","-0.18","4.09","-0.64","-0.85","-0.24"," ","31","1.13"," ","58.27","131.50","-5.50"," "
" "," ","172","5706鳳凰","觀光","0.00","0.50","0.71","-0.45","0.21","0.16"," ","30","1.13"," ","40.10","52.10","0.60"," "
" "," ","173","6670復盛應用","運動","0.04","0.19","0.14","0.12","0.67","-0.04"," ","30","1.12"," ","79.02","281.00","9.50"," "
" "," ","174","2305全友","電腦週邊","0.02","-0.03","0.22","-0.04","-0.18","1.13"," ","31","1.12"," ","69.36","14.85","0.05"," "
" "," ","175","4551智伸科","汽車","-0.02","0.38","0.35","0.15","0.11","0.15"," ","31","1.12"," ","79.52","127.50","1.00"," "
" "," ","176","8249菱光","電子零組件","-0.43","-0.40","0.63","0.13","0.65","0.54"," ","30","1.12"," ","58.32","50.90","-0.20"," "
" "," ","177","1752南光","生技醫療業","0.01","0.00","0.00","0.45","0.13","0.51"," ","31","1.10"," ","63.69","36.25","-0.15"," "
" "," ","178","2851中再保","金融","0.13","0.10","0.28","0.23","-0.03","0.39"," ","31","1.10"," ","70.56","30.50","0.15"," "
" "," ","179","2241艾姆勒","汽車","0.17","-0.30","0.07","0.30","0.58","0.27"," ","30","1.09"," ","41.06","31.85","0.35"," "
" "," ","180","2451創見","半導體","-0.20","-0.19","-0.91","-0.18","0.74","1.82"," ","50","1.08"," ","81.02","302.00","-7.00"," "
" "," ","181","2460建通","電子零組件","0.21","-0.24","-0.16","0.50","1.00","-0.23"," ","30","1.08"," ","62.65","25.85","0.65"," "
" "," ","182","9911櫻花","居家","0.00","0.20","-0.11","0.17","0.64","0.18"," ","30","1.08"," ","69.89","90.80","0.50"," "
" "," ","183","1460宏遠","紡織","0.00","0.14","0.05","0.32","0.28","0.29"," ","31","1.08"," ","69.60","7.03","0.11"," "
" "," ","184","2345智邦","通信網路","-0.07","0.93","-0.24","0.40","0.14","-0.08"," ","10","1.08"," ","71.25","1610.00","20.00"," "
" "," ","185","3002歐格","電腦週邊","0.06","0.59","0.05","-0.06","-0.02","0.45"," ","50","1.07"," ","66.11","20.15","-0.10"," "
" "," ","186","9912偉聯","電腦週邊","0.14","0.07","0.06","0.19","-0.17","0.78"," ","31","1.07"," ","59.22","12.60","0.05"," "
" "," ","187","2430燦坤","電子通路","0.34","0.17","0.10","0.26","0.08","0.11"," ","31","1.06"," ","64.09","22.25","0.05"," "
" "," ","188","8213志超","電子零組件","0.15","-0.07","0.66","0.69","-0.38","-0.01"," ","31","1.04"," ","48.92","33.05","-0.75"," "
" "," ","189","6196帆宣","其他電子","-0.11","0.05","-0.60","1.30","-0.04","0.44"," ","31","1.04"," ","71.49","288.00","7.50"," "
" "," ","190","3454晶睿","光電","-0.01","-0.95","0.85","0.94","0.24","-0.04"," ","10","1.03"," ","70.07","",""," "
