排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
2162,2881C,富邦金丙特,51.4,-0.1,-0.19,26W33,08/14,10.8,-0.01,12.8,-0.01,15.0,-0.01,16.8,0.0
2163,2206,三陽工業,60.9,0.0,0.0,26W33,08/14,11.3,-0.02,12.9,0.0,14.9,-0.05,15.8,0.03
2164,1439,雋揚,28.55,-0.2,-0.7,26W33,08/14,10.5,0.02,12.4,-0.1,14.8,-0.2,18.3,-0.84
2165,8046,南電,1305.0,90.0,7.41,26W33,08/14,9.5,-0.03,11.5,0.03,14.8,0.08,16.8,0.07
2166,6579,研揚,154.0,-3.0,-1.91,26W33,08/14,11.1,0.47,12.2,0.66,14.8,0.68,16.4,0.05
2167,1907,永豐餘,28.95,-0.95,-3.18,26W33,08/14,10.4,-0.12,12.3,-0.13,14.7,-0.09,16.1,-0.13
2168,3086,華義*,26.5,-0.3,-1.12,26W33,08/14,11.1,-0.06,13.1,-0.01,14.7,0.0,15.5,0.0
2169,2836,高雄銀,11.8,-0.1,-0.84,26W33,08/14,10.1,0.02,12.3,0.03,14.6,0.02,16.2,0.07
2170,6592A,和潤企業甲特,95.3,-0.1,-0.1,26W33,08/14,10.3,0.0,11.4,0.0,14.6,0.0,24.2,0.0
2171,6464,台數科,79.0,2.1,2.73,26W33,08/14,7.2,0.07,10.3,-0.01,14.6,-0.01,17.7,-0.01
2172,6023,元大期,84.6,-0.6,-0.7,26W33,08/14,10.7,0.12,12.6,0.07,14.6,0.18,15.5,0.2
2173,5489,彩富,42.25,-0.15,-0.35,26W33,08/14,10.3,0.01,12.6,0.0,14.6,0.0,17.4,0.0
2174,4907,富宇,45.9,-0.7,-1.5,26W33,08/14,9.85,-0.11,12.0,-0.07,14.5,-0.06,15.5,0.01
2175,5902,德記,34.95,0.2,0.58,26W33,08/14,9.77,-0.05,11.8,0.08,14.5,0.08,16.7,0.08
2176,1726,永記,77.5,-0.5,-0.64,26W33,08/14,11.0,0.08,13.0,0.02,14.5,0.02,15.3,0.02
2177,2706,第一店,12.5,0.0,0.0,26W33,08/14,9.4,-0.01,11.8,0.01,14.4,0.01,16.0,0.0
2178,5206,坤悅,22.45,-0.05,-0.22,26W33,08/14,9.6,-0.21,11.8,0.08,14.4,-0.08,17.2,-0.08
2179,8921,沈氏,17.45,0.0,0.0,26W33,08/14,6.54,0.0,9.64,0.0,14.4,0.0,22.7,0.0
2180,1456,怡華,13.85,0.3,2.21,26W33,08/14,8.15,-0.01,9.65,-0.01,14.3,-0.03,15.7,-0.03
2181,2882,國泰金,101.5,2.0,2.01,26W33,08/14,11.1,-0.02,12.8,-0.03,14.3,-0.04,15.4,-0.04
2182,2395,研華,683.0,-15.0,-2.15,26W33,08/14,7.19,0.08,10.2,0.02,14.2,-0.01,17.9,0.09
2183,2530,華建,19.4,-0.1,-0.51,26W33,08/14,8.27,-0.02,10.9,-0.14,14.1,-0.03,15.8,-0.07
2184,4583,台灣精銳,493.5,-18.5,-3.61,26W33,08/14,8.48,0.77,10.6,0.68,14.1,0.23,16.0,0.92
2185,2897,王道銀行,10.05,-0.1,-0.99,26W33,08/14,9.08,-0.01,11.4,0.0,14.1,0.0,16.1,-0.03
2186,8444,綠河-KY,5.01,0.15,3.09,26W33,08/14,7.93,0.01,10.9,0.01,14.0,0.01,19.4,0.0
2187,5531,鄉林,7.45,0.0,0.0,26W33,08/14,9.54,0.09,11.8,0.02,14.0,0.12,15.3,0.14
2188,2887E,台新新光戊特一,48.75,0.05,0.1,26W33,08/14,9.74,0.05,11.8,0.13,13.9,0.14,14.4,0.14
2189,4560,強信-KY,32.05,-0.4,-1.23,26W33,08/14,8.01,0.02,10.2,0.07,13.8,-0.01,15.2,0.0
2190,1303,南亞,207.5,18.5,9.79,26W33,08/14,10.6,-0.02,12.1,0.01,13.8,0.01,14.8,0.03
2191,6655,科定,116.5,-0.5,-0.43,26W33,08/14,6.96,0.01,9.87,0.01,13.8,0.01,16.8,0.01
2192,4994,傳奇,85.1,-2.2,-2.52,26W33,08/14,8.0,0.0,9.76,0.0,13.8,0.0,17.7,-0.01
2193,3115,富榮綱,8.7,0.0,0.0,26W33,08/14,8.39,0.0,10.6,-0.14,13.7,0.0,13.7,0.0
2194,5906,台南-KY,36.8,0.0,0.0,26W33,08/14,6.43,0.0,9.7,0.0,13.7,0.0,14.9,0.0
2195,2762,世界健身-KY,82.6,-0.9,-1.08,26W33,08/14,9.74,-0.01,11.7,-0.18,13.7,0.02,16.2,0.01
2196,5213,亞昕,20.95,-0.05,-0.24,26W33,08/14,10.5,0.02,12.3,0.0,13.7,-0.04,14.8,0.03
2197,6908,宏碁遊戲-創,32.8,-0.45,-1.35,26W33,08/14,8.89,0.01,10.7,0.0,13.6,0.0,13.6,0.0
2198,2881,富邦金,129.5,1.0,0.78,26W33,08/14,10.6,-0.02,12.1,-0.02,13.5,-0.02,14.4,-0.01
2199,3711,日月光投控,616.0,-10.0,-1.6,26W33,08/14,9.52,-0.1,11.1,-0.07,13.5,0.02,15.6,-0.09
2200,2701,萬企,10.6,0.0,0.0,26W33,08/14,9.48,-0.03,11.5,0.08,13.4,0.0,14.4,0.0
2201,2633,台灣高鐵,25.9,-0.05,-0.19,26W33,08/14,10.6,-0.03,12.1,-0.01,13.2,-0.03,14.0,-0.02
2202,6952,大武山,37.85,-0.55,-1.43,26W33,08/14,10.3,-0.01,11.9,0.0,13.2,0.0,13.2,0.0
2203,3629,地心引力,14.15,0.9,6.79,26W33,08/14,8.58,-0.06,12.3,0.0,13.1,0.0,16.0,0.0
2204,8464,億豐,377.0,9.0,2.45,26W33,08/14,4.5,0.07,7.63,0.06,13.1,0.09,16.4,-0.14
2205,3332,幸康,64.0,1.5,2.4,26W33,08/14,7.73,0.0,9.52,0.0,13.0,0.0,14.2,0.0
2206,3226,龍鋒,51.8,0.2,0.39,26W33,08/14,5.83,-0.12,7.71,-0.12,13.0,-0.14,22.9,-0.14
2207,2539,櫻花建,41.3,-0.5,-1.2,26W33,08/14,8.72,0.04,10.7,0.01,13.0,0.01,14.2,0.05
2208,2867,三商壽,9.75,0.13,1.35,26W33,08/14,8.5,-0.17,10.8,-0.2,13.0,-0.23,14.4,-0.26
2209,8488,吉源-KY,9.94,0.02,0.2,26W33,08/14,7.49,0.0,9.82,0.0,12.9,0.0,15.4,0.0
2210,1442,名軒,29.8,-0.05,-0.17,26W33,08/14,7.65,-0.06,9.62,-0.09,12.8,-0.15,15.3,-0.27
2211,1470,大統新創,23.3,-0.7,-2.92,26W33,08/14,5.12,-0.24,8.06,0.02,12.8,0.02,18.8,-0.02
2212,2722,夏都,21.75,-0.1,-0.46,26W33,08/14,9.87,-0.02,11.5,-0.02,12.8,-0.01,13.8,0.0
2213,2373,震旦行,53.3,-0.3,-0.56,26W33,08/14,10.9,0.0,11.9,0.0,12.7,0.0,12.9,0.0
2214,5013,強新,27.55,1.25,4.75,26W33,08/14,6.82,-0.02,8.88,-0.02,12.7,0.0,15.0,0.0
2215,2615,萬海,90.6,3.1,3.54,26W33,08/14,10.3,-0.61,11.4,-0.63,12.5,-0.63,13.6,-0.62
2216,2330,台積電,2395.0,-40.0,-1.64,26W33,08/14,9.97,-0.05,11.1,-0.05,12.5,-0.06,13.6,-0.05
2217,6171,大城地產,23.8,-0.55,-2.26,26W33,08/14,8.68,0.1,10.6,0.0,12.4,0.0,15.3,0.0
2218,6548,長科*,72.6,-1.9,-2.55,26W33,08/14,9.84,-0.08,10.8,-0.14,12.3,-0.06,13.3,-0.02
2219,5007,三星,56.1,-0.2,-0.36,26W33,08/14,6.17,0.01,9.15,0.07,12.3,0.07,13.9,0.07
2220,00689R,國泰20年美債反1,22.85,-0.05,-0.22,26W33,08/14,0.37,-0.05,3.03,2.61,12.2,-1.21,26.1,-2.24
2221,6101,寬魚國際,35.35,-0.55,-1.53,26W33,08/14,8.39,0.01,10.7,0.01,12.2,0.1,14.5,0.1
2222,6230,尼得科超眾,109.0,-3.5,-3.11,26W33,08/14,11.2,0.11,11.9,0.0,12.2,0.0,12.2,0.0
2223,3054,立萬利,48.55,-0.05,-0.1,26W33,08/14,7.9,-0.11,9.89,-0.13,12.1,-0.01,12.8,0.0
2224,2514,龍邦,12.1,-0.15,-1.22,26W33,08/14,7.83,-0.05,9.71,0.06,11.9,0.01,12.8,0.01
2225,9929,秋雨,11.4,0.0,0.0,26W33,08/14,6.44,0.01,8.88,0.13,11.9,0.12,15.4,0.12
2226,5876,上海商銀,42.35,0.1,0.24,26W33,08/14,5.23,0.05,7.91,0.1,11.9,0.09,14.4,0.1
