"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"197","3661","世芯-KY","4135","-75","-1.78","07/13","47.4","42","50.4","45.8","43.8","46.9","39.1","38.1","37.7","35.9","19.8","37.9"
"198","1762","中化生","37.9","-0.25","-0.66","07/13","48.6","55.8","50.4","22.4","23.9","27.3","23.2","21.5","21.2","27.7","15","21.4"
"199","00679B","元大美債20年","26.76","-0.04","-0.15","07/13","29.1","47","50.3","36.8","35.6","21.9","20.8","21.2","20.6","15.3","","20.8"
"200","3050","鈺德","12.1","-0.35","-2.81","07/13","44.3","48.1","50","56.4","41.7","40.1","28.6","26","25.5","22.6","15.3","25.9"
"201","1313","聯成","12.3","-0.2","-1.6","07/13","25.2","46.8","50","37.2","28.9","30.4","33.3","33.4","32.7","34.4","25","33.5"
"202","2884","玉山金","34.6","-0.15","-0.43","07/13","65.4","56.8","50","46","49.7","56.7","51.8","54.1","56.4","51.8","49.8","54.6"
"203","5493","三聯","85.4","-3.4","-3.83","07/13","60.3","51.4","49.9","28.5","28.5","29.7","23.8","25.3","24","20.5","14.8","25.5"
"204","6761","穩得","175","-6","-3.31","07/13","41.3","50","49.9","37.8","36","30.2","25.9","23","20.7","20.3","","23"
"205","6923","中台","78.7","+3.3","+4.38","07/13","28.8","35","49.9","33.7","31.4","34.8","39","26.4","5.45","","","26"
"206","2636","台驊控股","69.7","-0.8","-1.13","07/13","51.9","50.7","49.8","46.5","35.4","36.4","30.7","30.3","33.2","33.5","19.9","30.3"
"207","2239","英利-KY","21.05","-0.5","-2.32","07/13","68.3","58.3","49.7","32.8","27.4","29.9","27.4","25.6","21.7","24","15.6","27.2"
"208","2915","潤泰全","50.4","-1.6","-3.08","07/13","64","51.5","49.7","45.2","38.2","23.8","31.9","35.2","37.2","35.4","30.1","35.1"
"209","00792B","群益A級公司債","31.67","-0.04","-0.13","07/13","62.5","54.3","49.6","32.8","19","18.6","15.5","14.4","11.8","8.24","","13.8"
