"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"213","00403A","主動統一升級50","10.38","-0.1","-0.95","07/13","0","0","0","0","0","0","","","","","",""
"214","00404A","主動聯博動能50","9.82","-0.07","-0.71","07/13","0","0","0","0","0","0","","","","","",""
"215","00405A","主動富邦台灣龍耀","8.61","-0.16","-1.82","07/13","0","0","0","0","0","0","","","","","",""
"216","00406A","主動中信台灣收益","9.73","-0.13","-1.32","07/13","0","0","0","0","0","0","","","","","",""
"217","00407A","主動凱基台灣","9.32","-0.1","-1.06","07/13","0","0","0","0","0","","","","","","",""
"218","0051","元大中型100","143.8","-0.45","-0.31","07/13","0","0","0","0","0","0","0","0","0","0","0","0"
"219","0053","元大電子","239.2","+2.2","+0.93","07/13","0","0","0","0","0","0","0","0","0","0","0","0"
"220","0055","元大MSCI金融","42.61","-0.05","-0.12","07/13","0","0","0","0","0","+1.33","+0.51","+0.39","+0.27","+0.1","+0.03","+0.38"
"221","0057","富邦摩台","315.15","+1","+0.32","07/13","0","0","0","0","0","0","0","0","0","0","0","0"
"222","0061","元大寶滬深","24.64","-0.35","-1.4","07/13","0","0","0","0","-30","-15.9","-4.87","-5.42","-2.32","-0.57","-0.37","-5"
"223","006203","元大MSCI台灣","193.15","-0.05","-0.03","07/13","0","0","0","0","0","0","0","0","0","0","0","0"
"224","006204","永豐臺灣加權","228","-1","-0.44","07/13","0","0","0","0","0","0","0","0","0","0","0","0"
"225","006205","富邦上証","40.26","-0.82","-2","07/13","0","0","0","0","-7.28","-3.56","-2.02","-1.93","-0.9","-0.53","-1.06","-1.83"
"226","006206","元大上證50","37.19","-0.55","-1.46","07/13","0","0","0","0","0","0","0","0","0","0","-0.08","0"
"227","006207","復華滬深","32.6","-0.77","-2.31","07/13","0","0","0","0","0","0","0","0","0","0","+0.03","0"
"228","006208","富邦台50","246.75","+1.05","+0.43","07/13","0","0","0","0","0","+0.17","+0.24","+0.05","-0.03","+0.16","+0.12","+0.04"
"229","00625K","富邦上証+R","8.6","0","0","07/13","","0","0","0","0","0","0","0","0","0","","0"
"230","00631L","元大台灣50正2","36.86","+0.08","+0.22","07/13","0","0","0","0","0","0","-0.01","-0.05","-0.05","-0.04","-0.03","-0.05"
"231","00632R","元大台灣50反1","10.23","+0.02","+0.2","07/13","0","0","0","0","0","0","-0.02","-0.01","0","0","0","-0.01"
"232","00633L","富邦上証正2","48.41","-1.94","-3.85","07/13","0","0","0","0","0","0","0","0","0","0","0","0"
"233","00634R","富邦上証反1","3.16","+0.06","+1.94","07/13","0","0","0","0","0","0","0","0","0","0","0","0"
"234","00635U","期元大S&P黃金","42.31","-0.11","-0.26","07/13","0","0","0","0","0","0","0","0","-0.17","0","0","0"
"235","00636","國泰中國A50","27.97","-0.52","-1.83","07/13","0","0","0","0","0","0","0","0","-0.04","0","+0.01","0"
