"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"239","00981D","主動中信非投等債","10.48","-0.02","-0.19","07/13","-23.1","-27","-23.4","-15.3","-4.75","+0.8","+14.4","+4.58","","","","+4.1"
"240","4743","合一","51","-3.2","-5.9","07/13","-29.8","-22.2","-23.4","-6.04","+8.26","+6.49","-1.27","-2.17","-0.83","-0.12","-0.19","+0.04"
"241","2457","飛宏","27.65","-0.2","-0.72","07/13","-9.62","-25.8","-23.4","-3.38","+5.99","+0.97","+1.67","+1.98","-0.76","-0.29","-0.07","+2.25"
"242","7760","享溫馨","35","-0.6","-1.69","07/13","-27.8","-31","-23.4","-21","+3.8","+4.87","","","","","",""
"243","2316","楠梓電","185.5","-20.5","-9.95","07/13","-31.2","-27.6","-23.3","-23","-17.6","+3.77","+0.35","+1.44","+0.62","+0.4","+0.72","+1.11"
"244","4413","飛寶企業","14.7","-0.2","-1.34","07/13","-16.7","-13.3","-23.3","-4.54","-1.13","-0.41","-0.12","-0.74","-0.27","+0.04","+0.02","0"
"245","4190","佐登-KY","25.55","-0.25","-0.97","07/13","-4.31","-12.6","-23.2","-16.4","-2.69","-2.3","-3.73","-4.78","-5.08","-0.62","-0.73","-4.94"
"246","4747","強生","49.95","-0.05","-0.1","07/13","0","-37.7","-23.2","-15.6","-2.69","-4.58","-1.7","-1.02","-1.52","-1.46","-0.24","-1.04"
"247","6233","旺玖","24.55","-0.15","-0.61","07/13","-44.7","-25.7","-23.2","-11.9","-7.62","+2.53","+2.53","+1.6","+1.06","+0.26","-0.04","+1.07"
"248","6508","惠光","25.1","+0.3","+1.21","07/13","-19.8","-24.9","-23.2","-15","-7.08","-7.51","-0.58","-1.15","-1.16","-0.13","0","-1.09"
"249","3447","展達","35.75","-1.3","-3.51","07/13","-43.8","-25.4","-23.1","-20.7","-8.37","-11.4","-4.25","+0.12","-0.56","-0.18","","+0.27"
"250","7704","明遠精密","58.2","-1.8","-3","07/13","-14.8","-23.3","-23.1","-15.5","-3.81","+3.74","+0.7","+0.4","+0.31","","","+0.42"
"251","3011","今皓","12.85","-0.25","-1.91","07/13","-22.4","-28.6","-23","-28.4","-13","-6.81","+2.81","+0.46","+0.16","-0.19","+0.05","+0.45"
"252","7723","築間","22.25","-0.45","-1.98","07/13","-20.8","-22.5","-22.9","-18.1","-0.29","-7.43","+0.56","+0.03","+0.18","","","+0.36"
"253","2009","第一銅","37.9","-0.2","-0.52","07/13","-34.3","-24.2","-22.8","-12.8","-1.03","-6.85","-5.47","-0.91","+0.03","+0.05","-0.23","-0.35"
"254","1605","華新","33.9","-0.5","-1.45","07/13","-17.4","-21.4","-22.8","-19.3","-16.2","-8.96","+1.73","+1.41","+0.29","-0.73","-0.69","+2.67"
"255","5864","致和證","37.45","-2.2","-5.55","07/13","-7.54","-15.8","-22.8","-28.5","-18.8","-11.8","-1.8","-1.21","+0.09","-0.01","","-1"
"256","00982D","主動富邦動態入息","9.96","-0.01","-0.1","07/13","-2.67","-1.97","-22.8","-16.5","-12.6","-6.2","-1","+3.23","","","","+4.16"
"257","2449","京元電子","307","-1.5","-0.49","07/13","-9.26","-11.2","-22.7","-6.64","-0.35","+10.4","+3.09","+0.78","+1.63","-0.32","-0.38","+0.49"
"258","5474","聰泰","159","-1.5","-0.93","07/13","-10.1","-17.6","-22.7","-8.35","+0.16","-1.21","-0.69","-0.33","-0.78","-0.3","-0.07","-0.48"
"259","00863B","中信全球電信債","31.59","-0.32","-1","07/13","-40.4","-29.4","-22.6","-8.95","+94.5","+91","+75","+62.4","+44.2","+48.2","","+61.2"
"260","2461","光群雷","16.95","-0.35","-2.02","07/13","-17.7","-32.3","-22.6","-4.49","+5.65","+2.78","+5.35","+4.73","+3.2","+0.74","+0.17","+4.01"
"261","00962","台新AI優息動能","14.74","-0.07","-0.47","07/13","-28.5","0","-22.6","-13.1","-1.87","-6.55","+4.07","+4.41","+2.06","","","+4.36"
"262","3057","喬鼎","17.2","-1.8","-9.47","07/13","-46.4","-28.4","-22.6","-25.2","-17.8","-9.92","+2.71","+1.17","+0.54","+0.14","-0.11","+1.14"
"263","9946","三發地產","18.7","-1.2","-6.03","07/13","-40.7","-26.3","-22.6","-8.3","+0.82","+4.07","+3.23","+2.13","+0.95","+0.28","+0.12","+2.03"
"264","3227","原相","201","-20.5","-9.26","07/13","-17.6","-21.1","-22.5","-10","+3.99","+5.35","+5.42","+2.25","-2.27","+0.29","+0.15","+1.85"
"265","3025","星通","59.4","-0.4","-0.67","07/13","-5.75","-22.5","-22.5","-38.5","-30.1","-16.6","-4.5","-1.02","-0.32","+0.04","-0.06","+1.01"
"266","3628","盈正","73.3","-1.1","-1.48","07/13","-33","-25.8","-22.5","-26.8","+3.38","+0.43","+0.5","+0.37","+0.63","-0.12","+0.25","+0.88"
"267","3027","盛達","20","-0.4","-1.96","07/13","-20.5","-11.6","-22.5","-1.94","-7.58","-5.52","-1","-1.64","-2.61","-1.09","-0.03","-2.83"
"268","6275","元山","47.8","-0.3","-0.62","07/13","-32.6","-28.2","-22.4","-13.5","-3.95","+2.9","-2.15","-1.63","-0.66","-0.19","-0.09","-1.13"
"269","00722B","群益投資級電信債","35.74","-0.27","-0.75","07/13","-26.8","-14.5","-22.4","-18.4","-12.7","-0.92","+4.96","+6.72","+5.16","+6.55","","+6.19"
"270","6796","晉弘","58.4","-0.8","-1.35","07/13","-54.2","-19.2","-22.4","-27","-7.43","-9.12","-1.57","+1.26","+0.38","-0.02","","+0.18"
"271","8926","台汽電","69.3","-6.7","-8.82","07/13","-25.1","-26.9","-22.3","-10.6","-17","-12.8","-0.19","-0.65","+0.28","-0.14","-0.06","-0.62"
"272","1805","寶徠","9.96","-0.14","-1.39","07/13","-12.9","-25.3","-22.3","-11.3","+5.07","+4.83","-0.62","+0.06","-0.51","+0.16","+0.08","+0.12"
"273","1229","聯華","40.3","+0.2","+0.5","07/13","-9.15","-6.93","-22.3","-25.6","-18.6","-2.7","-9.72","-8","-4.8","-5.61","-1.65","-8.55"
"274","3540","曜越","23.35","-0.6","-2.51","07/13","-33.7","-26.8","-22.2","-14.2","+4.37","-4.35","-3.98","-4.65","-2.07","-1.76","-0.06","-4.84"
"275","3205","佰研","50.9","-1.2","-2.3","07/13","-33.7","-21.7","-22.2","+2.39","+6.76","+2.28","-2.9","-1.76","-0.19","+0.01","-0.15","-1.56"
"276","3294","英濟","37.1","-0.6","-1.59","07/13","-7.73","-11.5","-22.2","-1.54","-1.17","+0.26","-1.28","-0.03","+0.01","-0.13","-0.09","-0.37"
"277","1108","幸福","13.65","0","0","07/13","-19.8","-21.6","-22","-19.6","-3.12","-1.63","-0.19","+0.26","-0.35","-3.22","-0.25","+0.1"
"278","4533","協易機","29.1","-0.05","-0.17","07/13","-28.6","-19.2","-21.9","-18.2","+4.42","+1.57","+1.35","-0.33","-0.18","+0.04","-0.01","-0.23"
"279","4749","新應材","851","-15","-1.73","07/13","-15.2","-24.4","-21.8","-13.8","-5.38","-15.4","-3.44","-2.09","-0.5","","","-1.71"
"280","3322","建舜電","13.35","-0.15","-1.11","07/13","-37.7","-16.2","-21.8","-24.2","-11.3","-7.37","+0.27","-0.39","-0.25","+0.05","+0.03","+0.02"
