排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
260,4585,達明,302.5,2.5,0.83,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,,,,0.03
261,2597,潤弘,163.0,2.0,1.24,07/27,0.0,0.0,0.0,0.0,0.0,0.08,4.71,4.62,4.51,4.71,4.7,4.6
262,6719,力智,222.5,-10.0,-4.3,07/27,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.04,0.0,-0.69,,-0.15
263,2543,皇昌,39.0,0.4,1.04,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,-0.18,-0.08,-0.08,0.01
264,4916,事欣科,102.0,-1.0,-0.97,07/27,0.0,0.0,0.0,0.0,0.04,0.04,-0.54,-0.93,0.04,-0.04,0.04,-0.58
265,1434,福懋,18.5,-0.65,-3.39,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.06,-0.04,-0.43,-0.03,-2.46,-0.27
266,2374,佳能,68.1,0.6,0.89,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,0.03,0.03,0.03,0.03,-0.24
267,2015,豐興,64.5,0.7,1.1,07/27,0.0,0.0,0.0,0.0,0.02,0.01,0.01,-0.24,-0.33,0.65,1.53,-0.32
268,5469,瀚宇博,71.4,-0.6,-0.83,07/27,0.0,0.0,0.0,0.0,0.0,3.15,3.27,2.38,4.48,1.5,4.77,2.26
269,1722,台肥,46.7,0.25,0.54,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.02,-0.03,-0.55,-0.02,0.12,-0.05
270,2108,南帝,27.95,-0.35,-1.24,07/27,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,-0.54,-2.14,0.03
271,9930,中聯資源,64.0,0.6,0.95,07/27,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.0,0.0,0.0
272,6191,精成科,88.4,-0.5,-0.56,07/27,0.0,0.0,0.0,0.0,0.31,4.21,4.82,2.43,1.79,3.6,5.76,2.25
273,6472,保瑞,396.5,4.0,1.02,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,-0.85,-1.49,-1.73,,-0.87
274,8415,大國鋼,38.2,0.3,0.79,07/27,0.0,0.0,0.0,0.0,0.0,0.07,0.05,0.05,0.05,0.05,,0.07
275,2010,春源,21.15,0.05,0.24,07/27,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.0,0.06,0.06,0.0
276,8341,日友,77.4,0.4,0.52,07/27,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03
277,2527,宏璟,46.75,0.6,1.3,07/27,0.0,0.0,0.0,0.0,0.03,0.0,-0.01,-0.06,-0.05,0.03,0.03,-0.03
278,2535,達欣工,86.3,-1.6,-1.82,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.03,0.04,-0.12,0.05,0.03,-0.02
279,1514,亞力,105.5,0.5,0.48,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.04,0.03,-0.17,0.1,0.04
280,1519,華城,727.0,30.0,4.3,07/27,0.0,0.0,0.0,0.0,-0.02,-0.28,-0.61,-1.78,-1.47,-5.19,-0.63,-1.52
281,1215,卜蜂,105.5,-4.0,-3.65,07/27,0.0,0.0,0.0,0.0,-0.03,-0.09,-5.34,-5.02,-0.34,1.5,-0.66,-4.44
282,1707,葡萄王,90.8,-0.7,-0.77,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.27,-0.38,-5.45,-0.01
283,2812,台中銀,20.75,0.3,1.47,07/27,0.0,0.0,0.0,0.0,0.05,0.05,0.07,0.1,-0.2,0.05,0.0,0.06
284,2539,櫻花建,41.4,0.85,2.1,07/27,0.0,0.0,0.0,0.0,-0.01,-0.06,-0.07,-0.08,-0.2,-0.02,-0.02,-0.07
285,4105,東洋,76.8,-0.2,-0.26,07/27,0.0,0.0,0.0,0.0,0.0,0.39,0.48,0.51,0.46,0.42,-5.31,0.5
286,6183,關貿,91.0,-0.8,-0.87,07/27,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
287,1419,新紡,69.5,2.8,4.2,07/27,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.06,0.04,0.06,0.05,0.06
288,6589,台康生技,47.05,1.45,3.18,07/27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,-0.11,,0.01
289,1609,大亞,36.4,-0.45,-1.22,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.15,-0.13,-0.21,-0.09,-0.05,-0.16
290,2548,華固,99.4,0.8,0.81,07/27,0.0,0.0,0.0,0.0,-0.03,-0.09,-0.51,-0.17,-0.09,-1.0,-1.61,-0.17
291,1726,永記,76.7,0.7,0.92,07/27,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.03,0.03,0.02,0.03
292,3703,欣陸,20.8,0.0,0.0,07/27,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.06,0.06,-0.13,0.01,0.06
293,2834,臺企銀,18.2,0.2,1.11,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.02,0.01,-0.1,-0.03,0.09,0.0
294,00631L,元大台灣50正2,33.54,0.04,0.12,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.01,-0.13,-0.12,-0.12,-0.12,-0.12
295,1615,大山,43.25,0.35,0.82,07/27,0.0,0.0,0.0,0.0,0.03,0.03,0.03,0.03,0.02,0.03,0.03,0.01
296,5903,全家,189.0,0.0,0.0,07/27,0.0,0.0,0.0,0.0,0.0,0.01,0.01,-0.01,-0.46,-0.04,-0.54,-0.18
297,3596,智易,185.0,0.0,0.0,07/27,0.0,0.0,0.0,0.0,0.0,0.81,2.49,2.01,1.9,-4.19,-1.72,2.09
298,2850,新產,158.0,10.5,7.12,07/27,0.0,0.0,0.0,0.0,0.0,0.0,-0.47,-0.77,-1.33,1.89,1.91,-0.91
299,6944,兆聯實業,786.0,0.0,0.0,07/27,0.0,0.0,0.0,0.0,-0.02,-0.04,-0.33,-0.12,0.0,,,-0.66
