排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
187,6176,瑞儀,市,90.0,-0.2,-0.22,8514,06/23,3222,-3611,-74,-463,143.0,30.6,＋－－
188,1503,士電,市,242.0,-3.0,-1.22,7091,06/23,-145,0,-22,-167,159.0,30.4,－＋－
189,6257,矽格,市,237.0,-5.5,-2.27,14552,06/23,3301,-30,-251,3020,147.0,30.3,＋－－
190,6641,基士德-KY,市,18.25,-0.2,-1.08,43,06/23,-5,0,0,-5,11.0,30.1,－・・
191,2890,永豐金,市,39.8,0.0,0.0,61233,06/23,-13711,24827,155,11271,4350.0,30.0,－＋＋
192,4154,樂威科-KY,櫃,12.75,-0.2,-1.54,2,06/23,0,0,0,0,11.5,30.0,・・・
193,5904,寶雅,櫃,666.0,30.0,4.72,656,06/23,198,-11,11,198,31.9,30.0,＋－＋
194,9904,寶成,市,26.0,-0.1,-0.38,21017,06/23,-10351,-3661,-6,-14018,881.0,29.9,－－－
195,00943,兆豐電子高息等權,市,22.75,-0.62,-2.65,656,06/23,-125,0,53,-72,12.4,29.6,－・＋
196,6921,嘉雨思-創,市,70.0,-0.2,-0.28,61,06/23,13,0,0,13,9.42,29.6,＋・・
197,6139,亞翔,市,791.0,-19.0,-2.35,3191,06/23,-866,-63,-35,-964,69.6,29.6,－－－
198,2347,聯強,市,90.2,-3.3,-3.53,6744,06/23,776,-2111,36,-1299,493.0,29.6,＋－＋
199,2393,億光,市,69.5,-1.3,-1.84,2758,06/23,-1161,-31,-10,-1202,131.0,29.6,－－－
200,4706,大恭,櫃,31.5,-0.4,-1.25,26,06/23,0,0,0,0,23.3,29.5,・・・
201,5351,鈺創,櫃,91.0,-8.8,-8.82,39156,06/23,-10161,25,-19,-10155,96.9,29.5,－＋－
202,4545,銘鈺,市,37.95,-1.4,-3.56,331,06/23,19,0,0,19,22.7,29.5,＋・・
203,6223,旺矽,櫃,6680.0,255.0,3.97,1264,06/23,19,138,1,158,28.9,29.5,＋＋＋
204,2727,王品,市,246.5,0.0,0.0,222,06/23,4,0,-9,-5,24.4,29.5,＋・－
205,6669,緯穎,市,4675.0,-180.0,-3.71,1983,06/23,-463,-209,-54,-726,54.7,29.4,－－－
