"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"591","8091","翔名","櫃","254.5","-1.5","-0.59","715","06/04","+38","0","+18","+56","5.79","10.8","＋・＋"
"592","2329","華泰","市","58","-0.8","-1.36","9,549","06/04","+1,003","+13","-253","+763","71.2","10.8","＋＋－"
"593","6190","萬泰科","櫃","82","-1","-1.2","4,743","06/04","+253","0","+162","+415","20.2","10.8","＋・＋"
"594","00969B","元大零息超長美債","櫃","8.27","-0.01","-0.12","1,663","06/04","-1,122","0","+1,597","+475","20.2","10.8","－・＋"
"595","00793B","群益AAA-A醫療債","櫃","30.91","-0.03","-0.1","100","06/04","0","0","0","0","0.38","10.8","・・・"
"596","8070","長華*","市","65.3","+5.3","+8.83","55,585","06/04","+5,405","-5,037","-33","+335","78.2","10.8","＋－－"
"597","1210","大成","市","54.2","+0.5","+0.93","10,074","06/04","-4,126","+5,342","+23","+1,239","96.3","10.8","－＋＋"
"598","00859B","群益0-1年美債","櫃","41","+0.16","+0.39","3,284","06/04","-37","0","-372","-409","2.58","10.8","－・－"
"599","8155","博智","櫃","382","-13","-3.29","1,104","06/04","-416","0","-27","-443","6.51","10.7","－・－"
"600","6643","M31","櫃","561","-16","-2.77","557","06/04","-43","0","-3","-46","4.46","10.7","－・－"
