排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
208,1519,華城,803.0,22.0,2.82,06/17,0.01,0.37,0.57,0.38,0.12,1.04,1.62,1.85,1.49,1.74,1.09,1.86
209,6670,復盛應用,300.5,13.0,4.52,06/17,0.65,0.43,0.35,0.37,0.5,1.25,5.27,13.0,10.9,5.93,,6.37
210,6409,旭隼,930.0,27.0,2.99,06/17,0.55,0.87,0.5,0.37,0.15,0.15,0.29,0.41,0.38,0.56,0.68,0.41
211,5515,建國,43.05,-0.25,-0.58,06/17,1.49,0.77,0.75,0.36,0.36,0.4,0.59,0.54,0.9,0.22,0.14,0.59
212,3015,全漢,60.7,3.7,6.49,06/17,0.0,0.96,0.62,0.35,0.07,0.06,1.44,1.47,1.53,0.89,0.42,1.47
213,1723,中碳,87.1,-1.3,-1.47,06/17,0.0,0.93,0.56,0.35,0.19,0.1,0.5,0.37,0.47,3.27,1.54,0.38
214,2206,三陽工業,61.9,0.3,0.49,06/17,0.61,0.68,0.38,0.34,0.54,1.21,5.13,7.92,9.78,3.28,1.4,7.08
215,2845,遠東銀,13.3,0.35,2.7,06/17,0.03,0.21,0.19,0.34,0.19,0.17,0.18,0.21,4.51,4.1,2.23,0.19
216,6139,亞翔,806.0,-6.0,-0.74,06/17,0.02,0.01,0.03,0.34,0.22,1.09,1.96,2.07,1.79,1.11,0.74,1.6
217,3363,上詮,685.0,-22.0,-3.11,06/17,0.0,0.0,0.55,0.33,0.12,0.09,0.08,0.07,0.1,0.17,0.26,0.08
218,2002,中鋼,18.75,0.1,0.54,06/17,0.11,0.42,0.27,0.33,0.15,0.08,0.27,0.44,0.79,2.19,2.02,0.31
219,2915,潤泰全,52.4,0.2,0.38,06/17,0.11,0.12,0.1,0.32,0.25,1.18,4.18,8.89,6.45,7.17,3.25,7.81
220,6509,聚和,47.3,-0.2,-0.42,06/17,0.0,1.32,0.78,0.32,0.12,0.06,0.04,0.08,0.08,0.09,0.04,0.08
221,2379,瑞昱,745.0,67.0,9.88,06/17,0.7,0.49,0.43,0.32,0.46,1.8,7.41,6.3,7.29,8.05,4.25,6.52
