排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 買賣超 佔 發行 張數,2日 買賣超 佔 發行 張數,3日 買賣超 佔 發行 張數,5日 買賣超 佔 發行 張數,10日 買賣超 佔 發行 張數,1個月 買賣超 佔 發行 張數,3個月 買賣超 佔 發行 張數,半年 買賣超 佔 發行 張數,1年 買賣超 佔 發行 張數,3年 買賣超 佔 發行 張數,10年 買賣超 佔 發行 張數,今年 買賣超 佔 發行 張數
279,1524,耿鼎,30.05,-2.25,-6.97,06/08,0.21,0.37,0.3,0.49,0.3,0.59,0.37,0.93,-3.36,-0.36,-3.77,1.29
280,4931,新盛力,266.5,24.0,9.9,06/08,-0.25,-0.73,0.53,0.48,-2.18,6.53,3.56,-10.0,7.21,9.11,,-10.3
281,2491,吉祥全,31.25,-3.45,-9.94,06/08,0.02,0.53,0.52,0.48,1.08,1.2,0.83,1.56,1.46,1.63,-0.76,1.55
282,6782,視陽,200.5,0.0,0.0,06/08,0.18,0.34,0.44,0.48,0.26,-2.04,-1.0,-0.1,0.49,4.18,,0.19
283,2476,鉅祥,118.0,-2.0,-1.67,06/08,0.4,0.58,0.52,0.48,-0.83,-1.22,3.15,2.01,3.23,6.9,-8.54,2.69
284,00944,野村趨勢動能高息,20.1,-0.91,-4.33,06/08,0.1,-0.14,-0.2,0.47,0.41,1.05,4.66,11.8,25.1,,,11.7
285,8240,華宏,56.5,-3.2,-5.36,06/08,0.28,0.33,0.35,0.47,-0.16,0.04,-1.14,-3.05,-2.57,-2.09,-2.53,-2.86
286,00996A,主動兆豐台灣豐收,14.44,-0.55,-3.67,06/08,0.43,-0.69,-0.54,0.47,-0.93,1.21,,,,,,
287,2537,聯上發,10.05,-0.1,-0.99,06/08,0.06,0.17,0.33,0.47,0.75,-0.15,0.81,0.72,2.56,0.42,0.0,0.5
288,4532,瑞智,24.2,-0.35,-1.43,06/08,0.07,0.07,0.31,0.47,0.86,1.33,-0.05,0.77,-7.53,5.53,5.15,0.77
