排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
29,2489,瑞軒,46.1,0.2,0.44,06/25,-35,-1074,-1953,-10823,-20404,-15781,8246.0,28151.0,26601.0,28767.0
30,6147,頎邦,240.5,-8.5,-3.41,06/25,-208,-4886,-4129,-10663,-19287,-19584,23130.0,29300.0,23579.0,29325.0
31,00981A,主動統一台股增長,31.5,0.02,0.06,06/25,7023,16308,15710,-8506,-214886,-171952,-41979.0,71920.0,124652.0,85065.0
32,2441,超豐,141.5,-1.0,-0.7,06/25,217,-6718,-7383,-8408,-7020,-3927,1448.0,119.0,11747.0,-2431.0
33,2606,裕民,61.7,0.3,0.49,06/25,-252,-1306,-4095,-8202,-7028,-5732,-7891.0,-10875.0,-17055.0,-12504.0
34,6005,群益證,38.8,0.25,0.65,06/25,-747,-1632,-3359,-7989,-12148,-32369,2438.0,2476.0,-37416.0,-274.0
35,6176,瑞儀,90.7,0.5,0.55,06/25,-517,-4437,-5556,-7829,-13379,-28295,-482.0,236.0,3438.0,3516.0
36,0056,元大高股息,53.2,0.05,0.09,06/25,2533,1831,-143,-7804,-18891,-32343,-28777.0,-55915.0,-26753.0,-59739.0
37,1313,聯成,12.55,0.75,6.36,06/25,71,-7042,-7134,-7667,-9434,-15704,-9529.0,11032.0,6529.0,10818.0
38,3714,富采,67.5,-3.7,-5.2,06/25,195,-2680,-5540,-7539,-12157,8003,23271.0,25163.0,28298.0,24428.0
39,00953B,群益優選非投等債,9.66,0.02,0.21,06/25,-7320,-7320,-7320,-7325,-13980,-20022,-11367.0,14489.0,24591.0,14849.0
40,2340,台亞,39.2,-2.8,-6.67,06/25,-382,-3511,-5212,-7204,-7845,-5989,-2614.0,-9073.0,-2363.0,-9355.0
41,2885,元大金,66.7,0.6,0.91,06/25,-4839,-4590,-11143,-7090,-2677,-3301,38083.0,33228.0,-25681.0,37827.0
42,8070,長華*,56.5,-1.3,-2.25,06/25,24,-1059,-3270,-7056,-6921,-8675,-7158.0,-20493.0,-18312.0,-19521.0
43,00939,統一台灣高息動能,21.69,0.15,0.7,06/25,-508,-2529,-3514,-7031,-12436,-15690,-99.0,-1450.0,-347.0,-1457.0
44,2633,台灣高鐵,26.25,0.3,1.16,06/25,-824,-1500,-1602,-6350,-7454,-91858,-51737.0,7445.0,336.0,8728.0
