"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"129","7788","松川精密","187.5","+3.5","+1.9","05/13","+0.33","+0.47","+0.45","+1.22","+1.53","+1.33","+1.7","+2.35","","","","+1.58"
"130","3060","銘異","28.05","-0.5","-1.75","05/13","-0.01","+0.14","+0.77","+1.2","-0.14","-1.13","+1.76","-2.04","-2.41","-1.34","-4.37","+1.09"
"131","00830","國泰費城半導體","83.45","+0.05","+0.06","05/13","+0.69","+0.73","+1.44","+1.19","+2.23","+9.6","+19.2","+17.4","+61.2","+68.8","","+15.4"
"132","3033","威健","42.95","-1.5","-3.37","05/13","-0.59","+0.64","+0.33","+1.18","+4.85","+8.54","+12.3","+13","+7.98","+9.54","+12.5","+11.1"
"133","2032","新鋼","17.15","-0.25","-1.44","05/13","-0.07","-0.08","+0.74","+1.17","+1.02","+0.97","+1.06","+1.14","-0.99","+1.29","+1.4","+0.78"
"134","6218","豪勉","45.1","+4.1","+10","05/13","+0.59","+2.09","+1.86","+1.16","+0.58","+1.28","+1.58","+0.65","+0.71","+1.12","+1.11","+1.19"
"135","2458","義隆","142.5","-3","-2.06","05/13","0","+0.11","+0.03","+1.12","+1.92","+7.04","+11.8","+8.98","-5.45","-1.65","+30.7","+11.8"
"136","6215","和椿","120.5","-5.5","-4.37","05/13","-0.12","+0.83","+1.39","+1.12","+0.73","+0.95","+1.58","+2.16","-3.38","-4.3","-2.48","+2.14"
"137","00907","永豐優息存股","14.81","-0.04","-0.27","05/13","+0.01","+0.13","+0.29","+1.11","+1.28","+1.35","+1.02","+1.78","+6.74","+2.66","","+1.74"
"138","6831","邁科","688","+62","+9.9","05/13","+0.54","+0.68","+1.56","+1.11","-0.7","+0.53","+4.53","","","","","+7.64"
"139","00757","統一FANG+","128.2","+0.95","+0.75","05/13","+0.43","+0.39","+1","+1.09","+1.93","+4.17","+5.51","+10.2","+24.9","+24.8","","+8.42"
"140","6134","萬旭","32.05","-1.05","-3.17","05/13","-0.06","+0.09","+0.07","+1.06","+1.48","+2.16","+4.31","+3.28","+2.39","+4.01","+2.54","+4.23"
"141","2451","創見","327","-24","-6.84","05/13","-0.56","-0.61","+0.42","+1.06","+2.63","+1.14","-0.48","-1.4","+4.02","+1.26","-18.5","+0.04"
"142","6192","巨路","128.5","-3.5","-2.65","05/13","-0.05","+0.17","+0.55","+1.04","+1.25","+0.89","+1.2","+4.91","+5.11","+6.09","+10","+3.69"
"143","6244","茂迪","29.4","0","0","05/13","-0.09","-0.18","-0.31","+1.04","+1.16","+2.35","+4.06","+4.21","+4.34","+1.14","+9.19","+3.54"
"144","3213","茂訊","114","-0.5","-0.44","05/13","-0.07","+0.26","+0.13","+1.04","+1.6","+2.17","+2.06","+1.36","+1.56","-2.55","+0.24","+1.66"
"145","8255","朋程","145","-3.5","-2.36","05/13","+0.07","+0.25","+0.49","+1.04","+1.63","+2.24","+2.61","+2.54","-2.07","-1.47","-3.3","+3.03"
"146","00901","永豐智能車供應鏈","41.64","-0.83","-1.95","05/13","+0.13","-0.07","+0.19","+1.03","+2.22","+4.05","+6.03","+14.5","+21.7","+28.5","","+11.9"
"147","6462","神盾","130.5","-0.5","-0.38","05/13","+0.08","+0.39","+0.84","+1.03","+0.95","-0.69","+1.66","-0.8","-7.67","-3.15","-29.8","+0.49"
"148","3675","德微","254.5","+14.5","+6.04","05/13","+0.11","-0.19","+0.6","+1.02","+0.34","+1.13","+4.61","+4.93","-1.34","+2.02","+2.32","+5.31"
"149","6716","應廣","95.4","-4.5","-4.5","05/13","-0.57","+0.02","+0.37","+1.02","+1.53","+1.01","+1.92","+2.45","+2","+2.14","","+2.21"
"150","6419","京晨科","165.5","+15","+9.97","05/13","+2.14","+2.36","+2.5","+1.01","-0.75","-0.03","+2.38","+2.52","+2.2","+0.42","-1.31","+2.73"
"151","00885","富邦越南","19.21","+0.02","+0.1","05/13","+0.2","+0.12","+0.25","+1.01","+1.93","+5.61","+7.97","+18.6","+53.3","+105","","+9.81"
"152","2542","興富發","42.7","+1.6","+3.89","05/13","+0.35","+0.32","+0.76","+0.99","+1.13","+1.3","+1.22","+2.41","-0.93","+0.18","-10.1","+1.83"
"153","3529","力旺","3920","-195","-4.74","05/13","+0.84","+0.95","+1.58","+0.98","+1.7","+2.6","+8.07","+8.25","-2.1","-2.57","+5.8","+11.4"
"154","8926","台汽電","56.7","+5.1","+9.88","05/13","+0.54","+0.58","+0.56","+0.97","+1.36","+1.68","+1.5","-1.07","+3.31","+3.47","+5.34","+1.32"
"155","3680","家登","588","-14","-2.33","05/13","+0.04","-0.28","+1.38","+0.97","+4.43","+3.86","+3.36","+8.83","-5.3","+7.28","+17.8","+8.28"
"156","4903","聯光通","47.45","+3.05","+6.87","05/13","+0.73","+0.87","+0.95","+0.96","+0.68","-0.16","-0.43","-0.71","-0.49","-0.64","-0.57","-3.07"
"157","3491","昇達科","1720","-45","-2.55","05/13","-0.17","-0.41","+0.48","+0.95","-0.12","-1.66","-1.19","+7.39","+9.44","+21.2","+25.4","+0.6"
"158","6227","茂綸","107","+4","+3.88","05/13","+0.26","+0.56","+0.69","+0.94","+1.62","+2.59","+2.68","+3.04","-4.14","+0.22","+1.34","+2.86"
"159","3665","貿聯-KY","2500","-275","-9.91","05/13","-0.04","+0.17","+0.3","+0.94","+2.46","+3.03","+4.03","+7.97","+10.7","+5.09","-12.8","+8.85"
"160","00912","中信臺灣智慧50","30.7","-0.35","-1.13","05/13","-0.71","+0.11","+0.47","+0.94","+0.76","+1","+0.67","+0.37","+7.76","+7.75","","+0.54"
"161","2324","仁寶","31.3","+1.4","+4.68","05/13","+1.08","+0.74","+0.87","+0.94","+0.61","+3.17","+1.38","+1.39","-8.18","-8.04","-17.6","+1.37"
"162","3081","聯亞","2835","-220","-7.2","05/13","-0.34","+0.18","+0.31","+0.94","-0.9","-0.49","-3.86","+5.14","-7.01","+0.02","-7.3","-1.36"
"163","6715","嘉基","468","-12","-2.5","05/13","+0.14","+0.06","+0.92","+0.94","+0.76","-0.47","+1.6","+1.34","+1.24","+2.04","","+1.48"
"164","1563","巧新","44.2","+0.2","+0.45","05/13","+0.2","+0.3","+0.36","+0.92","+0.94","+0.78","+0.59","+0.46","-0.42","","","+0.22"
"165","6683","雍智科技","2135","-235","-9.92","05/13","+0.05","+0.39","+0.57","+0.92","+1.28","+0.99","-3.87","+8.2","-3.46","+1.14","","+3.08"
"166","6016","康和證","23.35","-0.65","-2.71","05/13","-0.11","-0.2","+0.73","+0.91","+1.96","+4.98","+5.24","+8.03","+9.15","+9.55","+6.56","+7.34"
"167","4551","智伸科","153","-2.5","-1.61","05/13","+0.14","+0.64","+0.86","+0.91","+0.98","+1.7","+1.95","+3.18","-0.18","+3.21","+5.74","+2.41"
"168","6259","百徽","26.25","+2.35","+9.83","05/13","+0.2","-0.04","+0.25","+0.91","-0.21","+0.68","+0.68","+0.68","+0.72","+0.77","-1.81","+0.68"
"169","5328","華容","28.6","+0.35","+1.24","05/13","+0.14","+0.51","-0.03","+0.9","+0.94","-0.66","-4.99","+2.23","+0.45","+1.96","+2.23","+3.37"
"170","3122","笙泉","37.4","-1.5","-3.86","05/13","-0.14","-0.1","+0.39","+0.9","+1.6","+1.85","+2.18","+0.61","+1.05","+2.38","+1.96","+0.99"
"171","6005","群益證","32","+0.3","+0.95","05/13","+0.1","+0.15","+0.54","+0.89","+1.98","-1.11","-2.91","-1.97","+4.66","-1.11","-0.46","+0.09"
