"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(萬張)","超過600張增減(張)","超過600張增減(%)","持股超過800張(萬張)","超過800張增減(張)","超過800張增減(%)","持股超過1千張(萬張)","超過1千張增減(張)","超過1千張增減(%)"
"640","5278","尚凡*","23.2","-0.1","-0.43","26W19","05/08","23.7","+1,075","+0.45","23.1","+396","+0.17","22.8","+1,234","+0.55"
"641","4552","力達-KY","21","+0.45","+2.19","26W19","05/08","5.21","-15","-0.03","4.86","+5","+0.01","4.86","+5","+0.01"
"642","00773B","中信優先金融債","35.73","-0.12","-0.33","26W19","05/08","245","+2,668","+0.11","245","+2,668","+0.11","245","+2,678","+0.11"
"643","6283","淳安","24.3","-1.05","-4.14","26W19","05/08","8.81","+70","+0.08","8.59","+64","+0.07","8.32","0","0"
"644","00724B","群益投資級金融債","33.64","-0.14","-0.41","26W19","05/08","300","+1,020","+0.03","299","+1,714","+0.06","299","+735","+0.02"
"645","2231","為升","95.1","-5.4","-5.37","26W19","05/08","8.65","-646","-0.74","8.51","+116","+0.14","8.42","+113","+0.13"
"646","1104","環泥","28.9","-0.5","-1.7","26W19","05/08","48.7","+146","+0.03","47.6","+91.6","+0.02","46.9","+1,217","+0.26"
"647","8409","商之器","19.1","-0.25","-1.29","26W19","05/08","1.39","+13","+0.09","1.39","+13","+0.09","1.22","0","0"
"648","00761B","國泰A級公司債","34.33","-0.16","-0.46","26W19","05/08","269","-1.16","0","269","+35.8","0","269","+35.8","0"
"649","4538","大詠城","18.15","-0.35","-1.89","26W19","05/08","4.56","+30","+0.07","4.34","+30","+0.07","4.24","+30","+0.07"
"650","00710B","復華彭博非投等債","18.97","+0.05","+0.26","26W19","05/08","14.8","+96.6","+0.07","14.7","+29.6","+0.02","14.7","+29.6","+0.02"
"651","2515","中工","12.95","-0.2","-1.52","26W19","05/08","93.3","+2,081","+0.22","90","-740","-0.08","86.6","-890","-0.1"
"652","7767","仁大資訊","41.55","-0.95","-2.24","26W19","05/08","2.03","-16","-0.08","1.84","0","0","1.65","0","0"
"653","6752","叡揚","100.5","-3","-2.9","26W19","05/08","1.51","-32.7","-0.22","0.95","0","0","0.67","0","0"
"654","8083","瑞穎","171","-0.5","-0.29","26W19","05/08","1.59","+8","+0.05","1.52","+8","+0.05","1.52","+8","+0.05"
"655","1907","永豐餘","25.35","-0.7","-2.69","26W19","05/08","137","-557","-0.04","135","-415","-0.03","134","-227","-0.02"
"656","1474","弘裕","10.3","-0.25","-2.37","26W19","05/08","7.29","+107","+0.15","6.82","-1,365","-1.96","6.82","+307","+0.45"
"657","2022","聚亨","7.85","-0.17","-2.12","26W19","05/08","12.8","+705","+0.56","12.3","+745","+0.61","12.2","+694","+0.57"
