"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"86","6202","盛群","53.3","-1.9","-3.44","05/15","+24","-225","-1,057","-970","-2,222","-445","-1,336","+752","+1,854","+98"
"87","3030","德律","395","-7.5","-1.86","05/15","-16","-13","-22","-959","-4,117","-872","+66","-4,872","-240","+715"
"88","9933","中鼎","37.6","0","0","05/15","+88","+32","+98","-957","-718","-1,453","-21,099","-32,779","-1,593","-25,700"
"89","8086","宏捷科","150","-4","-2.6","05/15","-80","-613","-833","-945","-288","-679","-706","+3,109","-5,896","+655"
"90","00687B","國泰20年美債","27.45","-0.17","-0.62","05/15","+500","+500","-444","-944","-3,244","-1,148","-1,718","-7,210","-31,584","+2,163"
"91","1305","華夏","12.5","-0.15","-1.19","05/15","-559","-616","-666","-919","-1,171","-3,110","+9,655","+13,056","+8,501","+10,134"
"92","2401","凌陽","24.65","-0.2","-0.8","05/15","-274","-202","-406","-917","-2,358","-6,312","-9,774","-13,527","-4,490","-10,050"
"93","00688L","國泰20年美債正2","6.7","-0.08","-1.18","05/15","0","0","0","-882","-2,182","-7,146","-32,288","-41,332","-58,300","-39,238"
"94","5309","系統電","64.9","+0.1","+0.15","05/15","-151","-246","-673","-882","-453","+436","+4,792","+3,102","+7,009","+5,253"
"95","2406","國碩","30.85","-0.95","-2.99","05/15","-291","-505","-582","-837","-2,232","-3,917","-3,033","-3,966","+1,465","-2,414"
"96","1563","巧新","44.75","-0.65","-1.43","05/15","-49","-338","-413","-818","-646","-443","-97","+624","-131","+323"
"97","1536","和大","51.4","+0.1","+0.19","05/15","-1,020","-1,258","-1,035","-810","-1,432","-1,139","+3,269","+1,782","-1,017","+1,279"
"98","6919","康霈*","96.1","-1.3","-1.33","05/15","-99","-99","-99","-776","-1,140","-2,556","0","0","0","0"
"99","2605","新興","29.3","-1.75","-5.64","05/15","0","-769","-769","-769","-884","-1,929","+3,840","+3,856","-6,745","-5,252"
"100","2374","佳能","82.2","+1.9","+2.37","05/15","-725","-1,775","-1,098","-765","+672","+4,249","+4,916","+6,712","+12,364","-1,016"
"101","3532","台勝科","221.5","-24.5","-9.96","05/15","-112","-258","-338","-764","-494","-2,314","-3,104","-1,737","+1,483","-2,791"
"102","1301","台塑","45.7","-0.4","-0.87","05/15","+2,443","+3,578","+5,751","-753","-4,140","-88,936","-78,104","-98,512","-136,781","-113,840"
"103","4739","康普","96.3","-5.2","-5.12","05/15","-208","-675","-825","-734","-402","+283","+292","+19","0","-77"
"104","2383","台光電","4615","-305","-6.2","05/15","-116","-490","-657","-719","-1,013","-1,130","-890","-1,456","-8,150","-1,133"
"105","8027","鈦昇","247","-17","-6.44","05/15","-8","-10","-365","-718","-854","+1,052","-692","-1,258","-29","+636"
"106","6488","環球晶","710","-78","-9.9","05/15","-465","-439","-707","-684","-2,947","-5,072","-6,292","+1,454","-3,453","+1,287"
"107","4722","國精化","264.5","+6.5","+2.52","05/15","+28","-225","-716","-665","-516","-96","-2,450","-1,803","+551","-2,999"
"108","3014","聯陽","136","-3","-2.16","05/15","+4","-347","-419","-664","-1,043","-1,404","+1,710","+3,689","+4,249","+2,249"
"109","6806","森崴能源","15.6","-1.7","-9.83","05/15","-64","-379","-479","-662","-974","-1,914","-8,515","-8,940","-1,778","-7,836"
"110","3167","大量","735","-30","-3.92","05/15","-291","-293","-305","-657","-671","-804","-2,326","-4,098","-1,783","-2,442"
"111","1809","中釉","38.6","-0.65","-1.66","05/15","0","-582","-588","-636","-119","+181","-390","-911","+449","-351"
"112","3289","宜特","167","-1","-0.6","05/15","-211","-88","-136","-635","+1,145","+677","+2,429","+1,858","+2,663","+1,790"
"113","00995A","主動中信台灣卓越","16.33","-0.73","-4.28","05/15","-3","-3","-758","-609","-489","+1,771","+1,721","","",""
"114","6446","藥華藥","826","+44","+5.63","05/15","-121","-236","-242","-609","-1,013","-824","-620","-11,135","-2,937","-7,932"
"115","2454","聯發科","3260","-145","-4.26","05/15","-398","-566","-1,223","-606","-433","-2,143","+1,463","-1,777","-1,449","-2,900"
"116","00733","富邦臺灣中小","66.7","-2.35","-3.4","05/15","-124","-303","-507","-606","-840","-80","-153","+576","-2,013","-91"
"117","3236","千如","38.9","-1.3","-3.23","05/15","+1","-447","-358","-602","-461","-196","+412","+385","+1,954","-358"
"118","00940","元大台灣價值高息","10.95","-0.22","-1.97","05/15","+191","-1,562","-1,442","-597","+1,571","+37,901","+71,748","+12,782","+55,779","+68,549"
"119","2455","全新","358.5","0","0","05/15","-102","-208","-231","-597","-3,153","-4,776","-2,221","+1,253","-2,257","+2,007"
"120","00949","復華日本龍頭","20.13","-0.09","-0.45","05/15","-30","-581","-581","-581","-736","-787","+756","-120","-5,873","+586"
"121","8069","元太","210","-16","-7.08","05/15","-1,920","-994","-1,506","-578","+4,567","+11,836","+17,439","+36,874","+35,168","+27,258"
"122","8255","朋程","141","-3","-2.08","05/15","-39","-137","-214","-571","-771","-1,153","-1,409","-1,336","-245","-1,506"
"123","8390","金益鼎","119.5","+8.5","+7.66","05/15","0","-146","-442","-571","-627","-569","-398","-1,505","-2,844","-375"
"124","6284","佳邦","84.5","-1.2","-1.4","05/15","-2","-60","-45","-569","-227","-51","+306","-1,278","-1,627","-2,441"
"125","2417","圓剛","47.5","-1.6","-3.26","05/15","-70","-387","-397","-564","+33","-1,039","-2,532","-1,855","-2,114","-1,376"
"126","2458","義隆","142.5","-7","-4.68","05/15","-62","-573","-569","-562","-218","-5,272","-10,705","-5,715","+6,720","-10,202"
