"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"26","2231","為升","116","-2","-1.69","965","05/08","+18","-150","-1,577","-2,303","-2,211","-2,157","-1,599","-2,186","+2,019","-2,217"
"27","2377","微星","100","-1","-0.99","13,010","05/08","-836","-918","-1,288","-2,240","-2,753","+1,673","+1,364","+6,922","+13,602","+3,948"
"28","00688L","國泰20年美債正2","6.92","-0.07","-1","4,124","05/08","-107","-1,177","-2,044","-2,226","-2,328","-7,491","-50,906","-85,049","-109,544","-83,710"
"29","2330","台積電","2290","-20","-0.87","31,730","05/08","-209","-1,053","-1,667","-2,187","+2,161","+27","+3,693","+7,931","+5,104","+4,865"
"30","0056","元大高股息","44.85","+0.13","+0.29","97,813","05/08","+9","-591","-705","-2,148","-3,013","-2,413","-1,688","-2,598","-5,655","-3,881"
"31","1711","永光","57.5","-4.5","-7.26","6,846","05/08","-98","-783","-1,375","-2,126","-5,450","-6,367","+5,405","+7,188","+12,269","+8,614"
"32","4540","全球傳動","68.6","-7.1","-9.38","20,684","05/08","-176","-312","-684","-2,075","+2,081","+3,253","+3,941","+3,407","+2,337","+3,694"
"33","1309","台達化","16.85","-0.55","-3.16","7,688","05/08","-367","-653","-923","-2,041","-583","-651","+3,052","+4,633","+5,901","+4,545"
"34","4927","泰鼎-KY","54.4","-3.7","-6.37","15,425","05/08","-515","-802","-2,011","-2,040","+1,436","+9,723","+11,964","+12,510","+26,528","+6,990"
"35","3289","宜特","175.5","-3.5","-1.96","5,031","05/08","-515","-850","-1,913","-2,007","-2,592","-842","+1,018","+2,684","+3,833","+2,616"
"36","3189","景碩","458","-34.5","-7.01","28,689","05/08","+615","-27","-1,070","-2,004","-1,329","-8,029","-1,474","+10,252","+11,177","+751"
"37","2451","創見","312.5","+10","+3.31","22,628","05/08","-2,183","-1,882","-2,091","-1,987","-212","-295","-544","+2,734","+4,664","-29"
"38","2618","長榮航","35.65","+0.25","+0.71","34,416","05/08","-1,836","-1,990","-1,882","-1,896","-571","+3,614","-672","+668","+1,819","-4,295"
"39","3645","達邁","94.1","-2.9","-2.99","8,983","05/08","+82","-113","+145","-1,870","-240","-226","+876","+1,481","+4,174","+2,772"
"40","00919","群益台灣精選高息","25.47","+0.04","+0.16","208,518","05/08","-251","-240","-773","-1,830","-3,087","-7,065","-302","-6,257","-13,660","-2,287"
"41","0052","富邦科技","57.1","-0.45","-0.78","33,900","05/08","-195","-73","-593","-1,816","+2,078","+511","-515","+8,831","+9,204","+1,633"
"42","2417","圓剛","50.4","-1.2","-2.33","4,973","05/08","+312","+218","-498","-1,764","-144","+76","+102","-459","-337","-141"
"43","2484","希華","41.8","-3.05","-6.8","30,250","05/08","-550","-1,310","-1,892","-1,754","-2,556","+8,258","+10,420","+11,716","+11,232","+11,804"
"44","4967","十銓","298","+1","+0.34","17,664","05/08","-775","-3,226","-2,086","-1,746","-1,992","+1,862","+3,164","+3,322","+5,726","-2,619"
"45","3260","威剛","448.5","-13","-2.82","24,934","05/08","-193","-2,021","-1,161","-1,704","+2,880","+5,864","+9,537","+16,148","+13,768","+11,295"
"46","1708","東鹼","37.2","-0.9","-2.36","3,690","05/08","-387","-757","-776","-1,658","+419","-2,593","+2,740","+2,912","+3,185","+2,820"
"47","00665L","富邦恒生國企正2","10.28","-0.1","-0.96","8,236","05/08","+117","-1,603","-3,691","-1,569","-2,110","-5,634","-2,055","-14,132","-45,082","-14,826"
"48","1528","恩德","26.55","-1.15","-4.15","6,355","05/08","-268","-303","-591","-1,569","-1,763","-3,128","+239","+1,477","+927","-459"
"49","2489","瑞軒","41.6","-2.65","-5.99","38,356","05/08","-1,085","-331","-2,697","-1,560","+7,161","-3,203","+26,183","+42,575","+41,057","+44,264"
"50","00687B","國泰20年美債","27.78","-0.09","-0.32","20,655","05/08","+73","+71","+31","-1,559","+1,410","+1,090","-3,339","-12,471","-19,464","-8,021"
"51","00676R","富邦臺灣加權反1","6.16","+0.05","+0.82","5,822","05/08","-897","-2,082","-845","-1,535","-1,282","+3,484","+7,147","+8,982","+11,325","+8,243"
