" "," ","#","股票代號/名稱","類別","20260417","0424","0430","0508","0515","0522"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","107","3545敦泰","半導體","-0.14","0.22","0.27","0.18","0.83","0.82"," ","30","2.18"," ","25.35","61.60","0.40"," "
" "," ","108","6885全福生技","生技醫療業","0.63","0.87","-0.18","0.05","0.04","0.69"," ","31","2.10"," ","36.95","22.40","-0.05"," "
" "," ","109","9136巨騰-DR","存託憑證","0.17","-0.47","0.38","-0.15","0.00","2.17"," ","50","2.10"," ","67.22","10.95","0.25"," "
" "," ","110","6415矽力*-KY","半導體","0.88","0.56","-0.17","0.36","-0.12","0.58"," ","31","2.09"," ","79.86","562.00","5.00"," "
" "," ","111","5471松翰","半導體","0.37","-0.25","-0.18","0.16","0.91","1.05"," ","50","2.06"," ","33.37","54.00","1.50"," "
" "," ","112","910861神州-DR","存託憑證","-1.12","1.47","0.14","0.14","0.14","1.29"," ","41","2.06"," ","36.56","4.97","-0.08"," "
" "," ","113","2488漢平","其他電子","1.00","1.08","-0.20","-0.43","0.61","-0.03"," ","30","2.03"," ","53.05","54.40","2.00"," "
" "," ","114","2497怡利電","汽車","0.52","1.78","0.08","0.23","-0.40","-0.21"," ","31","2.00"," ","68.02","57.00","0.20"," "
" "," ","115","4912聯德控股-KY","電子零組件","-0.05","0.39","-0.87","-0.02","1.69","0.86"," ","30","2.00"," ","54.43","106.00","4.50"," "
" "," ","116","4155訊映","生技醫療業","0.01","-0.01","0.00","0.57","0.31","1.09"," ","31","1.97"," ","42.47","15.20","-0.10"," "
" "," ","117","2365昆盈","電腦週邊","0.38","0.02","-0.37","0.42","0.05","1.47"," ","31","1.97"," ","23.38","39.15","2.60"," "
" "," ","118","2353宏卅卅","電腦週邊","0.80","0.12","-0.06","0.48","0.21","0.42"," ","31","1.97"," ","40.02","29.55","1.15"," "
" "," ","119","2603長榮","航運","-0.01","0.14","0.32","0.93","0.29","0.28"," ","10","1.95"," ","69.67","219.00","7.00"," "
" "," ","120","3356奇偶","光電","0.68","0.50","-0.14","0.49","0.03","0.38"," ","31","1.94"," ","29.63","63.30","2.00"," "
" "," ","121","3588通嘉","半導體","1.16","-0.80","0.07","1.05","0.17","0.21"," ","31","1.86"," ","28.37","63.10","0.70"," "
" "," ","122","1773勝一","化學","0.37","1.41","0.18","-0.22","0.23","-0.11"," ","30","1.86"," ","75.75","184.50","7.50"," "
" "," ","123","1568倉佑","汽車","0.35","1.03","-0.86","0.61","1.02","-0.31"," ","30","1.84"," ","64.13","29.05","0.60"," "
" "," ","124","3034聯詠","半導體","0.25","0.27","0.08","0.58","0.97","-0.31"," ","30","1.84"," ","70.08","485.50","1.00"," "
" "," ","125","1708東鹼","化學","0.69","-0.56","0.92","-1.00","2.50","-0.71"," ","30","1.84"," ","48.93","39.15","-0.55"," "
" "," ","126","1626艾美特-KY","電器電纜","0.15","1.14","0.15","0.13","0.20","0.02"," ","30","1.79"," ","69.56","9.96","0.03"," "
" "," ","127","3528安馳","電子通路","-0.12","1.02","0.59","0.37","-1.48","1.39"," ","31","1.77"," ","66.81","93.80","8.50"," "
" "," ","128","1563巧新","汽車","0.11","-0.05","0.37","0.56","0.63","0.14"," ","30","1.76"," ","42.80","46.05","0.35"," "
" "," ","129","4583台灣精銳","電機","0.64","0.89","0.16","0.08","-0.04","0.02"," ","31","1.75"," ","87.99","729.00","22.00"," "
" "," ","130","3576聯合再生","光電","2.28","-0.04","-0.31","0.55","-0.78","0.05"," ","31","1.75"," ","36.47","18.25","0.80"," "
" "," ","131","2107厚生","橡膠","0.31","0.00","0.52","0.41","0.43","0.05"," ","30","1.72"," ","61.17","25.25","0.00"," "
" "," ","132","4551智伸科","汽車","-0.03","0.65","0.07","0.45","0.37","0.21"," ","10","1.72"," ","81.10","155.50","-3.00"," "
" "," ","133","2352佳世達","電腦週邊","0.31","0.12","0.06","0.19","0.49","0.54"," ","50","1.71"," ","49.30","28.75","1.55"," "
" "," ","134","3406玉晶光","光電","0.95","1.53","-1.12","0.48","-0.34","0.21"," ","31","1.71"," ","55.67","576.00","-1.00"," "
" "," ","135","3312弘憶股","電子通路","0.50","-0.33","0.10","-0.48","0.98","0.94"," ","30","1.71"," ","47.99","47.65","0.80"," "
" "," ","136","1538正峰","電機","0.00","1.44","0.01","0.09","0.15","0.00"," ","30","1.69"," ","78.47","12.00","0.00"," "
" "," ","137","6446藥華藥","生技醫療業","0.20","-0.40","0.36","0.24","1.08","0.20"," ","30","1.68"," ","56.14","810.00","12.00"," "
" "," ","138","1805寶徠","營建","0.10","0.70","0.15","0.20","0.24","0.28"," ","50","1.67"," ","78.68","10.10","0.00"," "
" "," ","139","2241艾姆勒","汽車","-0.29","-1.08","0.62","-0.01","-0.19","2.60"," ","31","1.65"," ","40.95","37.85","0.95"," "
" "," ","140","5283禾聯碩","電器電纜","0.07","0.48","0.17","0.23","0.35","0.33"," ","30","1.63"," ","60.11","52.10","0.00"," "
" "," ","141","4526東台","電機","-0.26","-0.23","-0.43","1.76","-1.29","2.04"," ","31","1.59"," ","48.59","39.45","1.40"," "
" "," ","142","4440宜新實業","紡織","0.05","0.71","0.09","0.15","0.54","0.05"," ","30","1.59"," ","56.84","18.25","0.15"," "
" "," ","143","6534正瀚-創","生技醫療業","0.35","0.15","0.44","0.13","0.30","0.20"," ","30","1.57"," ","81.42","97.00","0.10"," "
" "," ","144","6155鈞寶","電子零組件","0.55","-0.73","-0.45","2.84","-2.13","1.47"," ","31","1.55"," ","60.50","61.20","1.80"," "
" "," ","145","1809中釉","玻璃","-0.29","0.46","-0.36","1.81","1.05","-1.15"," ","10","1.52"," ","53.60","41.50","2.30"," "
" "," ","146","2542興富發","營建","0.05","-0.27","0.59","0.09","0.73","0.31"," ","30","1.50"," ","61.86","43.20","-0.45"," "
" "," ","147","6756威鋒電子","半導體","0.00","0.58","0.02","0.67","0.23","0.00"," ","10","1.50"," ","61.70","105.00","3.50"," "
" "," ","148","2425承啟","電腦週邊","0.06","0.13","0.12","0.03","0.71","0.44"," ","30","1.49"," ","47.91","34.70","0.65"," "
" "," ","149","3712永崴投控","電腦週邊","-0.03","0.59","-0.31","0.16","-0.15","1.22"," ","31","1.48"," ","54.61","16.15","0.45"," "
