"代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","外資連續買賣日數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣日數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣日數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣日數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"8487","愛爾達-創","78.7","-0.2","-0.25","05/08","+3","+5","1.36","0.02","0","0","0","0","+5","+17","3.62","0.06","+8","+43","6.71","0.16"
"8488","吉源-KY","10.1","+0.05","+0.5","05/08","+3","+14","48.4","0.02","0","0","0","0","0","0","0","0","+3","+12","41.7","0.02"
"8996","高力","1015","-60","-5.58","05/08","+3","+1,873","15.7","2.01","-3","-840","-7.03","-0.9","+2","+52","0.67","0.06","+1","+771","19.6","0.83"
"9912","偉聯","12.65","0","0","05/08","+3","+27","5.79","0.05","0","0","0","0","0","0","0","0","+3","+35","7.48","0.07"
"9926","新海","49.35","-0.1","-0.2","05/08","+3","+35","18.5","0.02","0","0","0","0","0","0","0","0","+3","+35","18.5","0.02"
"006208","富邦台50","224.3","-2.5","-1.1","05/08","+2","+1,412","12","0.08","0","0","0","0","-1","-234","-3.84","-0.01","+2","+1,805","15.3","0.1"
"00844B","新光15年IG金融債","31.66","-0.15","-0.47","05/08","+2","+6","3.48","0","0","0","0","0","-1","-1","-1.75","0","-1","0","-0.53","0"
"00862B","中信投資級公司債","31.57","-0.14","-0.44","05/08","+2","+54","14.6","0.01","0","0","0","0","+3","+107","13.7","0.01","+8","+302","8.72","0.04"
"00901","永豐智能車供應鏈","41.4","-0.3","-0.72","05/08","+2","+559","27.2","0.84","0","0","0","0","+1","+2","0.21","0","+1","+28","3.39","0.04"
"00928","中信上櫃ESG30","35.07","-0.6","-1.68","05/08","+2","+10","0.51","0.03","0","0","0","0","-1","-13","-0.84","-0.04","-1","-9","-0.58","-0.03"
"00935","野村臺灣新科技50","54.2","-0.65","-1.19","05/08","+2","+1,435","4.61","0.26","+1","+235","1.34","0.04","-2","-7,192","-23.1","-1.29","-2","-5,522","-17.7","-0.99"
"00936","台新永續高息中小","19.66","+0.01","+0.05","05/08","+2","+165","1.24","0.06","0","0","0","0","+22","+83,406","53.4","30.2","+25","+121,751","76.3","44.1"
"00940","元大台灣價值高息","11.15","+0.15","+1.36","05/08","+2","+36,814","24.7","0.59","0","0","0","0","+23","+1,913,794","74","30.8","+23","+2,025,888","78.3","32.6"
"00968B","元大優息投等債","9.24","-0.02","-0.22","05/08","+2","+416","7.19","0.06","0","0","0","0","+5","+7,693","61.2","1.16","+3","+5,404","62.8","0.82"
"009800","中信NASDAQ","12.49","+0.05","+0.4","05/08","+2","+37","1.48","0.01","0","0","0","0","+1","+442","33.6","0.15","+1","+442","33.6","0.15"
"009815","大華美國MAG7+","11.07","+0.04","+0.36","05/08","+2","+364","2.71","0.06","0","0","0","0","+23","+149,724","46.4","25.1","+23","+188,168","58.3","31.5"
"00985A","主動野村台灣50","21.33","-0.06","-0.28","05/08","+2","+3,972","16.2","0.76","0","0","0","0","+1","+644","5.52","0.12","+1","+697","5.98","0.13"
"00995A","主動中信台灣卓越","16.65","-0.38","-2.23","05/08","+2","+4,306","18.5","1.32","0","0","0","0","-8","-11,969","-12.2","-3.66","-1","-2,205","-18.5","-0.67"
"1216","統一","73.2","+3.8","+5.48","05/08","+2","+18,428","34","0.32","+1","+767","2.19","0.01","-6","-3,260","-3.01","-0.06","+2","+18,370","33.9","0.32"
