"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"174","8454","富邦媒","194","-2","-1.02","05/11","+2.11","+13.3","+20.9","+21.4","+20.6","+5.61","+8.66","-1.51","-4.68","-7.87","-1.51","+0.78"
"175","1473","台南","20.8","+0.15","+0.73","05/11","+9.04","+14.6","+18.6","+21","+1.48","+3.56","+3.52","+0.57","-2.36","-1.65","-1.8","-0.17"
"176","2008","高興昌","27.9","-0.25","-0.89","05/11","+14.5","+19.7","+13.6","+20.9","+4.2","+3.78","+1.99","+1.88","+0.33","+0.31","-0.02","+2.15"
"177","1472","三洋實業","90.9","-0.3","-0.33","05/11","0","+14.8","+17.4","+20.6","+3.45","+1.6","+1.59","-3.85","-4.18","+0.47","-0.44","-2.64"
"178","009820","元大納斯達克精選","9.99","+0.06","+0.6","05/11","+45.5","+43.7","+34","+20.6","+11.6","","","","","","",""
"179","1304","台聚","13.05","+0.35","+2.76","05/11","+47.5","+16.2","+27.4","+20.6","+10.6","+2.92","-1.6","-1.18","-1.44","-3.31","+0.15","-1.03"
"180","6005","群益證","32.25","+1.7","+5.56","05/11","+33.1","+7.44","+19.1","+20.6","+15","-8.29","-9.29","-3.62","+4.29","-0.46","-0.1","-0.13"
"181","8462","柏文","147.5","-0.5","-0.34","05/11","+20.7","+16.5","+19.8","+20.4","+16.8","+10.9","+5.9","+4.26","+3.8","+2.64","+0.67","+7.84"
"182","6282","康舒","55.4","+5","+9.92","05/11","+30.9","+26.9","+24.1","+20.3","+15","+6.31","+2.28","+0.96","+1.18","+0.65","+0.15","+2.19"
"183","6679","鈺太","327","-4","-1.21","05/11","-0.15","+7.08","+10.8","+20.2","+16.8","+11.3","+5.79","+4","-0.28","+0.44","","+3.96"
"184","4942","嘉彰","38","-0.05","-0.13","05/11","+6.41","+27.7","+27.6","+20.2","+14.6","+13","+1.79","-3.82","-8.24","-5.33","-0.7","-2.68"
