"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"86","3023","信邦","302","-0.5","-0.17","05/11","+0.02","-0.02","+0.16","+1.46","+2.68","+5.84","+10.2","+9.68","-4.99","-18.1","+13","+13.5"
"87","00916","國泰全球品牌50","27.61","-0.03","-0.11","05/11","0","+0.07","+0.15","+1.46","+1.92","+2.58","+1.45","+3.2","+11.2","+4.35","","+2.18"
"88","3060","銘異","28.55","+0.55","+1.96","05/11","+0.63","+0.64","+1.07","+1.44","-0.27","-1.13","+1.73","+1.4","-1.91","-1.47","-4.23","+0.95"
"89","3016","嘉晶","128.5","+11.5","+9.83","05/11","+0.11","+0.2","+0.32","+1.43","+3.02","+6.19","+6.91","+8.83","+6.44","+6.28","+7.54","+8.58"
"90","6244","茂迪","29.9","+0.2","+0.67","05/11","-0.12","+0.09","+1.23","+1.42","+1.12","+3.02","+3.44","+4.56","+4.5","+1.33","+8.73","+3.73"
"91","2377","微星","107.5","+7.5","+7.5","05/11","+0.63","+0.93","+0.89","+1.42","+0.66","-0.29","-0.8","-4.75","-14","-19.9","-26.6","-4.19"
"92","3661","世芯-KY","5375","+485","+9.92","05/11","+0.38","+0.62","+0.13","+1.42","+3.03","+11.7","+10.7","+0.6","-0.76","+1.83","+6.91","+5.03"
"93","00939","統一台灣高息動能","18.15","+0.07","+0.39","05/11","+0.13","+0.31","+0.98","+1.41","+2.14","+4.02","+7.11","+16.8","+24.3","","","+15"
"94","8096","擎亞","98.3","+2.4","+2.5","05/11","+0.62","+0.57","-1.87","+1.41","+1.13","+1.03","-10.1","-0.59","+3.48","-0.59","-1.46","+1.89"
"95","00888","永豐台灣ESG","30","+0.61","+2.08","05/11","+0.36","+0.15","+0.23","+1.4","+7.39","+7.03","+6.92","+7.46","+9.99","+22.8","","+7.28"
"96","3163","波若威","1040","+30","+2.97","05/11","-0.07","+0.01","+0.45","+1.4","-0.37","-4.67","-4.38","+15.3","+12.1","+12.2","+9.7","-1.17"
"97","6016","康和證","24.05","+2.15","+9.82","05/11","+0.94","+0.73","+1.12","+1.39","+2.55","+4.96","+5.52","+8.4","+9.4","+9.75","+6.75","+7.55"
"98","6182","合晶","58.6","+1.7","+2.99","05/11","-0.97","-0.89","-0.43","+1.39","+2.02","+5.93","+5.05","+6.59","+1.8","+1.57","+3.8","+6.15"
"99","3189","景碩","503","+45","+9.83","05/11","+0.82","+1.51","+1.81","+1.38","-1.29","+2.47","+1.48","+2.4","+7.71","+9.27","-3.46","-2.51"
"100","00993A","主動安聯台灣","13.31","+0.41","+3.18","05/11","+0.64","+0.69","+1.3","+1.37","+3.54","+7.11","+19","","","","",""
"101","8227","巨有科技","226","+7","+3.2","05/11","-1.64","-0.9","+0.43","+1.34","+0.87","+0.16","+1.42","-1.93","-1.6","-2.73","","+0.18"
"102","3209","全科","60.5","+5.5","+10","05/11","+1.07","+1.26","+1.12","+1.33","+1.14","+4.35","+12.6","+15.7","+13.6","+15.6","+16.4","+14.4"
"103","2316","楠梓電","123.5","+11","+9.78","05/11","+1.19","+0.33","+0.78","+1.33","+1.72","-0.18","+4.7","+7.74","+5.78","+7.28","+27.5","+2.78"
"104","6005","群益證","32.25","+1.7","+5.56","05/11","+0.39","+0.18","+0.74","+1.33","+1.52","-1.51","-2.93","-2.09","+4.52","-1.26","-0.64","-0.06"
"105","00401A","主動摩根台灣鑫收","12.81","+0.26","+2.07","05/11","+0.47","+0.43","+1.35","+1.33","+2.39","-0.82","","","","","",""
"106","6716","應廣","104","+9.3","+9.82","05/11","+0.35","+0.76","+1","+1.32","+1.05","+0.84","+2.63","+2.49","+1.92","+2.11","","+2.19"
"107","6116","彩晶","9.71","+0.51","+5.54","05/11","-0.15","+0.21","+1.08","+1.31","+1.05","+2.03","+1.93","-1.87","-0.85","-0.74","-3.91","-2.15"
"108","6683","雍智科技","2270","+60","+2.71","05/11","+0.18","+0.36","+0.52","+1.31","-0.09","+0.74","-3.81","+7.62","-4.45","+0.75","","+2.69"
