排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
228,6533,晶心科,219.5,-8.5,-3.73,05/28,11,-113,-128,-246,-489,-424.0,-920.0,255.0,2407.0,-580.0
229,8261,富鼎,190.0,-5.0,-2.56,05/28,-37,6,-99,-246,-274,328.0,-914.0,-2398.0,1067.0,-3140.0
230,6206,飛捷,138.5,0.0,0.0,05/28,-69,-192,-252,-245,-1606,-3239.0,-4905.0,-7454.0,-1344.0,-6940.0
231,2359,所羅門,137.0,-7.5,-5.19,05/28,-87,-193,-310,-244,-71,-724.0,-691.0,-1252.0,1827.0,-2408.0
232,3624,光頡,100.0,6.0,6.38,05/28,-122,-159,-159,-244,-31,22.0,-1254.0,-1425.0,712.0,-2192.0
233,1409,新纖,20.75,1.85,9.79,05/28,557,580,580,-243,565,1691.0,1570.0,-14157.0,1600.0,-3606.0
234,3390,旭軟,28.5,-1.3,-4.36,05/28,21,-38,-89,-243,-11,282.0,185.0,414.0,22.0,282.0
235,6121,新普,387.5,-9.0,-2.27,05/28,-140,-152,-182,-241,125,801.0,1474.0,730.0,1231.0,1321.0
236,1733,五鼎,29.45,-0.45,-1.51,05/28,-1,5,-106,-238,-297,-346.0,-330.0,-693.0,353.0,-597.0
237,6757,台灣虎航,54.8,0.3,0.55,05/28,-104,-83,-160,-237,68,270.0,3545.0,-2344.0,12015.0,2550.0
238,3311,閎暉,36.45,1.55,4.44,05/28,-59,-156,-208,-236,-284,-315.0,-576.0,-1213.0,473.0,-1164.0
239,3543,州巧,35.4,0.05,0.14,05/28,3,-181,-234,-236,-178,257.0,392.0,1563.0,3383.0,1228.0
240,3712,永崴投控,16.6,0.55,3.43,05/28,-52,-117,-237,-234,-699,-812.0,-829.0,43.0,4819.0,-5.0
241,2439,美律,91.5,0.8,0.88,05/28,136,594,341,-233,-320,234.0,7079.0,3760.0,4557.0,4423.0
242,3078,僑威,56.1,-0.7,-1.23,05/28,-92,-222,-129,-231,767,1652.0,-246.0,938.0,4249.0,-260.0
243,8182,加高,47.5,3.4,7.71,05/28,14,-20,-150,-228,-159,482.0,773.0,800.0,806.0,799.0
244,1582,信錦,113.5,3.5,3.18,05/28,17,217,159,-226,-893,-1119.0,801.0,4664.0,4955.0,4628.0
245,3551,世禾,217.5,10.0,4.82,05/28,-26,-75,-175,-223,-126,902.0,215.0,559.0,679.0,999.0
246,6909,創控,51.3,-1.7,-3.21,05/28,-156,-178,-189,-223,-263,5.0,1520.0,,,2278.0
247,1591,駿吉-KY,42.1,-3.9,-8.48,05/28,0,0,-208,-222,-185,-92.0,-192.0,-205.0,-367.0,-218.0
248,2605,新興,31.45,0.45,1.45,05/28,0,-274,-222,-222,-513,-1435.0,3939.0,3830.0,-7280.0,-5765.0
249,6531,愛普*,1095.0,15.0,1.39,05/28,-131,-131,-97,-217,569,293.0,-456.0,-401.0,-2676.0,-22.0
250,8104,錸寶,40.95,3.7,9.93,05/28,-32,-81,-152,-217,-140,422.0,240.0,1073.0,2260.0,544.0
251,6546,正基,80.8,0.1,0.12,05/28,-128,-128,-210,-214,-124,-218.0,152.0,407.0,210.0,390.0
252,6903,巨漢,399.5,-22.0,-5.22,05/28,-101,-208,-208,-213,-55,239.0,183.0,424.0,96.0,185.0
253,2427,三商電,20.3,0.0,0.0,05/28,16,28,-1,-211,-133,167.0,317.0,59.0,815.0,-290.0
254,3217,優群,188.5,-9.0,-4.56,05/28,-216,-254,-250,-209,-206,8.0,1800.0,2329.0,2327.0,2218.0
255,3236,千如,53.5,-3.4,-5.98,05/28,-103,-125,10,-207,-107,-506.0,454.0,-131.0,1836.0,-466.0
256,3529,力旺,3470.0,175.0,5.31,05/28,-77,-95,-120,-207,-977,-2824.0,-1491.0,-353.0,1653.0,-453.0
257,00757,統一FANG+,130.55,-1.05,-0.8,05/28,0,0,-200,-200,-213,-587.0,-2166.0,-2674.0,-5008.0,-245.0
258,6462,神盾,125.0,-8.0,-6.02,05/28,-10,231,92,-197,-379,-414.0,-1145.0,-1871.0,3135.0,-1802.0
259,00985B,群益ESG投等債0-5,10.15,0.01,0.1,05/28,0,0,-98,-194,-399,-11.0,967.0,5445.0,,5445.0
260,5263,智崴,105.0,-2.0,-1.87,05/28,-7,-83,-107,-191,-191,-197.0,-182.0,557.0,745.0,645.0
261,6854,錼創科技-KY創,152.0,-3.5,-2.25,05/28,21,-65,-110,-191,19,361.0,-271.0,-604.0,1867.0,-391.0
262,6472,保瑞,336.0,-10.5,-3.03,05/28,-70,-21,-129,-187,-292,-180.0,-2170.0,633.0,3269.0,767.0
263,6890,來億-KY,169.5,-1.0,-0.59,05/28,17,-77,-89,-185,-58,45.0,-869.0,-835.0,167.0,-610.0
264,6425,易發,95.0,-7.5,-7.32,05/28,-111,-140,-181,-181,-206,19.0,128.0,-882.0,-179.0,-394.0
265,00730,富邦臺灣優質高息,27.47,-0.5,-1.79,05/28,0,-180,-180,-180,-180,-180.0,-180.0,-172.0,737.0,-14.0
266,1904,正隆,18.8,-0.1,-0.53,05/28,53,-69,-117,-179,-2745,-1744.0,-836.0,167.0,-4691.0,-527.0
267,00885,富邦越南,18.67,-0.19,-1.01,05/28,-5,-82,-82,-175,-208,-2985.0,-7457.0,-18980.0,-2021.0,-17252.0
268,2417,圓剛,48.05,-2.15,-4.28,05/28,67,-212,-139,-175,-7,134.0,-1967.0,-1630.0,-2315.0,-1313.0
269,3665,貿聯-KY,2115.0,0.0,0.0,05/28,-2,13,18,-173,-454,36.0,-1379.0,-2821.0,-198.0,-5343.0
270,6695,芯鼎,57.8,-3.1,-5.09,05/28,-85,-86,-106,-173,-65,-28.0,-384.0,-1026.0,1503.0,-883.0
