"代號","名稱","成交","漲跌價","漲跌幅","法人買賣週別","更新日期","外資連續買賣週數","外資連續買賣張數","外資連續買賣佔成交(%)","外資連續買賣佔發行量(%)","投信連續買賣週數","投信連續買賣張數","投信連續買賣佔成交(%)","投信連續買賣佔發行量(%)","自營商連續買賣週數","自營商連續買賣張數","自營商連續買賣佔成交(%)","自營商連續買賣佔發行量(%)","三大法人連續買賣週數","三大法人連續買賣張數","三大法人連續買賣佔成交(%)","三大法人連續買賣佔發行量(%)"
"2401","凌陽","25.65","+0.35","+1.38","26W20","05/11","+5","+22,614","10.7","3.82","+2","+35","0.06","0.01","+1","+70","0.84","0.01","+5","+23,506","11.1","3.97"
"2436","偉詮電","75.9","+3.9","+5.42","26W20","05/11","+3","+3,469","3.29","1.73","+2","+25","0.04","0.01","+1","+207","1.94","0.1","+1","+1,182","11.1","0.59"
"2472","立隆電","225","+3.5","+1.58","26W20","05/11","-1","-1,501","-9.05","-0.91","+2","+1,915","3.83","1.16","+2","+336","0.67","0.2","+2","+2,114","4.22","1.28"
"2493","揚博","129.5","-2","-1.52","26W20","05/11","-4","-3,964","-7.39","-3.13","+2","+5","0.02","0","-2","-5","-0.02","0","-4","-4,021","-7.5","-3.17"
"2501","國建","22.65","-0.35","-1.52","26W20","05/11","-1","-1,227","-38.7","-0.11","+2","+104","0.44","0.01","-3","-350","-0.63","-0.03","-1","-1,246","-39.3","-0.11"
"2542","興富發","41.65","+1.65","+4.12","26W20","05/11","+4","+26,446","11.7","1.22","+2","+38","0.06","0","+1","+88","0.5","0","+3","+18,468","14.3","0.85"
"2812","台中銀","19.75","0","0","26W20","05/11","-5","-107,739","-34.2","-1.79","+2","+50","0.05","0","-4","-789","-0.31","-0.01","-5","-108,355","-34.4","-1.8"
"2834","臺企銀","16.15","-0.1","-0.62","26W20","05/11","-3","-85,655","-26.2","-0.88","+2","+121","0.06","0","-1","-123","-0.34","0","-3","-85,832","-26.3","-0.88"
"2851","中再保","31.55","+0.4","+1.28","26W20","05/11","+4","+3,491","13.9","0.44","+2","+104","0.81","0.01","+2","+54","0.42","0.01","+4","+3,418","13.6","0.43"
"2897","王道銀行","10.25","+0.1","+0.99","26W20","05/11","+3","+14,352","41.5","0.51","+2","+258","1.26","0.01","-1","-15","-0.23","0","+3","+14,678","42.4","0.52"
"3014","聯陽","139","+3.5","+2.58","26W20","05/11","-1","-195","-5.55","-0.12","+2","+27","0.13","0.02","-1","0","0","0","-1","-192","-5.46","-0.12"
