"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"130","1710","東聯","11.5","-0.45","-3.77","05/15","50.6","46","49.6","41.5","35.6","32.4","30.5","31.4","33.2","32.5","22.7","30.8"
"131","2539","櫻花建","38.1","-0.55","-1.42","05/15","44","49.5","49.6","48.7","40.7","38.2","41.5","42.5","44","40.2","32.3","41.7"
"132","5906","台南-KY","46.45","0","0","05/15","0","97.7","49.4","38.6","11.7","12.6","14.7","9.23","24.8","20.2","6.55","8.89"
"133","2903","遠百","22.25","-0.1","-0.45","05/15","49.9","56.3","49.4","50.4","50.6","56.8","46.8","48.2","46.3","39.7","32.3","41"
"134","2603","長榮","200.5","-11","-5.2","05/15","60.6","51.8","49.3","42.9","32.1","38.3","37.2","39.3","38","32.4","17.6","37.9"
"135","2505","國揚","17.65","0","0","05/15","46","50.1","49.2","46.5","42","41.4","36.1","30.3","39.7","28.6","20.3","32.4"
"136","1808","潤隆","29.05","-0.4","-1.36","05/15","51.6","43.4","49.2","47.5","44.6","44.4","45.4","47.3","45.9","39.8","32.3","46.1"
"137","2387","精元","38.2","-0.35","-0.91","05/15","46.2","41.6","49.1","46.3","40.5","34.1","31.2","33.8","39.2","29","17.3","32.3"
"138","5455","昇益","24.95","+0.15","+0.6","05/15","51.2","53.9","49","44.8","45.3","40.8","4.15","6.34","6.45","6.52","4.74","6.04"
"139","2211","長榮鋼","93.9","-2.9","-3","05/15","45.4","49.2","48.9","51.3","48.4","45.7","42.7","51.6","44.3","41.1","","41.3"
"140","3188","鑫龍騰","24.1","-0.9","-3.6","05/15","67.9","46.5","48.9","45.1","39.6","31.3","29.5","26.9","25.1","24.1","18.5","29.2"
"141","4736","泰博","121","-1","-0.82","05/15","53.7","53.2","48.7","46.8","41.9","35.4","33.3","31.1","32","29","16.4","28.7"
"142","1447","力鵬","5.34","+0.12","+2.3","05/15","51.6","49.1","48.6","48.4","44.1","44.2","43.6","35.1","33.7","30.1","19.8","36.4"
"143","4442","竣邦-KY","51","-0.3","-0.58","05/15","59.8","43.9","48.6","52.5","43.4","48.8","22.3","27","25","","","23.5"
"144","3078","僑威","53.9","-1.2","-2.18","05/15","55.4","48.5","48.5","44.7","37","36.1","56.6","51.7","32.9","21.2","15.3","53.8"
"145","2608","嘉里大榮","29.25","-0.35","-1.18","05/15","34.8","38.9","48.5","45.4","41.4","38.5","57.1","51.3","44.8","31.6","20.4","52.8"
"146","2618","長榮航","34.65","-0.35","-1","05/15","56.3","45.7","48.5","47.1","47.2","53.3","51.7","45.6","42.1","34","26.6","44.3"
"147","2449","京元電子","299.5","+3.5","+1.18","05/15","38.1","48.3","48.5","51.2","46.9","40.4","43.1","41.8","37","38.5","34.8","40.5"
