"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔發行張數","2日買賣超佔發行張數","3日買賣超佔發行張數","5日買賣超佔發行張數","10日買賣超佔發行張數","1個月買賣超佔發行張數","3個月買賣超佔發行張數","半年買賣超佔發行張數","1年買賣超佔發行張數","3年買賣超佔發行張數","10年買賣超佔發行張數","今年買賣超佔發行張數"
"264","00685L","群益臺灣加權正2","235","-6.65","-2.75","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"265","00686R","群益臺灣加權反1","1.16","+0.03","+2.65","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"266","00687C","國泰20年美債+櫃U","9.09","+0.02","+0.22","05/19","0","0","0","0","0","0","0","0","0","","","0"
"267","00688L","國泰20年美債正2","6.55","+0.01","+0.15","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"268","00689R","國泰20年美債反1","22.53","-0.07","-0.31","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"269","00690","兆豐藍籌30","68.65","-1.95","-2.76","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"270","00693U","期街口S&P黃豆","22.59","+0.34","+1.53","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"271","00694B","富邦美債1-3","41.6","-0.01","-0.02","05/19","0","0","0","0","0","0","0","+0.91","+0.43","-7.37","","+0.21"
"272","00695B","富邦美債7-10","34.84","+0.08","+0.23","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"273","00696B","富邦美債20年","28.27","+0.03","+0.11","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"274","00697B","元大美債7-10","35.38","+0.09","+0.26","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"275","00700","富邦恒生國企","17.31","-0.01","-0.06","05/19","0","0","0","0","0","0","0","0","0","-1.35","","0"
"276","00701","國泰股利精選30","32.14","+0.52","+1.64","05/19","0","0","0","0","0","0","0","0","-5.96","+0.13","","0"
"277","00702","國泰標普低波高息","23.84","+0.22","+0.93","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"278","00703","台新MSCI中國","20.07","+0.04","+0.2","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"279","00706L","期元大S&P日圓正2","19.32","-0.02","-0.1","05/19","0","0","0","0","0","0","0","0","0","0","","0"
"280","00707R","期元大S&P日圓反1","31.86","0","0","05/19","0","0","0","0","0","0","0","0","0","0","","0"
