"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"282","00695B","富邦美債7-10","35","+0.02","+0.06","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"283","00696B","富邦美債20年","28.73","-0.08","-0.28","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"284","00697B","元大美債7-10","35.56","+0.01","+0.03","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"285","00700","富邦恒生國企","17.84","+0.13","+0.73","05/12","0","0","0","0","0","0","0","0","0","-0.1","","0"
"286","00701","國泰股利精選30","31.45","-0.16","-0.51","05/12","0","0","0","0","0","0","0","0","-2.88","+0.02","","0"
"287","00702","國泰標普低波高息","23.73","-0.05","-0.21","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"288","00703","台新MSCI中國","20.6","+0.03","+0.15","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"289","00706L","期元大S&P日圓正2","19.69","-0.14","-0.71","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"290","00707R","期元大S&P日圓反1","31.57","+0.08","+0.25","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"291","00708L","期元大S&P黃金正2","98.1","+1.8","+1.87","05/12","0","0","0","0","0","-0.13","0","-0.08","+0.03","+0.02","","-0.07"
"292","00709","富邦歐洲","38.01","-0.21","-0.55","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"293","00710B","復華彭博非投等債","18.85","0","0","05/12","0","0","0","0","0","0","0","+2.14","+1.11","+0.29","","-0.26"
"294","00711B","復華彭博新興債","16.01","-0.01","-0.06","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"295","00712","復華富時不動產","8.97","-0.05","-0.55","05/12","0","0","0","0","0","0","0","0","-0.07","0","","0"
"296","00714","群益道瓊美國地產","21.58","+0.15","+0.7","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"297","00715L","期街口布蘭特正2","62.2","-0.35","-0.56","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"298","00717","富邦美國特別股","15.15","0","0","05/12","0","0","0","0","0","0","0","0","0","0","","0"
"299","00719B","元大美債1-3","30.78","+0.03","+0.1","05/12","0","0","0","0","0","0","0","-0.17","-0.92","-0.17","","-0.69"
"300","00720B","元大投資級公司債","32.74","-0.04","-0.12","05/12","0","0","0","0","0","0","0","0","0","0","","0"
