"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"196","5902","德記","36","0","0","26W20","05/15","82.5","+0.04","81.9","+0.03","79","+0.05"
"197","00937B","群益ESG投等債20+","14.89","+0.02","+0.13","26W20","05/15","54","+0.27","51.4","+0.26","49.5","+0.24"
"198","2065","世豐","34.6","+0.7","+2.06","26W20","05/15","47.3","+2.08","45.1","+2.08","40.7","+0.78"
"199","2444","兆勁","12.8","-0.15","-1.16","26W20","05/15","21.7","+0.08","19.6","+0.08","16.8","0"
"200","5234","達興材料","381","-3","-0.78","26W20","05/15","61.9","+0.59","58.1","-0.65","58.1","+1.05"
"201","3363","上詮","728","-19","-2.54","26W20","05/15","42","-0.46","35.1","-2.27","33.5","-3.1"
"202","4931","新盛力","234","-18","-7.14","26W20","05/15","27.3","+4.66","21.3","+2.93","18.5","+8.3"
"203","00995A","主動中信台灣卓越","16.95","-0.08","-0.47","26W20","05/15","12.6","+1","11.1","+0.56","9.89","+1.14"
"204","6182","合晶","80.9","+2.4","+3.06","26W20","05/15","27.3","-1.88","26.5","-1.67","25.6","-1.69"
"205","6890","來億-KY","284","+4","+1.43","26W20","05/15","88.6","+0.31","88","+0.32","87.3","-0.01"
"206","3049","精金","13.6","-0.2","-1.45","26W20","05/15","45.7","-0.16","44.5","-0.09","43.4","-0.32"
"207","3508","位速","18.6","-0.15","-0.8","26W20","05/15","38.9","+0.66","35.6","+0.05","33","+0.05"
"208","2323","中環","10.85","-0.05","-0.46","26W20","05/15","41","-0.76","39.4","-0.51","37.7","-0.5"
"209","2409","友達","23.15","+0.2","+0.87","26W20","05/15","49.2","+1.93","47.6","+1.88","46.5","+1.93"
"210","5315","光聯","22.05","-0.1","-0.45","26W20","05/15","30.4","-0.21","27.7","-0.88","22.8","-0.14"
"211","3311","閎暉","37","-0.35","-0.94","26W20","05/15","53.2","+0.1","51","+0.07","50","+0.01"
"212","00981B","第一金優選非投債","9.17","+0.02","+0.22","26W20","05/15","42.1","+0.36","37.6","+0.13","33.7","+0.22"
"213","00858","永豐美國500大","35.05","-0.14","-0.4","26W20","05/15","14.9","+0.06","13.6","+0.08","13.6","+0.08"
"214","8444","綠河-KY","4.9","-0.07","-1.41","26W20","05/15","77.6","-0.01","75.2","-0.03","74.5","-0.03"
"215","2354","鴻準","56.2","-0.1","-0.18","26W20","05/15","44.1","-1.43","43.2","-1.36","42.4","-1.43"
"216","00939","統一台灣高息動能","20.72","+0.01","+0.05","26W20","05/15","9.56","+0.93","9","+0.77","8.28","+0.89"
"217","5340","建榮","85.8","+0.1","+0.12","26W20","05/15","57.5","-0.7","55.1","-0.74","53.2","-0.71"
"218","5604","中連","30.8","-0.1","-0.32","26W20","05/15","61.9","0","57.9","0","52.9","0"
"219","00945B","凱基美國非投等債","14.48","+0.04","+0.28","26W20","05/15","35.2","+0.29","33.5","+0.36","31.5","+0.14"
"220","00730","富邦臺灣優質高息","28.2","-0.29","-1.02","26W20","05/15","17.8","+0.72","17.8","+1.58","16.5","+0.37"
"221","5464","霖宏","69.9","+2.4","+3.56","26W20","05/15","66.6","+1.17","64.6","+1.17","58.1","+3.76"
"222","5009","榮剛","35.35","-0.1","-0.28","26W20","05/15","46.5","-0.44","45.3","-0.58","43.9","-0.89"
"223","3466","德晉","31.35","-1.6","-4.86","26W20","05/15","43.7","+0.46","35.3","-1.24","32","+0.07"
"224","1432","大魯閣","17.2","-0.1","-0.58","26W20","05/15","53.9","0","53.9","0","53","0"
"225","2887","台新新光金","28.75","-0.15","-0.52","26W20","05/15","71","-0.17","69.6","-0.2","68.5","-0.18"
"226","2108","南帝","29.95","+1.7","+6.02","26W20","05/15","68.1","+0.25","66.3","+0.41","64.3","+0.42"
"227","5521","工信","10.25","-1","-8.89","26W20","05/15","56.8","-1.53","54.7","-1.52","53.8","-0.97"
"228","8436","大江","119.5","+1","+0.84","26W20","05/15","33.5","+0.1","29.9","+0.02","29","+0.02"
