"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"247","5328","華容","28.6","-0.55","-1.89","28,585","05/15","-852","-127","-202","-255","+845","+1,075","+1,479","+1,629","+3,533","+1,076"
"248","4951","精拓科","120.5","-8","-6.23","648","05/15","-136","-171","-188","-254","+166","+887","+776","+874","+808","+954"
"249","5371","中光電","68.6","0","0","4,198","05/15","-15","+4","+62","-254","-592","-657","-10,269","-20,141","+10,592","-13,488"
"250","2465","麗臺","77.3","-5.3","-6.42","3,037","05/15","-107","-216","-260","-251","+259","+1,773","+2,231","+1,798","+1,559","+2,049"
"251","1319","東陽","78.6","-0.6","-0.76","2,264","05/15","+4","-51","-62","-249","+119","+115","+1,149","+1,299","+3,696","+797"
"252","3515","華擎","225","-2.5","-1.1","504","05/15","-25","-56","-61","-246","-376","-190","-122","+1,027","+987","+582"
"253","00670L","富邦NASDAQ正2","206.6","-2.25","-1.08","1,434","05/15","-195","-223","-243","-242","-241","-681","+14","+118","-1,784","-63"
"254","3701","大眾控","55.6","-1.2","-2.11","1,935","05/15","-126","-194","-415","-241","-1,015","-1,055","+4,535","+6,791","+6,027","-123"
"255","3257","虹冠電","53.5","-0.9","-1.65","659","05/15","-101","-98","-108","-240","-135","-98","-165","-643","-405","-960"
"256","4908","前鼎","242.5","+2.5","+1.04","686","05/15","-97","-102","-183","-240","+483","-1,931","-55","-45","+414","-70"
"257","8383","千附","54.5","-0.1","-0.18","1,024","05/15","-168","-102","-27","-235","-94","-211","+762","+347","-151","+203"
"258","1591","駿吉-KY","50.6","-2.1","-3.98","905","05/15","-57","-100","-157","-233","-222","+406","-74","-72","+130","+119"
"259","0052","富邦科技","55.95","-0.65","-1.15","50,889","05/15","-218","-350","-284","-232","-2,048","+1,910","-1,436","+8,521","+8,971","+1,401"
"260","2033","佳大","14.85","-0.15","-1","133","05/15","-19","+2","-83","-232","-1,176","-1,371","-3,486","-5,575","-4,036","-3,940"
