"排名","代號","名稱","市場","股價日期","K線","成交","漲跌價","漲跌幅","成交張數","成交額(百萬)","昨收","開盤","最高","最低","振幅(%)","PER","PBR","1個月走勢圖","3個月走勢圖","1年走勢圖","3年走勢圖","10年走勢圖"
"237","6257","矽格","市","05/12","","210","-2.5","-1.18","12,870","2,713","212.5","213.5","214","208","2.82","31.4","4.65","","","","",""
"238","7703","銳澤","櫃","05/12","","209.5","-1","-0.48","138","29","210.5","212","212","208","1.9","24","3.4","","","","",""
"239","2247","汎德永業","市","05/12","","209","-3","-1.42","181","37.9","212","210.5","210.5","208","1.18","13.2","1.36","","","","",""
"240","3035","智原","市","05/12","","208.5","+13","+6.65","40,874","8,047","195.5","200.5","210.5","187","12","74.2","4.16","","","","",""
"241","6672","騰輝電子-KY","市","05/12","","206","-3","-1.44","3,942","825","209","209.5","215","204.5","5.02","37.3","3.96","","","","",""
"242","2474","可成","市","05/12","","205.5","-2.5","-1.2","3,226","663","208","207","207.5","202","2.64","18.1","0.85","","","","",""
"243","00670L","富邦NASDAQ正2","市","05/12","","204.8","-0.6","-0.29","1,547","317","205.4","206.05","206.4","204","1.17","","1.0051","","","","",""
"244","1503","士電","市","05/12","","204.5","-2","-0.97","3,465","707","206.5","208","208","201","3.39","32.6","2.94","","","","",""
"245","3376","新日興","市","05/12","","204","-2.5","-1.21","3,078","625","206.5","206.5","206.5","201","2.66","125","2.32","","","","",""
"246","6761","穩得","櫃","05/12","","204","-6","-2.86","1,687","354","210","213","219.5","203.5","7.62","29.6","4.34","","","","",""
"247","4931","新盛力","櫃","05/12","","202.5","+15.5","+8.29","32,312","6,516","187","198","205.5","192","7.22","64.7","10.78","","","","",""
"248","2428","興勤","市","05/12","","201.5","+8.5","+4.4","2,831","565","193","193","204.5","193","5.96","18.3","2.2","","","","",""
"249","6449","鈺邦","市","05/12","","198.5","+18","+9.97","3,918","758","180.5","182","198.5","177.5","11.6","26.9","3.76","","","","",""
"250","6147","頎邦","櫃","05/12","","196","-0.5","-0.25","31,804","6,260","196.5","196.5","201.5","193","4.33","57.1","3.11","","","","",""
"251","8069","元太","櫃","05/12","","195.5","+17.5","+9.83","61,919","12,075","178","195.5","195.5","188.5","3.93","21.4","3.28","","","","",""
"252","6719","力智","市","05/12","","195","+5","+2.63","1,233","239","190","192.5","196","190","3.16","27.1","1.44","","","","",""
"253","3357","臺慶科","櫃","05/12","","194","+7.5","+4.02","7,844","1,489","186.5","187","196","180","8.58","19.8","2.25","","","","",""
"254","3617","碩天","市","05/12","","194","-8.5","-4.2","642","126","202.5","202.5","202.5","193","4.69","13.4","1.9","","","","",""
"255","4571","鈞興-KY","市","05/12","","194","-3.5","-1.77","614","120","197.5","199","199","191.5","3.8","20.2","3.19","","","","",""
"256","6658","聯策","市","05/12","","194","+17.5","+9.92","728","140","176.5","193.5","194","187","3.97","74","5.12","","","","",""
"257","6782","視陽","市","05/12","","190","-4.5","-2.31","447","85.4","194.5","194.5","196","189.5","3.34","12.8","2.84","","","","",""
