排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 年度,政府 機構 (%),政府 機構 增減,僑外 投資 (%),僑外 投資 增減,本國金 融機構 (%),本國金 融機構 增減,本國 法人 (%),本國 法人 增減,本國 個人 (%),本國 個人 增減,庫藏 股票 (%),庫藏 股票 增減
753,2640,大車隊,148.5,3.0,2.06,2026,0.0,0.0,5.09,-2.41,5.74,0.29,52.4,0.73,36.8,1.39,0,0.0
754,2641,正德,17.25,0.05,0.29,2026,0.0,0.0,1.44,-3.69,0.0,0.0,19.9,0.51,78.7,3.18,0,0.0
755,2642,宅配通,20.55,0.05,0.24,2026,0.0,0.0,5.18,-0.34,0.0,0.0,56.0,-0.54,38.8,0.88,0,0.0
756,2643,捷迅,58.5,0.3,0.52,2026,0.0,0.0,1.42,-1.02,0.02,0.01,22.1,1.94,76.5,-0.92,0,0.0
757,2645,長榮航太,196.5,-1.5,-0.76,2026,0.0,0.0,5.88,-0.52,6.88,5.32,72.7,-0.72,14.6,-4.08,0,0.0
758,2646,星宇航空,21.15,-0.1,-0.47,2026,0.01,0.01,2.33,0.69,0.11,0.02,59.4,-0.47,38.2,-0.24,0,0.0
759,2701,萬企,10.8,-0.05,-0.46,2026,0.0,0.0,0.58,0.05,0.02,0.01,79.4,0.0,20.0,-0.06,0,0.0
760,2702,華園,13.0,0.0,0.0,2026,0.0,0.0,39.4,-0.06,0.0,0.0,23.4,-0.02,37.2,0.08,0,0.0
761,2704,國賓,45.6,-0.2,-0.44,2026,0.0,0.0,9.92,-1.95,0.87,-0.01,71.0,0.53,18.2,1.43,0,0.0
762,2705,六福,16.35,0.25,1.55,2026,0.0,0.0,1.56,-1.01,0.46,0.04,26.2,3.92,71.8,-2.94,0,0.0
763,2706,第一店,12.8,-0.05,-0.39,2026,0.0,0.0,2.71,-0.04,0.01,0.0,75.5,-0.01,21.8,0.05,0,0.0
764,2707,晶華,179.0,1.0,0.56,2026,0.55,-0.35,6.22,-0.67,4.13,-1.17,56.8,0.8,32.3,1.38,0,0.0
765,2712,遠雄來,15.0,0.0,0.0,2026,0.0,0.0,0.19,0.0,0.0,0.0,73.2,-0.02,26.6,0.02,0,0.0
766,2719,燦星旅,22.65,-1.0,-4.23,2026,0.0,0.0,0.12,-0.1,0.0,0.0,80.6,-0.3,19.3,0.4,0,0.0
767,2722,夏都,21.95,-0.05,-0.23,2026,0.0,0.0,0.3,-0.14,0.0,0.0,78.6,2.04,21.1,-1.91,0,0.0
768,2723,美食-KY,62.0,-0.1,-0.16,2026,0.0,0.0,46.6,-2.38,0.94,-0.69,4.9,0.91,47.6,2.17,0,0.0
769,2724,藝舍-KY,11.85,0.3,2.6,2026,0.0,0.0,15.1,-0.02,0.0,0.0,10.6,0.28,74.3,-0.27,0,0.0
770,2731,雄獅,145.0,1.0,0.69,2026,0.48,-0.7,25.3,19.9,6.14,3.72,10.9,-3.39,57.1,-19.5,0,0.0
771,2734,易飛網,15.05,-0.15,-0.99,2026,0.0,0.0,3.92,0.74,0.0,0.0,24.5,-0.09,71.5,-0.65,0,0.0
772,2736,富野,11.85,-0.1,-0.84,2026,0.0,0.0,0.61,-0.01,0.01,0.01,20.3,0.07,79.1,-0.08,0,0.0
773,2739,寒舍,35.0,0.15,0.43,2026,0.0,0.0,3.32,0.94,0.0,0.0,69.8,0.71,26.9,-1.66,0,0.0
774,2740,華軒,33.85,-0.05,-0.15,2026,0.0,0.0,1.96,-0.23,0.0,0.0,50.5,-14.7,47.5,14.9,0,0.0
775,2743,山富,60.0,-0.9,-1.48,2026,0.0,0.0,1.18,0.21,0.0,0.0,35.3,13.8,63.5,-14.0,0,0.0
776,2745,五福,94.2,-0.5,-0.53,2026,0.0,0.0,1.33,-0.28,1.32,1.25,38.9,0.1,58.4,-1.07,0,0.0
777,2748,雲品,39.85,0.1,0.25,2026,0.0,0.0,1.01,-0.25,0.77,-0.05,60.4,-0.02,37.9,0.32,0,0.0
778,2751,王座,52.5,0.4,0.77,2026,0.0,0.0,0.46,0.07,0.0,0.0,64.0,-0.41,35.6,0.34,0,0.0
779,2752,豆府,175.0,-3.0,-1.69,2026,0.0,0.0,1.23,0.0,0.0,0.0,61.2,0.19,37.6,-0.18,0,0.0
780,2753,八方雲集,178.5,2.5,1.42,2026,0.0,0.0,6.35,-0.54,1.85,-0.03,26.1,0.69,65.7,-0.12,0,0.0
781,2754,亞洲藏壽司,68.6,-0.1,-0.15,2026,0.0,0.0,68.1,-1.39,0.0,0.0,3.74,1.47,28.2,-0.08,0,0.0
