股票代號,股票名稱,法人持股,上榜區塊
3563,牧德,12.985356321205073,5日
3576,聯合再生,12.029896854357384,5日
3583,辛耘,28.855631199431258,"20日,120日"
3588,通嘉,6.18,"60日,20日,120日"
3591,艾笛森,8.17,"60日,20日,5日,120日"
3592,瑞鼎,4.628028542160035,5日
3596,智易,36.54676250355899,"60日,20日"
3605,宏致,16.929105844315146,"60日,20日,120日"
3645,達邁,12.957703365279285,"5日,120日"
3652,精聯,2.34,20日
3653,健策,33.67892825839359,"20日,5日"
3661,世芯-KY,56.77981385868863,"60日,5日,120日"
3665,貿聯-KY,51.95475277594155,"5日,120日"
3702,大聯大,31.102900351544445,120日
3704,合勤控,15.051962714821173,"60日,20日,5日,120日"
3706,神達,13.528907325032753,"60日,120日"
3708,上緯投控,8.509827377735052,120日
3714,富采,12.143671611934653,"20日,5日"
3715,定穎投控,14.079989059668339,20日
3717,聯嘉投控,7.36,"60日,20日,120日"
4155,訊映,2.25,20日
4169,泰宗,7.5,"20日,5日"
4306,炎洲,6.97,60日
4526,東台,8.21,"60日,20日,120日"
4532,瑞智,18.128708647865896,"60日,20日"
4540,全球傳動,3.85,5日
4551,智伸科,56.17008370344479,"60日,20日,5日,120日"
4566,時碩工業,2.51,20日
4571,鈞興-KY,64.3200586188064,"60日,120日"
4576,大銀微系統,5.63419892554579,120日
4590,富田-創,4.06,"60日,20日,5日"
4722,國精化,10.08469807213148,"60日,20日,5日,120日"
4737,華廣,28.61,120日
4746,台耀,11.438365418104048,20日
4755,三福化,24.509847278215798,120日
4764,雙鍵,31.9100335687489,"20日,5日,120日"
4766,南寶,15.51833962922028,20日
4771,望隼,8.42,"60日,20日,5日,120日"
4916,事欣科,6.718191729149959,120日
4919,新唐,1.1962729662521767,5日
4934,太極,4.57,60日
4952,凌通,6.56451719114067,5日
4956,光鋐,11.223455187879209,5日
4958,臻鼎-KY,68.12049753607086,5日
4961,天鈺,17.16159136128928,"60日,20日,5日,120日"
4977,眾達-KY,17.176448269301346,"20日,5日"
4989,榮科,6.243268590797415,"20日,120日"
5258,虹堡,5.830906085226703,"20日,5日"
5269,祥碩,15.012834729964109,"60日,20日,5日"
5284,jpp-KY,52.225201511520986,5日
5285,界霖,7.64753029367844,"60日,5日,120日"
5388,中磊,19.014255773745887,"60日,5日"
5434,崇越,33.3506135954192,"60日,20日,120日"
5469,瀚宇博,15.577799640452026,20日
5471,松翰,12.349278043119435,5日
5546,永固-KY,53.83,120日
5871,中租-KY,40.66559170508585,120日
5876,上海商銀,52.84349608022509,5日
5880,合庫金,16.337550025766273,20日
6116,彩晶,4.820337256524573,5日
6120,達運,10.146928650179637,120日
6142,友勁,2.8,5日
6155,鈞寶,9.58,"60日,5日"
6164,華興,8.7,"60日,20日,5日,120日"
6165,浪凡,18.56,"60日,120日"
6166,凌華,21.388552662892042,"60日,120日"
6168,宏齊,4.127084006860923,60日
6189,豐藝,7.887990587196798,5日
6191,精成科,13.278681321762537,20日
6202,盛群,18.090758441621578,"60日,20日,5日,120日"
6205,詮欣,2.2787839861728525,5日
6206,飛捷,13.311053998256032,"60日,120日"
6213,聯茂,21.51104054272218,"60日,20日,120日"
6214,精誠,13.568033576069116,"60日,5日,120日"
6224,聚鼎,6.06,20日
6226,光鼎,10.53,"60日,20日,5日,120日"
6243,迅杰,3.26,20日
6257,矽格,25.77370661358956,20日
6271,同欣電,34.74211858120308,"60日,20日,5日,120日"
6277,宏正,9.557123658105086,"60日,120日"
6282,康舒,14.88794518925613,60日
6285,啟碁,23.781391905209247,"60日,120日"
6405,悅城,3.76,5日
6409,旭隼,57.57778195727525,"60日,20日"
6414,樺漢,43.829711585652504,"60日,20日,5日,120日"
6415,矽力*-KY,84.15664632333588,"60日,120日"
6416,瑞祺電通,5.427927700186207,"60日,5日"
6442,光聖,37.72708508579007,5日
6443,元晶,12.75,"5日,120日"
6446,藥華藥,26.6589750980834,"60日,20日,120日"
6449,鈺邦,11.866713318307616,"60日,5日,120日"
6451,訊芯-KY,63.782953428419304,5日
6491,晶碩,19.671914102564102,"60日,20日,5日,120日"
6505,台塑化,6.689633970097778,5日
6525,捷敏-KY,16.37933262653352,"20日,5日"
6526,達發,8.585322289432863,20日
6531,愛普*,36.33796557298669,"60日,5日"
6550,北極星藥業-KY,68.51,120日
6579,研揚,4.1171281609708785,5日
6585,鼎基,3.68,5日
6669,緯穎,32.83144086536954,5日
6672,騰輝電子-KY,26.60698729588802,"60日,20日,120日"
6691,洋基工程,17.328095280219994,60日
6695,芯鼎,5.6,"60日,20日,120日"
6706,惠特,11.142741497919799,"5日,120日"
6715,嘉基,8.969610811796839,"60日,120日"
6719,力智,7.613594863576878,"20日,5日"
6742,澤米,2.51,5日
6753,龍德造船,4.45606146914988,20日
6770,力積電,15.647882040207568,60日
6782,視陽,9.336153968253969,20日
6799,來頡,11.45587629469154,"60日,20日"
6805,富世達,19.603564131789096,5日
6830,汎銓,11.331450525613391,"60日,20日,5日,120日"
6831,邁科,22.55718074074074,"60日,20日,120日"
