統一代號,股票名稱,產業別,B0_股價日期,B0_成交,B0_漲跌幅,B0_成交張數,B0_成交額(百萬),B0_PER,B0_5日均額(百萬),B0_量價狀態,B0_金額日變化率(%),B0_爆發倍數(X),今日上榜,△,法人持股,最新動態,5日ΔChange,20日ΔChange,60日ΔChange,120日ΔChange,外資持股比,B2_外資成交動態,B2_投信成交動態,B2_外資發行動態,B2_投信發行動態,B3_連買狀態,軋空評估,套牢評估,B4_融資減幅_當日,B4_融資減張_當日,B4_借券減幅_當日,B4_借券減張_當日,B4_融券增幅_當日,B4_融券增張_當日,B4_融資增幅_當日,B4_借券增幅_當日,B5_1000張_週動態,B5_1000張_最新週,B5_1000張_6周,B5_800張_週動態,B5_800張_最新週,B5_800張_6周,B5_600張_週動態,B5_600張_最新週,B5_600張_6周,B5_400張_週動態,B5_400張_最新週,B5_400張_6周,B6_總額(億),B6_收盤價,B6_成交均價,B7_董監持股%,B7_董監質押%,B7_持股近月增減%,B7_持股動態,B7_持股近半年增減%,B7_質押近月增減%,B7_質押動態,B8_主力連買動態,B8_斥資(億),B8_乖離率(%),B8_吃豆腐動態,B8_吃貨斥資(萬),B8_上榜期程,B8_集中度動態,B8_單日Δ,B8_5日Δ
4707,磐亞,化學工業,09/23,29.2,-1.68,1950.0,57.8,22.6,65.48,🥀 平量價縮 (下跌中繼，弱反彈信號),-16.834532374100718,0.88,,,,,,,,,0.70,,,⚪ 觀望 (無資料),,,,,,,,,10.2,5.0,,0.51,↘️ 微減,-0.29,-1.6799998,↘️ 微減,-0.05,-0.78999996,↘️ 微減,-0.04,-0.68999994,↘️ 微減,-0.14,-0.77,,,,7.01,74.6,0.0,🔄 持平,-4.29,0.0,➖ 持平,,,3.24,🚀 脫離成本區,1840.0,🔥10日 ,↗️ 溫和吃貨,-14.67,1.79
4711,永純,化學工業,09/23,16.3,0.0,24.0,0.39,19.2,0.33,⏸️ 平量滯漲 (拋壓增大，高位見頂),-27.77777777777778,1.18,,,,,,,,,2.00,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,18.5,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,,,,,,,
4714,永捷,化學工業,09/23,12.05,-1.23,1988.0,24.2,,44.92,⚖️ 溫和震盪整理,-63.55421686746988,0.54,,,,,,,,,4.60,,,🔥 持續加碼 (0.04%),,🌐 外資週連買(3)-🌱 週線發動,,,,-20.0,,,-18.6,-8.0,,,⚠️ 大減,-1.19,-0.66999996,↘️ 微減,-0.38,0.16999999,↘️ 微減,-0.1,0.44000006,↘️ 微減,-0.26,0.030000027,,,,10.2,0,0.0,🔄 持平,-2.5,0.0,➖ 持平,🔥 連 2 買,0.03,1.5,🎯 成本保衛戰 (極佳吃豆腐點),2186.0,,➡️ 橫盤震盪,-4.24,-1.13
4716,大立,化學工業,09/23,16.9,0.0,768.0,13.1,29.6,8.4,⚠️ 放量滯漲 (拋壓增大，即將見頂反轉),85.28995756718527,1.56,,,,,,,,,3.90,,,,,🌐 外資週連買(2)-🌱 週線發動,,,,,,-37.0,31.0,13.0,,,↗️ 微增,0.02,-4.34,↗️ 微增,0.02,-4.35,↘️ 微減,-0.11,-4.3999996,↘️ 微減,-0.06,-4.41,,,,10.6,30.1,0.20000076,📈 增,1.2000008,-0.69999886,↘️ 微減,,,-0.23,🎯 成本保衛戰 (極佳吃豆腐點),1099.0,,➡️ 橫盤震盪,-11.69,-2.25
4721,美琪瑪,化學工業,09/23,75.3,1.07,266.0,19.9,15.2,22.16,⏸️ 平量滯漲 (拋壓增大，高位見頂),1.5306122448979442,0.9,,,,,,,,,7.60,,,,,🌐 外資日連買(3)-🆕 試單觀察,,,,,,,,,,,↗️ 微增,0.05,1.4799999,↗️ 微增,0.05,1.48,↗️ 微增,0.05,-0.27999997,↗️ 微增,0.05,-0.8299999,,,,8.97,0,0.0,🔄 持平,-0.46000004,0.0,➖ 持平,,,1.69,🎯 成本保衛戰 (極佳吃豆腐點),625.0,🔥5日 🔥10日 ,↗️ 溫和吃貨,7.88,4.93
4726,永昕,生技醫療業,09/23,22.35,-1.32,109.0,2.45,,2.64,⏸️ 平量滯漲 (拋壓增大，高位見頂),-37.34015345268542,0.93,,,,,,,,,20.60,,,,,,,,,,,,,,,,↗️ 微增,0.02,0.03,↗️ 微增,0.03,0.050000012,↗️ 微增,0.03,0.06000001,↗️ 微增,0.03,0.06,,,,21.1,33.9,0.0,🔄 持平,0.0,0.0,➖ 持平,,,,,,,,,
4728,雙美,生技醫療業,09/23,400.0,1.65,1.0,0.41,26.8,8.22,📈 價升量縮 (量價背離，下方承接看拉高),-48.75000000000001,0.05,,,,,,,,,20.10,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,↗️ 微增,0.01,0.0,,,,7.96,0,-0.009999752,↘️ 微減,-0.03999996,0.0,➖ 持平,,,,,,,,,
4729,熒茂,光電業,09/23,18.8,0.0,64.0,1.19,41.8,1.39,⏸️ 平量滯漲 (拋壓增大，高位見頂),-2.4590163934426257,0.86,,,,,,,,,2.40,⚪ 觀望 (無資料),,,,🌐 外資週連買(5)-🚀 趨勢加溫,,,,,0.0,0.0,,,,,↗️ 微增,0.01,-1.73,↗️ 微增,0.01,-2.74,↗️ 微增,0.01,-0.9,↗️ 微增,0.01,-0.91,,,,21.0,0,0.10000038,📈 增,-12.0,0.0,➖ 持平,,,,,,,,,
4735,豪展,生技醫療業,09/23,35.85,0.0,21.0,0.76,5.97,1.18,⚖️ 溫和震盪整理,-32.14285714285715,0.64,,,,,,,,,0.50,,,,,🌐 外資週連買(2)-🌱 週線發動,,,,,,,,,,0.0,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,0.0,,,,19.8,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,,,,,,,
4741,泓瀚,化學工業,09/23,37.55,-0.66,43.0,1.62,31.0,1.82,⏸️ 平量滯漲 (拋壓增大，高位見頂),-37.69230769230769,0.89,,,,,,,,,6.30,,,,,,,,,,,,,,,,🔄 持平,0.0,0.0,🔄 持平,-0.0,0.0,🔄 持平,-0.0,-0.02,↗️ 微增,0.15,1.2699999,,,,30.9,0,0.0,🔄 持平,0.0,0.0,➖ 持平,,,,,,,,,
4743,合一,生技醫療業,09/23,45.15,1.69,1051.0,47.4,347.0,41.22,⚖️ 溫和震盪整理,49.99999999999998,1.15,,,,,,,,,10.90,,,,,,,,,,,,,,,,↘️ 微減,-0.14,0.04000002,↘️ 微減,-0.14,0.03999999,↘️ 微減,-0.25,-0.25999996,↘️ 微減,-0.21,-0.25,,,,0.0,0,0.0,🔄 持平,0.0,0.0,➖ 持平,🔥 連 1 買,0.08,-0.13,🎯 成本保衛戰 (極佳吃豆腐點),1554.0,🔥5日 🔥10日 ,🚀 籌碼急凍 (強勢吸籌),26.44,7.53
4744,皇將,生技醫療業,09/23,27.9,-1.06,37.0,1.04,18.2,3.27,⚖️ 溫和震盪整理,40.54054054054055,0.32,,,,,,,,,3.10,,,,,,,⚠️ 初危,,,,,,,,0.0,↗️ 微增,0.01,0.59000003,↘️ 微減,-0.01,0.59,↘️ 微減,-0.01,-0.52000004,↘️ 微減,-0.01,0.34999996,,,,10.3,0,1.1900005,🔥 大增,2.46,0.0,➖ 持平,,,,,,,,,
4745,合富-KY,生技醫療業,09/23,11.9,0.42,30.0,0.35,,0.23,⚠️ 放量滯漲 (拋壓增大，即將見頂反轉),0.0,1.52,,,,,,,,,11.20,,,,,🌐 外資日連買(2)-🆕 試單觀察,,,,,,,,,,,↗️ 微增,0.05,-2.21,↗️ 微增,0.05,-2.0800002,↗️ 微增,0.05,-1.9499999,↗️ 微增,0.05,-1.73,,,,24.2,34.1,1.2000008,🔥 大增,2.7000008,0.0,➖ 持平,,,,,,,,,
