"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"138","4123","晟德","32.4","+0.45","+1.41","1,864","08/19","-4","+6","+24","+24","-980","-1,399","-1,537","-1,135","+6","-305"
"139","6265","方土昶","59.2","+0.4","+0.68","6,213","08/19","-12","-130","-110","+24","+88","+134","+145","-397","+153","-2,320"
"140","8086","宏捷科","115.5","+0.5","+0.43","4,703","08/19","-11","+31","+29","+24","+22","+29","-55","-1","-112","-57"
"141","00735","國泰臺韓科技","98.75","-3.25","-3.19","2,785","08/19","+5","-8","-3","+23","+28","+431","+429","+449","+455","+455"
"142","6108","競國","24.75","+1.15","+4.87","5,933","08/19","+15","+14","+12","+23","+34","+47","+45","+29","+47","+29"
"143","6530","創威","79.9","-0.9","-1.11","467","08/19","+1","0","+12","+23","+41","+52","+40","-16","-55","-4"
"144","1529","樂事綠能","16.8","0","0","270","08/19","-17","-20","+20","+22","-17","+671","+670","+655","+670","+671"
"145","2331","精英","19.5","-0.75","-3.7","2,802","08/19","-1","+10","-14","+22","+32","+42","+53","-273","+6","-62"
"146","2392","正崴","41.05","+0.75","+1.86","3,782","08/19","+14","-57","-62","+22","+59","+66","+56","+36","+15","+29"
"147","4739","康普","83.3","-3.7","-4.25","1,755","08/19","-14","-11","+9","+22","+50","+58","+53","+102","+103","+107"
"148","4927","泰鼎-KY","32.25","-0.5","-1.53","1,457","08/19","+14","+20","+7","+22","+14","-350","+29","+403","+488","-621"
"149","5471","松翰","57","+0.8","+1.42","1,897","08/19","+1","-33","-74","+22","+8","+38","+41","+47","+51","+57"
"150","00670L","富邦NASDAQ正2","199.5","-5.15","-2.52","774","08/19","-1","+24","+33","+21","+36","+37","-23","-226","-785","-280"
"151","1477","聚陽","192.5","-5","-2.53","4,284","08/19","-11","+20","+21","+21","+21","+17","-3","+17","+16","+17"
"152","3022","威強電","91.9","-0.9","-0.97","1,336","08/19","+12","+21","+21","+21","+6","+13","+17","+13","+3","+11"
"153","3265","台星科","180.5","+9.5","+5.56","5,818","08/19","+7","+14","+17","+21","+43","+30","+7","+4","+30","-22"
"154","4903","聯光通","34.55","0","0","418","08/19","+5","+15","+17","+21","-2","+8","-191","+39","+39","-220"
"155","4991","環宇-KY","486.5","+1.5","+0.31","983","08/19","+24","+15","-47","+21","+45","+70","-71","-55","-4,006","-434"
"156","1402","遠東新","28","+0.2","+0.72","13,262","08/19","-1","-1","+2","+20","+23","-23","-109","-10","-35","-4"
"157","2476","鉅祥","119","-0.5","-0.42","2,081","08/19","-3","-9","+8","+20","+3","+18","-8","+12","-299","+17"
"158","4906","正文","33.95","-0.25","-0.73","2,103","08/19","-1","+21","+19","+20","+51","+33","-458","+37","+74","+14"
"159","6202","盛群","58","+0.7","+1.22","1,474","08/19","0","+3","+7","+20","-31","-1","+4","-169","-13","-18"
"160","6278","台表科","174.5","+2.5","+1.45","6,449","08/19","+1","-5","-3","+20","-3","-14","-75","+46","+56","+28"
"161","8028","昇陽半導體","247","-1.5","-0.6","2,494","08/19","-21","+7","+6","+20","+8","-74","-455","-322","-1,008","-1,741"
"162","4416","三圓","12.35","+0.1","+0.82","3,369","08/19","+5","+12","+14","+19","+19","+11","+19","-3","+19","+19"
"163","6727","亞泰金屬","443.5","+2","+0.45","1,255","08/19","0","+3","+14","+19","+19","+22","-21","+23","",""
"164","00830","國泰費城半導體","84.1","-3.65","-4.16","10,229","08/19","-23","-18","-15","+18","-30","-325","+34","-21","+30","-21"
"165","1316","上曜","10.6","+0.15","+1.44","1,387","08/19","-42","+1","-126","+18","-9","+7","+9","+23","-41","-679"
"166","2376","技嘉","348.5","+0.5","+0.14","6,754","08/19","-21","-375","-264","+18","+71","-405","-16","-83","+28","-186"
"167","2886","兆豐金","47.05","+0.15","+0.32","25,322","08/19","+2","-238","-241","+18","-39","-35","-4","-3","-77","-12"
"168","3622","洋華","48.7","-0.65","-1.32","329","08/19","-5","-4","+2","+18","+18","+20","+19","+17","+13","+18"
"169","3707","漢磊","61.4","-1.5","-2.38","2,998","08/19","-2","-34","-8","+18","+14","-210","-201","+91","-557","-2,535"
"170","6120","達運","12.55","-0.05","-0.4","1,065","08/19","+7","+17","-10","+18","-6","+53","+48","-12","+15","-19"
"171","6218","豪勉","38.55","+0.8","+2.12","1,447","08/19","-12","+11","+18","+18","+25","+24","+4","+27","+27","+3"
"172","6243","迅杰","43.3","+0.45","+1.05","1,149","08/19","+23","+6","-26","+18","-17","-72","+154","+148","+146","+124"
"173","6271","同欣電","194","-1","-0.51","2,572","08/19","+4","+6","+17","+18","+15","+49","+30","-2","+14","+34"
"174","9945","潤泰新","29.8","+0.1","+0.34","7,505","08/19","-5","-65","+1","+18","+23","+34","+30","+33","+23","-59"
"175","1515","力山","31.4","-0.55","-1.72","1,887","08/19","-4","-7","-9","+17","+10","-121","+20","+22","0","+18"
"176","2360","致茂","2120","-185","-8.03","3,424","08/19","-9","-1","0","+17","+26","+33","-38","+2","-34","-7"
"177","3714","富采","55.2","-0.8","-1.43","3,273","08/19","-16","-10","+16","+17","+31","+88","-357","+62","+42","+28"
"178","5439","高技","234.5","-7.5","-3.1","1,383","08/19","+6","-2","+1","+17","+31","+59","+4","-162","-614","-295"
"179","6187","萬潤","1305","+45","+3.57","4,864","08/19","+6","-53","-9","+17","+34","+39","+20","-33","-121","-37"
"180","2439","美律","79.1","+0.1","+0.13","1,011","08/19","-4","+15","+16","+16","-68","-110","+17","+15","-184","0"
"181","6465","威潤","46.1","-0.7","-1.5","99","08/19","0","0","0","+16","+44","-197","+42","+44","+44","+44"
"182","6829","千附精密","213.5","-7","-3.17","719","08/19","-4","-11","+6","+16","+17","+20","-25","+23","-28","+21"
"183","9103","美德醫療-DR","5.17","-0.03","-0.58","665","08/19","-2","-1","+15","+16","-108","-109","+50","-913","-4","+55"
"184","00980A","主動野村臺灣優選","23.88","-0.59","-2.41","14,244","08/19","+3","+15","+15","+15","+6","+2","-20","+15","0","+3"
"185","3221","台嘉碩","47.85","+1.35","+2.9","1,913","08/19","+4","+6","+14","+15","+4","+80","-111","+141","+171","+161"
"186","3615","安可","36","-0.05","-0.14","373","08/19","-8","+3","+1","+15","+29","+20","-37","+14","+3","+36"
