"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"166","9906","欣巴巴","43.7","-2.55","-5.51","26W22","05/29","76.1","+1.11","74.6","+1.11","72.5","+0.12"
"167","3162","精確","83.6","-1.9","-2.22","26W22","05/29","57.6","-3.68","55.9","-4.03","53.7","-3.37"
"168","4716","大立","16.5","+0.05","+0.3","26W22","05/29","33.3","-0.01","25.9","-0.04","23.1","+0.01"
"169","00652","富邦印度","31.58","-0.15","-0.47","26W22","05/29","25","+0.4","23.1","+0.4","23.1","+0.4"
"170","8930","青鋼","27.6","0","0","26W22","05/29","60.8","+0.02","57.6","+0.02","55.3","+0.01"
"171","1303","南亞","96.9","+2.1","+2.22","26W22","05/29","83.9","+0.7","83.2","+0.72","82.4","+0.69"
"172","2385","群光","139","0","0","26W22","05/29","75.9","+0.63","73.5","+0.8","71.9","+0.55"
"173","2458","義隆","146","-0.5","-0.34","26W22","05/29","55.5","+0.88","52.9","+1.13","49.4","+0.25"
"174","3713","新晶投控","16","-0.15","-0.93","26W22","05/29","47","+0.03","45.4","+0.03","42.4","+0.01"
"175","009811","統一美國50","12.57","-0.05","-0.4","26W22","05/29","19.5","+1.44","17.3","+1.22","14.6","+1.21"
"176","2492","華新科","417.5","+10","+2.45","26W22","05/29","70.8","+1.85","69.7","+1.84","68.4","+1.48"
"177","6170","統振","51.7","-0.3","-0.58","26W22","05/29","51.4","+0.2","50.8","+0.27","47.9","+0.2"
"178","3625","西勝","15.1","-0.05","-0.33","26W22","05/29","41.4","+0.67","37.1","0","35.7","0"
"179","2731","雄獅","152","-2.5","-1.62","26W22","05/29","43.7","-0.87","40.1","+0.1","37.3","+0.1"
"180","5481","新華","19.5","+0.05","+0.26","26W22","05/29","59.5","-0.08","54.9","+0.01","51.3","0"
"181","00795B","中信美國公債20年","26.73","+0.04","+0.15","26W22","05/29","52.6","0","51.8","-0.02","50.8","+0.02"
"182","1319","東陽","102","-5","-4.67","26W22","05/29","80.6","-0.37","79.6","-0.38","79.2","-0.54"
"183","3027","盛達","20.2","-0.2","-0.98","26W22","05/29","40.6","-0.1","36.2","-0.15","34","-0.88"
"184","1437","勤益控","29.15","+0.4","+1.39","26W22","05/29","75.2","+0.21","70.6","+0.56","65.9","+0.11"
"185","6112","邁達特","46.6","-1","-2.1","26W22","05/29","57.4","-0.07","57","-0.07","55.5","-0.59"
"186","5490","同亨","28.25","-0.35","-1.22","26W22","05/29","28.8","-0.76","27.4","-0.06","24.5","-1.1"
"187","00926","凱基全球菁英55","24.45","-0.07","-0.29","26W22","05/29","43","+3.13","40.8","+2.48","39.7","+2.47"
"188","3543","州巧","31.35","-0.75","-2.34","26W22","05/29","42.9","+0.73","38.6","-0.44","32.9","-2.31"
"189","6598","ABC-KY","24.5","-0.4","-1.61","26W22","05/29","46.2","-0.12","43.4","-0.14","38.9","-0.1"
"190","6861","睿生光電","303.5","-13.5","-4.26","26W22","05/29","54.4","+3.39","51.1","+0.06","51.1","+0.06"
"191","00897","富邦基因免疫生技","9.59","-0.03","-0.31","26W22","05/29","15.4","+0.97","12.4","+0.97","10.6","+1"
"192","8101","華冠","15.05","-1.55","-9.34","26W22","05/29","79.4","0","79.4","0","79.4","0"
"193","8131","福懋科","68.7","+1.8","+2.69","26W22","05/29","71.7","+1.55","70.6","+1.58","70.3","+1.59"
"194","1326","台化","46.25","+0.05","+0.11","26W22","05/29","80.3","-0.17","79.5","-0.09","78.7","-0.17"
"195","2382","廣達","370","-10.5","-2.76","26W22","05/29","83.5","-0.35","82.2","-0.47","80.7","-0.46"
"196","5902","德記","36","0","0","26W22","05/29","83","+0.41","82.3","+0.4","80.2","+1.24"
"197","00937B","群益ESG投等債20+","14.89","+0.02","+0.13","26W22","05/29","54.6","+0.25","52","+0.28","50.2","+0.32"
"198","2065","世豐","34.6","+0.7","+2.06","26W22","05/29","48.6","+1.07","45.3","+1.07","42.2","+2.64"
"199","2444","兆勁","12.8","-0.15","-1.16","26W22","05/29","21.6","-0.06","18.8","-0.83","16.8","0"
"200","5234","達興材料","381","-3","-0.78","26W22","05/29","61.5","+0.6","58.8","+0.6","57.9","+0.6"
"201","3363","上詮","728","-19","-2.54","26W22","05/29","40.3","-0.97","35.2","-0.91","32.8","-2.59"
"202","4931","新盛力","234","-18","-7.14","26W22","05/29","24.9","+0.38","16.8","-1.37","12.8","-2.63"
"203","00995A","主動中信台灣卓越","16.95","-0.08","-0.47","26W22","05/29","12.9","+0.32","11.7","+0.51","10.8","+0.26"
"204","6182","合晶","80.9","+2.4","+3.06","26W22","05/29","36.6","+5.92","35.8","+5.92","33.9","+5.34"
