"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"143","3285","微端","36.65","-0.55","-1.48","42","08/19","+6.4","+7.38","+7.06","+14.1","+19.5","+12.6","+249","+101","+1.45","+65.4"
"144","2426","鼎元","68","+0.9","+1.34","10,942","08/19","+3.78","+11.9","+9.65","+13.9","+34","+41.4","-1.24","+260","+264","+253"
"145","2609","陽明","59","+2.8","+4.98","114,832","08/19","+5.52","+6.61","+12.9","+13.9","+12.1","+5.46","+1.02","+16.9","+1.73","+5.9"
"146","8210","勤誠","985","-40","-3.9","2,094","08/19","+6.03","+5.06","+4.97","+13.6","+43.1","+45.6","+60.7","+67.1","+72.7","+86.7"
"147","6582","申豐","31.35","+0.25","+0.8","52","08/19","+6.67","+6.67","+6.67","+13.6","+12.2","+0.82","-1.08","+1.1","+43.8","-7.07"
"148","3441","聯一光","88.5","+2.3","+2.67","9,648","08/19","+5.14","+4.89","+4.25","+13.5","-2","+64.7","+76.3","+91","+166","+74.7"
"149","4590","富田-創","86.5","0","0","455","08/19","-29","-39","-10.6","+13.4","","","","","",""
"150","00639","富邦深100","16.67","-0.54","-3.14","1,200","08/19","+8.03","+8.03","+8.64","+13.4","+22.6","-20.7","-37.2","-64","-86.6","-72"
"151","2465","麗臺","85.9","-0.3","-0.35","3,987","08/19","+6.09","+2.8","+9","+13.3","+17.3","+29.6","+120","+433,400","+651","+2,269"
"152","3529","力旺","2260","-80","-3.42","1,117","08/19","+1.87","+0.5","-0.7","+13.3","+28.5","+43.1","-22","-19","+17.6","-14.3"
"153","9942","茂順","114","-0.5","-0.44","56","08/19","+13","+18.2","+18.2","+13","+13","-55.9","-67.5","-69","-90.7","-82.2"
"154","1515","力山","31.4","-0.55","-1.72","1,887","08/19","-3.43","-2.73","+0.45","+12.8","+29","-15.2","+35.3","+43.4","-21.9","+34.8"
"155","6532","瑞耘","87.8","+3","+3.54","1,052","08/19","+2.76","+5.17","+12","+12.7","+25.8","+26.8","+6.36","+79.3","+24.2","+65.6"
"156","8358","金居","410.5","-5.5","-1.32","15,547","08/19","-1.94","-0.23","+3.08","+12.6","+19","+68.2","+9.83","+37.5","-42.6","+2.29"
"157","2606","裕民","69.5","+0.5","+0.72","5,172","08/19","+5.76","+10.8","+7.32","+12.5","+18.3","-17.1","-15","-53.1","-59.5","-63.5"
"158","6803","崑鼎","268","-0.5","-0.19","35","08/19","0","+8","+17.4","+12.5","+12.5","-34.1","+12.5","-18.2","+22.7","-71.3"
"159","2886","兆豐金","47.05","+0.15","+0.32","25,322","08/19","+0.95","-3.32","-0.14","+12.4","+61.3","+170","+95.1","+62.4","-5","+76.8"
"160","2033","佳大","22.5","+0.5","+2.27","1,392","08/19","+0.95","+6.28","+6.6","+12.4","+16.4","+17.2","+17.5","-49.5","-56.8","-52.8"
