排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
235,3706,神達,87.4,3.3,3.92,07/31,0.0,0.08,0.05,0.03,0.02,0.08,0.06,0.07,0.83,0.79,0.91,0.16
236,9933,中鼎,35.25,-0.5,-1.4,07/31,0.0,0.0,0.0,0.03,0.08,1.01,0.24,0.14,0.07,0.03,0.05,0.18
237,2301,光寶科,209.0,19.0,10.0,07/31,0.01,0.02,0.03,0.03,0.4,2.57,3.42,3.08,4.41,4.69,3.79,3.47
238,1722,台肥,45.8,0.0,0.0,07/31,0.0,0.0,0.0,0.03,0.02,0.06,0.05,0.16,1.25,3.8,1.88,0.18
239,2903,遠百,22.15,-0.4,-1.77,07/31,0.0,0.0,0.0,0.03,0.02,0.06,1.21,3.34,2.8,6.53,3.26,4.85
240,00981A,主動統一台股增長,26.13,2.37,9.97,07/31,0.0,0.01,0.03,0.03,0.02,0.21,0.24,0.14,0.13,,,0.14
241,2395,研華,563.0,16.0,2.93,07/31,0.0,0.04,0.03,0.03,0.71,0.64,0.78,1.13,1.66,1.72,1.53,1.08
242,9917,中保科,109.0,-2.0,-1.8,07/31,0.0,0.0,0.0,0.03,0.03,0.06,1.06,1.61,1.19,0.19,0.1,1.76
243,00708L,期元大S&P黃金正2,71.25,1.3,1.86,07/31,0.0,0.0,0.0,0.02,0.38,0.15,0.05,0.06,0.07,0.04,,0.08
244,1210,大成,56.0,-1.4,-2.44,07/31,0.0,0.0,0.0,0.02,0.02,0.5,1.19,5.09,5.97,3.9,2.53,5.4
245,2855,統一證,43.3,3.2,7.98,07/31,0.0,0.0,0.0,0.02,0.07,0.19,0.25,0.33,0.6,3.14,1.73,0.57
246,2458,義隆,151.0,3.0,2.03,07/31,0.0,0.0,0.0,0.02,0.07,0.73,2.42,3.45,5.2,4.2,2.49,4.92
247,2006,東和鋼鐵,74.6,1.2,1.63,07/31,0.0,0.0,0.0,0.02,0.17,0.23,18.4,12.0,9.86,8.85,3.73,11.7
248,3231,緯創,176.0,16.0,10.0,07/31,0.01,0.04,0.03,0.02,0.67,1.56,1.07,1.17,2.65,2.52,2.3,1.45
249,6789,采鈺,423.5,38.5,10.0,07/31,0.0,0.06,0.03,0.02,0.05,0.86,0.39,0.32,0.32,0.82,,0.31
250,1785,光洋科,99.4,9.0,9.96,07/31,0.0,0.05,0.02,0.02,0.25,0.82,0.29,0.17,0.14,0.48,0.34,0.18
251,2353,宏碁,28.85,0.95,3.41,07/31,0.03,0.03,0.02,0.02,6.59,9.2,3.98,3.19,3.46,4.31,2.11,3.5
