排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 張數,2日 增減 張數,3日 增減 張數,5日 增減 張數,10日 增減 張數,1個月 增減 張數,3個月 增減 張數,半年 增減 張數,1年 增減 張數,今年 增減 張數
148,1442,名軒,29.85,0.2,0.67,08/13,3,5,-127,-767,-687,-680,179.0,1522.0,-4207.0,-807.0
149,6112,邁達特,46.55,0.4,0.87,08/13,0,-103,-502,-738,-719,-564,1463.0,894.0,-2852.0,501.0
150,2340,台亞,31.4,-0.35,-1.1,08/13,-679,-880,-865,-730,49,3209,4146.0,-973.0,5884.0,917.0
151,5512,力麒,7.71,-0.2,-2.53,08/13,-591,-754,-747,-722,-353,-415,607.0,-138.0,-4204.0,-740.0
152,2504,國產,31.15,-0.05,-0.16,08/13,-181,-224,-263,-721,756,2462,26186.0,53632.0,41352.0,47705.0
153,4142,國光生,17.3,0.05,0.29,08/13,7,-81,-464,-718,-754,1195,2066.0,-809.0,-1709.0,-423.0
154,3035,智原,177.0,-2.0,-1.12,08/13,189,214,-1,-709,-94,-1003,-13670.0,-13845.0,-5218.0,-13852.0
155,2049,上銀,381.0,12.0,3.25,08/13,-297,-396,-620,-705,-1242,-2243,-4206.0,-15120.0,-17186.0,-18724.0
156,2464,盟立,196.0,-0.5,-0.25,08/13,44,-21,-259,-704,-1107,-668,249.0,-6917.0,-6365.0,-6981.0
157,8927,北基,19.9,-0.1,-0.5,08/13,2,-2,-38,-697,-1082,-2066,-4211.0,-4020.0,-8177.0,-4432.0
158,3056,富華新,13.85,-0.25,-1.77,08/13,94,-330,-472,-695,-2303,-4734,-8431.0,-11241.0,5420.0,-13149.0
159,6548,長科*,74.5,-0.8,-1.06,08/13,-90,-790,-767,-691,-1804,3950,-3105.0,7227.0,7360.0,3048.0
160,3324,雙鴻,1035.0,-15.0,-1.43,08/13,134,-3,-527,-663,-835,-1736,-948.0,4749.0,2087.0,4731.0
161,3591,艾笛森,20.95,-0.3,-1.41,08/13,-406,-406,-453,-662,-589,-642,-2508.0,-407.0,-1699.0,-111.0
162,3450,聯鈞,527.0,20.0,3.94,08/13,-179,-154,-411,-656,-1384,1723,-676.0,-8603.0,-8612.0,-8620.0
163,5608,四維航,14.0,-0.3,-2.1,08/13,72,-105,-662,-655,-869,93,-195.0,1330.0,-5265.0,-960.0
164,00675L,富邦臺灣加權正2,316.0,7.65,2.48,08/13,5,5,6,-649,-816,-383,-475.0,-852.0,3318.0,-945.0
165,8105,凌巨,16.75,-0.4,-2.33,08/13,-510,-839,-709,-647,-619,-1691,4585.0,881.0,6289.0,5905.0
166,9907,統一實,15.0,0.1,0.67,08/13,-566,-784,-817,-627,-627,-6320,8311.0,26353.0,33858.0,27700.0
167,00994A,主動第一金台股優,17.36,0.28,1.64,08/13,0,0,-325,-625,-309,383,-459.0,2227.0,,
168,00892,富邦台灣半導體,41.52,0.53,1.29,08/13,0,0,-62,-622,-1910,-2191,589.0,2323.0,1028.0,2383.0
169,1582,信錦,75.1,-0.3,-0.4,08/13,-151,-387,-379,-622,-858,-1216,-550.0,1074.0,4839.0,4971.0
170,1808,潤隆,33.1,0.35,1.07,08/13,-406,-502,-500,-620,-608,-2704,-2500.0,-587.0,-6065.0,507.0
171,2485,兆赫,43.65,-0.35,-0.8,08/13,242,195,266,-611,-469,-1410,-1874.0,-718.0,9536.0,-689.0
172,2101,南港,34.25,-0.05,-0.15,08/13,-709,-788,-583,-594,-688,-2900,-8313.0,-5500.0,-1707.0,-4210.0
173,2362,藍天,47.9,-1.0,-2.04,08/13,0,3,19,-590,-1136,-1934,2507.0,1218.0,1036.0,2142.0
174,6669,緯穎,6070.0,45.0,0.75,08/13,-294,-514,-520,-576,-372,-727,-1748.0,3447.0,6389.0,4144.0
175,6261,久元,79.7,0.5,0.63,08/13,-10,-29,-91,-572,-698,-1224,702.0,2403.0,2053.0,2373.0
176,1316,上曜,10.0,-0.25,-2.44,08/13,-67,-401,-231,-567,-785,-492,2840.0,691.0,-13713.0,825.0
177,00877,復華中國5G,39.07,1.17,3.09,08/13,0,-290,-1171,-562,-1012,-655,1215.0,842.0,-832.0,-630.0
178,8043,蜜望實,154.0,6.5,4.41,08/13,-176,-372,-480,-560,-581,-589,-681.0,399.0,446.0,239.0
179,1313,聯成,11.95,0.55,4.82,08/13,69,74,174,-558,-97,-208,-19125.0,7646.0,3550.0,7500.0
