"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股800張以下(%)","800張以下增減","持股1千張以下(%)","1千張以下增減","持股超過1千張(%)","超過1千張增減"
"24","00861","元大全球未來通訊","86.95","-0.1","-0.11","26W28","07/09","98.2","+1.5","98.2","+1.5","1.84","-1.5"
"25","009822","華南永昌未來金融","9.57","-0.14","-1.44","26W28","07/09","91.6","-2.19","92.5","-2.18","7.54","+2.18"
"26","4951","精拓科","79","-1.5","-1.86","26W28","07/09","87.1","0","95.5","0","4.48","0"
"27","009804","聯邦台精彩50","21.5","-0.14","-0.65","26W28","07/09","97.6","+2.77","99.8","+2.64","1.09","-2.4"
"28","00944","野村趨勢動能高息","20.26","-0.21","-1.03","26W28","07/09","92.6","+0.26","92.6","-1.29","7.43","+1.29"
"29","00737","國泰AI機器人","40.48","-0.24","-0.59","26W28","07/09","91.2","-3.89","95.1","0","4.88","0"
"30","00939","統一台灣高息動能","22.25","+0.12","+0.54","26W28","07/09","93.8","-1.14","94.5","-1.14","5.52","+1.14"
"31","3141","晶宏","79","+0.6","+0.77","26W28","07/09","92.2","-0.03","94.8","0","5.21","0"
"32","6494","九齊","53.2","+2.7","+5.35","26W28","07/09","94.8","0","94.8","0","5.23","0"
"33","9103","美德醫療-DR","5.28","+0.05","+0.96","26W28","07/09","94.9","-0.53","96.7","-0.1","3.3","+0.1"
"34","00701","國泰股利精選30","38.59","-0.01","-0.03","26W28","07/09","92.9","-0.09","93.4","-0.07","6.6","+0.07"
"35","2314","台揚","12.15","0","0","26W28","07/09","95.9","-0.01","96.7","0","3.31","0"
"36","00893","國泰智能電動車","43.46","+0.04","+0.09","26W28","07/09","92.8","+0.2","93.6","-0.03","6.39","+0.03"
"37","00690","兆豐藍籌30","75","-0.8","-1.06","26W28","07/09","91.8","+0.83","95","+0.81","4.99","-0.81"
"38","00904","台新臺灣半導體30","39.15","-0.31","-0.79","26W28","07/09","90.3","+0.12","93.2","+0.73","6.84","-0.73"
"39","00952","凱基台灣AI50","17.74","-0.29","-1.61","26W28","07/09","90.1","-0.14","93.2","+0.22","6.81","-0.22"
