"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"587","1460","宏遠","6.64","-0.05","-0.75","26M03","18.6","0","26.8","0.09","0.45","0.08","0","0.12","0","0","18.7","0","26.9","0.09","0.45"
"588","6531","愛普*","932","+67","+7.75","26M03","2.74","0","16.9","0.01","0.43","0","0","0","0","0","2.74","0","16.9","0.01","0.43"
"589","9931","欣高","33.9","+0.05","+0.15","26M03","2.99","0","24.8","0","0","0.04","0","0.36","0.01","30.4","3.03","0","25.2","0.01","0.43"
"590","2882","國泰金","101.5","+2","+2.01","26M03","15.4","0","1.05","0.05","0.32","0","0","0","0","0","15.4","0","1.05","0.05","0.32"
"591","3189","景碩","862","+11","+1.29","26M03","13","+14,673","24.7","0.03","0.25","0","0","0","0","0","13","+14,673","24.7","0.03","0.25"
"592","8464","億豐","377","+9","+2.45","26M03","7.2","+12","24.6","0.01","0.06","0","0","0","0","0","7.2","+12","24.6","0.01","0.06"
"593","2308","台達電","1885","0","0","26M03","19","-10","7.32","0","0","0","0","0","0","0","19","-10","7.32","0","0"
"594","2072","世紀風電","152.5","+1","+0.66","26M03","10.2","-70","60.2","0","0","0","0","0","0","0","10.2","-70","60.2","0","0"
"595","2330","台積電","2395","-40","-1.64","26M03","169","+235","6.52","0.16","0.09","0.01","0","0","0","0","169","+235","6.52","0.16","0.09"
"596","1313","聯成","11.75","-0.2","-1.67","26M03","45.4","0","34.1","0.04","0.07","0.01","0","0","0","0","45.4","0","34.1","0.04","0.07"
"597","1103","嘉泥","13.15","0","0","26M03","13.8","0","17.4","0","0","0","0","0","0","0","13.8","0","17.4","0","0"
"598","1104","環泥","26.45","-0.1","-0.38","26M03","17.3","0","25.2","0","0","0","0","0","0","0","17.3","0","25.2","0","0"
"599","1108","幸福","11.8","+0.05","+0.43","26M03","1.6","0","3.95","0","0","0","0","0","0","0","1.6","0","3.95","0","0"
"600","1109","信大","13.55","0","0","26M03","11.9","+30","35","0","0","0","0","0","0","0","11.9","+30","35","0","0"
