" "," ","#","個股代號/名稱","類別","前二月","前一月","本  月","走 勢","總增減"," ","前二月","前一月","本  月","走 勢","總增減","今日收盤價","今日漲跌"," "
" "," ","","1536和大","汽車","11.81","11.8","11.79","10","-0.02"," ","32,966","32,939","32,893","10","-73","51.80","0.70"," "
" "," ","","1537廣隆","電機","10.22","10.34","10.38","50","0.16"," ","8,393","8,490","8,523","50","130","124.00","0.00"," "
" "," ","","1538正峰","電機","54.72","54.72","54.72","32","0.00"," ","17,675","17,675","17,675","32","0","12.90","0.10"," "
" "," ","","1539巨庭","電機","14.9","14.9","14.9","32","0.00"," ","9,742","9,742","9,742","32","0","16.60","0.20"," "
" "," ","","1540喬福","電機","20.88","20.88","20.88","32","0.00"," ","17,850","17,850","17,850","32","0","21.75","0.00"," "
" "," ","","1541錩泰","電機","31.97","31.97","31.97","32","0.00"," ","25,194","25,194","25,194","32","0","24.75","0.05"," "
" "," ","","1558伸興","電機","9.7","9.64","9.85","31","0.15"," ","6,456","6,420","6,357","10","-99","92.90","-0.10"," "
" "," ","","1560中砂","電機","14.68","14.6","14.46","10","-0.22"," ","21,636","21,636","21,546","20","-90","536.00","6.00"," "
" "," ","","1563巧新","汽車","6.16","6.16","6.27","41","0.11"," ","14,231","14,231","14,491","41","260","43.90","2.05"," "
" "," ","","1568倉佑","汽車","15.43","15.67","15.8","50","0.37"," ","15,907","16,159","16,297","50","390","29.60","1.65"," "
" "," ","","1582信錦","電子零組件","11.46","12.16","12.73","50","1.27"," ","16,547","17,547","18,377","50","1,830","102.50","-3.50"," "
" "," ","","1583程泰","電機","10.01","10.01","10.01","32","0.00"," ","10,957","10,957","10,957","32","0","48.00","0.30"," "
" "," ","","1587吉茂","汽車","25.86","25.86","25.86","32","0.00"," ","20,710","20,710","20,710","32","0","35.95","0.75"," "
" "," ","","1589永冠-KY","電機","7.83","7.83","7.83","32","0.00"," ","11,993","11,993","11,993","32","0","",""," "
" "," ","","1590亞德客-KY","電機","3.84","3.84","3.78","20","-0.06"," ","7,699","7,689","7,561","10","-138","1325.00","60.00"," "
" "," ","","1597直得","電機","15.13","15.13","15.13","32","0.00"," ","13,507","13,507","13,507","32","0","115.50","1.50"," "
" "," ","","1598岱宇","運動","9.81","9.83","9.97","50","0.16"," ","17,575","17,625","17,866","50","291","20.15","0.00"," "
" "," ","","1603華電","電器電纜","7.92","7.92","7.92","32","0.00"," ","15,200","15,200","15,200","32","0","32.70","-0.20"," "
" "," ","","1604聲寶","電器電纜","5.52","5.52","5.52","32","0.00"," ","21,228","21,228","21,228","32","0","23.50","-0.10"," "
" "," ","","1605華新","電器電纜","10.79","10.79","10.79","32","0.00"," ","478,359","478,359","478,359","32","0","31.60","-1.05"," "
" "," ","","1608華榮","電器電纜","33.58","33.58","33.58","32","0.00"," ","212,501","212,501","212,501","32","0","34.70","-0.40"," "
" "," ","","1609大亞","電器電纜","4.89","4.86","4.86","21","-0.03"," ","38,442","38,185","38,185","21","-257","33.70","-0.35"," "
" "," ","","1611中電","電器電纜","6.13","6.13","6.13","32","0.00"," ","19,801","19,801","19,801","32","0","12.20","0.05"," "
" "," ","","1612宏泰","電器電纜","12.59","12.59","12.59","32","0.00"," ","39,812","39,812","39,812","32","0","35.65","0.00"," "
" "," ","","1614三洋電","電器電纜","33.4","33.4","33.4","32","0.00"," ","89,890","89,890","89,890","32","0","32.35","0.10"," "
" "," ","","1615大山","電器電纜","18.42","18.42","18.42","32","0.00"," ","36,226","36,226","36,226","32","0","46.80","-0.60"," "
" "," ","","1616億泰","電器電纜","10.7","10.7","10.7","32","0.00"," ","20,774","20,774","20,774","32","0","23.65","-0.05"," "
" "," ","","1617榮星","電器電纜","42.02","42.02","42.02","32","0.00"," ","71,231","71,231","71,231","32","0","15.60","-0.25"," "
" "," ","","1618合機","電器電纜","35.83","35.83","35.83","32","0.00"," ","69,061","69,061","69,061","32","0","41.45","-0.15"," "
" "," ","","1623大東電","電器電纜","-","40.82","40.82","40",""," ","-","26,947","26,947","40","","255.00","2.00"," "
" "," ","","1626艾美特-KY","電器電纜","7.72","7.72","7.72","32","0.00"," ","11,574","11,574","11,574","32","0","11.60","0.00"," "
" "," ","","1702南僑","食品","17.61","17.61","17.61","32","0.00"," ","51,817","51,817","51,817","32","0","36.05","-0.10"," "
" "," ","","1707葡萄王","生技醫療業","17.09","17.09","16.28","20","-0.81"," ","25,320","25,320","24,120","20","-1,200","117.50","-0.50"," "
" "," ","","1708東鹼","化學","11.89","11.89","11.89","32","0.00"," ","29,615","29,615","29,615","32","0","39.15","-0.05"," "
" "," ","","1709和益","化學","18.48","18.48","18.48","32","0.00"," ","88,180","88,180","88,180","32","0","18.90","-0.15"," "
" "," ","","1710東聯","化學","10.06","10.06","10.06","32","0.00"," ","89,184","89,184","89,184","32","0","13.60","0.05"," "
" "," ","","1711永光","化學","18.3","18.27","18.25","10","-0.05"," ","100,273","100,123","99,988","10","-285","59.60","5.40"," "
" "," ","","1712興農","化學","18.88","19.21","19.74","50","0.86"," ","79,399","80,783","83,011","50","3,612","42.50","-0.05"," "
" "," ","","1713國化","化學","23.7","23.7","23.7","32","0.00"," ","35,784","35,784","35,784","32","0","48.30","0.05"," "
" "," ","","1714和桐","化學","10.69","10.69","10.69","32","0.00"," ","106,113","106,113","106,113","32","0","9.76","-0.16"," "
" "," ","","1717長興","化學","14.39","14.39","14.39","32","0.00"," ","168,772","168,692","168,692","21","-80","82.70","1.90"," "
" "," ","","1718中纖","化學","5.71","5.71","5.71","32","0.00"," ","96,323","96,323","96,323","32","0","6.76","-0.08"," "
" "," ","","1720生達","生技醫療業","14.89","14.89","14.89","32","0.00"," ","26,608","26,608","26,608","32","0","61.90","0.10"," "
" "," ","","1721三晃","化學","9.36","9.36","9.36","32","0.00"," ","17,314","17,314","17,314","32","0","27.25","2.45"," "
" "," ","","1722台肥","化學","24.07","24.07","24.07","32","0.00"," ","235,888","235,888","235,888","32","0","44.95","-0.15"," "
" "," ","","1723中碳","化學","33.99","33.99","33.99","32","0.00"," ","80,546","80,546","80,546","32","0","82.10","-1.20"," "
" "," ","","1725元禎","化學","11.45","11.45","11.45","32","0.00"," ","20,827","20,827","20,827","32","0","32.85","-1.40"," "
" "," ","","1726永記","化學","21.07","21.07","21.07","32","0.00"," ","34,145","34,145","34,145","32","0","76.90","0.10"," "
" "," ","","1727中華化","化學","19.06","19.06","19.06","32","0.00"," ","24,401","24,401","24,401","32","0","64.90","5.90"," "
" "," ","","1730花仙子","化學","38.35","38.35","38.35","32","0.00"," ","24,251","24,251","24,251","32","0","52.60","-0.10"," "
" "," ","","1731美吾華","生技醫療業","29.89","29.89","29.89","32","0.00"," ","39,739","39,739","39,739","32","0","21.75","0.00"," "
" "," ","","1732毛寶","化學","33.46","33.46","33.46","32","0.00"," ","14,206","14,206","14,206","32","0","26.00","0.10"," "
" "," ","","1733五鼎","生技醫療業","26.46","26.48","26.89","50","0.43"," ","26,456","26,471","26,877","50","421","29.55","-0.25"," "
" "," ","","1734杏輝","生技醫療業","16.44","16.44","16.48","41","0.04"," ","31,276","31,276","31,360","41","84","32.30","0.40"," "
" "," ","","1735日勝化","化學","58.94","58.94","58.94","32","0.00"," ","58,584","58,584","58,584","32","0","30.50","2.75"," "
" "," ","","1736喬山","運動","67.88","67.91","68.02","50","0.14"," ","205,949","206,062","206,396","50","447","116.50","-1.00"," "
" "," ","","1737臺鹽","食品","44.28","44.28","44.28","32","0.00"," ","88,564","88,564","88,564","32","0","32.15","0.10"," "
" "," ","","1752南光","生技醫療業","10.09","10.09","10.18","41","0.09"," ","10,190","10,190","10,290","41","100","35.50","0.10"," "
" "," ","","1760寶齡富錦","生技醫療業","18.71","18.69","18.66","10","-0.05"," ","16,048","16,025","16,004","10","-44","64.60","0.00"," "
" "," ","","1762中化生","生技醫療業","30.24","30.24","30.24","32","0.00"," ","23,267","23,267","23,267","32","0","28.15","-0.50"," "
" "," ","","1773勝一","化學","42.88","42.33","42.29","10","-0.59"," ","128,642","127,014","126,895","10","-1,747","163.00","-0.50"," "
" "," ","","1776展宇","化學","9.06","9.31","9.31","40","0.25"," ","5,450","5,602","5,602","40","151","16.60","-0.35"," "
" "," ","","1783和康生","生技醫療業","40.42","40.89","41.31","50","0.89"," ","36,253","36,679","37,062","50","809","40.90","-0.25"," "
" "," ","","1786科妍","生技醫療業","11","11","11","32","0.00"," ","8,234","8,234","8,234","32","0","64.10","-0.40"," "
