"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日買賣超佔成交","2日買賣超佔成交","3日買賣超佔成交","5日買賣超佔成交","10日買賣超佔成交","1個月買賣超佔成交","3個月買賣超佔成交","半年買賣超佔成交","1年買賣超佔成交","3年買賣超佔成交","10年買賣超佔成交","今年買賣超佔成交"
"139","7791","皇家可口","62.7","+0.4","+0.64","07/13","+28.9","+24","+20.3","+22.9","+18.8","+2.65","-1.89","-1.69","","","","-1.33"
"140","00904","台新臺灣半導體30","42","-0.15","-0.36","07/13","+5.84","+16.9","+16.4","+22.9","+31","+5.63","+9.1","-2.07","-7.87","-2.7","","-5.23"
"141","00700","富邦恒生國企","16.58","+0.13","+0.79","07/13","+38.6","+9.2","+20.4","+22.8","+16.3","-2.19","+10.9","+26.5","+18.1","-2.05","","+26.3"
"142","8050","廣積","60.9","+2.7","+4.64","07/13","+32.4","+28.9","+18.8","+22.8","+21","+17.6","+3.39","+3.13","+1.51","+0.19","+0.1","+2.96"
"143","00786B","元大10年IG銀行債","32.88","-0.13","-0.39","07/13","-9.08","-9.28","-0.3","+22.8","+8.23","+35.4","+58","+58","+36.1","-6.44","","+56.4"
"144","2542","興富發","43.25","-0.35","-0.8","07/13","-7.65","-4.84","-9.88","+22.5","+10.3","+6.88","+5.96","+4.63","+1.34","-0.92","-2.63","+4.85"
"145","3029","零壹","102","-1","-0.97","07/13","+38.1","+34.7","+16.6","+22.4","+22","+8.86","+1.27","-0.39","-1.01","+0.01","-0.02","-0.95"
"146","2852","第一保","27","+0.2","+0.75","07/13","+38.6","+32.2","+26.8","+22.3","+22.9","+10.5","+9.54","-2.45","-2.81","+1.19","+0.2","-2.76"
"147","009810","玉山全球藍籌100","20.66","-0.06","-0.29","07/13","-19.3","+11.4","+13.4","+22.2","+29.7","+19.9","+19","+17.2","","","","+16.5"
"148","2397","友通","59.2","+0.7","+1.2","07/13","+31.8","+15.2","+12.5","+21.7","+28.2","+12.7","+11.5","+9.1","+0.31","+0.54","-0.32","+9.25"
