"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"52","00937B","群益ESG投等債20+","14.24","+0.06","+0.42","08/19","0","0","+7.57","+31.6","+126","+176","+20.6","+61.6","-46.4","-14.9"
"53","2546","根基","111","+4","+3.74","08/19","+2.69","+1.78","+3.85","+31.6","+48.2","+8.53","-14.6","+122","+55.8","+174"
"54","00406A","主動中信台灣收益","9.5","-0.18","-1.86","08/19","+17.5","+26","+26","+31.2","-3.88","+283","","","",""
"55","1623","大東電","203","-2","-0.98","08/19","0","+9.8","+30.2","+30.2","+75","+460","","","",""
"56","6907","雅特力-KY","192.5","+4.5","+2.39","08/19","+3.51","+7.26","+9.37","+30.1","+59.4","+266","+904","","",""
"57","4991","環宇-KY","486.5","+1.5","+0.31","08/19","+3.13","+13.7","+13.6","+30","+28.5","+69.3","+83.8","+10.1","-51.4","+30.9"
"58","4971","IET-KY","528","-28","-5.04","08/19","+13.4","+29.2","+26.2","+29.7","+98.3","+121","+31.8","+116","+1.57","+86.9"
"59","7610","聯友金屬-創","1605","-135","-7.76","08/19","-0.6","+16.9","+22.1","+28.7","+124","+337","","","",""
"60","00923","群益台ESG低碳50","38.43","-0.75","-1.91","08/19","-0.6","-0.6","+8","+28.4","+262","+357","+149","+121","+307","+1,480"
"61","8261","富鼎","183.5","-3","-1.61","08/19","+5.16","+20.2","+18.5","+27.8","+53.3","+60.3","+97.7","+4.44","+484","-21.6"
"62","3026","禾伸堂","690","+22","+3.29","08/19","-0.57","-0.67","-0.4","+27","+40.2","+6.15","+98.5","+145","+461","+45.9"
"63","1477","聚陽","192.5","-5","-2.53","08/19","+4.88","+10.9","+17.6","+26.7","+26.5","+38","-25.6","+28.7","-1.63","+54"
"64","6023","元大期","83.5","-0.2","-0.24","08/19","-5.05","-1.12","+11.9","+26.7","+38.3","+111","+73.7","+64.9","-16.9","+45.5"
"65","8299","群聯","1965","-35","-1.75","08/19","+4.18","+6","+11.2","+26.5","+32.8","+63.4","+91.3","+314","+366","+529"
"66","2368","金像電","1040","-30","-2.8","08/19","-1.23","-6.93","+0.38","+26.3","+172","+169","-17.2","-71.4","-57.9","-79.6"
"67","2327","國巨*","576","0","0","08/19","+5.44","+7.74","+11.1","+26.1","+37.6","+107","+34.6","+198","","+9.87"
"68","00939","統一台灣高息動能","22.29","-0.03","-0.13","08/19","+6.88","+8.16","+17.8","+26","+63.2","+123","-86.2","+114","+26.5","+4.05"
"69","7714","創泓科技","164.5","-5.5","-3.24","08/19","0","+0.65","+22.8","+25.8","+8.33","+13.9","+373","+290","","+1,200"
"70","7732","金興精密","34.3","+0.8","+2.39","08/19","0","0","+15.4","+25","+25","+36.4","+150","+200","","+275"
"71","2637","慧洋-KY","91.8","+3.1","+3.49","08/19","+21.6","+25.1","+23.8","+24.6","+28.1","-25.2","-78.6","-80.1","-95.8","-90.4"
"72","8050","廣積","56.7","+0.3","+0.53","08/19","+1.41","+1","+3.59","+24.5","+64.2","+191","+169","+263","+260","+300"
"73","6613","朋億*","251","-4","-1.57","08/19","+1.93","+7.52","+11.7","+23.8","+67.7","+77.7","+27.5","-10.2","+0.15","-9.97"
"74","00969B","元大零息超長美債","7.88","+0.09","+1.16","08/19","0","+23.7","+23.7","+23.7","+23.7","+23.7","-3.94","-3.94","-73","-3.94"
"75","7828","創新服務","1615","-15","-0.92","08/19","-2.33","-2.33","+1.2","+23.5","+12","+71.4","","","",""
"76","3066","李洲","23","+0.1","+0.44","08/19","+2.38","+7.2","+7.2","+22.9","+22.9","+9.32","-16.1","+30.7","-5.38","+14.2"
"77","8069","元太","161","+3.5","+2.22","08/19","+3.88","+7.99","+12.5","+22.6","+43.4","+72.7","+89.1","+177","+587","+333"
"78","009801","中信美國創新科技","11.21","-0.24","-2.1","08/19","-3.62","-3.62","+21.6","+21.6","+21.6","+120","+134","+22.9","-59.3","+20.3"
"79","00981B","第一金優選非投債","9.25","-0.02","-0.22","08/19","+9.33","+20.2","+20.2","+21.2","-8.95","-8.95","-29.7","+59.5","+324","+27.9"
"80","3284","太普高","20.6","-0.2","-0.96","08/19","+0.23","+1.54","+9.05","+20.9","+43","+10.5","+136","+87.9","+356","+77.8"
"81","00731","復華富時高息低波","90.35","+0.05","+0.06","08/19","0","+12.5","+20.9","+20.9","+17.4","-36.6","-36.6","-36.6","-39.7","-36.6"
"82","6411","晶焱","78.1","-1","-1.26","08/19","+2.08","+11.8","+11.9","+20.7","+24.5","+31","+74.2","+0.48","+182","-6.66"
"83","00751B","元大AAA至A公司債","30.26","+0.17","+0.56","08/19","0","+9.54","+18.3","+20.6","+53.9","+53.9","+53.3","-32.7","-40.6","-27.9"
"84","4551","智伸科","161","-2.5","-1.53","08/19","0","+1.73","+7.59","+20.5","+22","+8.16","-55.6","-58.2","-58.6","-68.6"
"85","00928","中信上櫃ESG30","31.08","-0.75","-2.36","08/19","0","0","0","+20.2","+30","+30","+174","+382","-39.2","+144"
"86","7795","長廣","544","-28","-4.9","08/19","-1.97","-9.15","-5.7","+20.2","+255","","","","",""
"87","3081","聯亞","2680","-245","-8.38","08/19","+10.8","+14.4","+15","+20.2","+36.6","+106","+237","+218","+55.4","+76.9"
"88","2493","揚博","183","+1.5","+0.83","08/19","+8.88","+12.9","+11.7","+19.9","+67","+48","-18","+25.8","+513","-7.86"
"89","6715","嘉基","447.5","+28.5","+6.8","08/19","+0.5","+11.4","+1.78","+19.7","+52","+102","-6.97","+49.8","+59.9","+68.7"
"90","00646","元大S&P500","77.1","-0.15","-0.19","08/19","+3.67","+6.38","+7.93","+19.7","+41.6","+29.8","+5.06","+161","+100","+120"
"91","2885","元大金","62.5","-1.5","-2.34","08/19","+4.08","+13.1","+23","+19.6","+8.74","-16.8","-36.2","+136","-12.9","+102"
"92","3704","合勤控","41.5","+0.15","+0.36","08/19","-2.89","+12.5","+13.5","+19.5","+9.52","+17.1","-54.7","-85.2","-31","-80.7"
"93","5321","美而快","71","-1.9","-2.61","08/19","+6.64","+6.74","+5.17","+19.2","+9.47","+45","+27","+29.4","+26.7","+18"
"94","8436","大江","124","-0.5","-0.4","08/19","+2.22","+5.43","+9.63","+19","+33.1","+40.8","+107","+276","+196","+120"
"95","4439","冠星-KY","108.5","+2","+1.88","08/19","+17.2","+18.9","+18.9","+18.9","+18.9","+15.5","-12.8","+32.4","+95.7","+30.3"
"96","9958","世紀鋼","99.5","-1.5","-1.49","08/19","+3.6","+6.4","+9.31","+18.9","+6.48","-0.74","+43","+37.3","+76.2","+88.5"
"97","6584","南俊國際","600","-2","-0.33","08/19","+0.87","+4.75","+5.47","+18.7","+14.6","+40.7","+105","+141","+10.8","+97"
"98","2890","永豐金","39.4","-0.2","-0.51","08/19","+1.93","+8.93","+19.3","+18.7","+21","+27.8","+294","+825","-61.3","+214"
"99","6414","樺漢","408.5","+19","+4.88","08/19","-5.82","-1.5","-2.02","+18.6","+32.8","-16.4","-46.1","-49.7","-13.8","-59.3"
"100","6155","鈞寶","58.1","+0.7","+1.22","08/19","-0.8","+0.08","+11.3","+18.5","+21.1","+30.7","+23.1","+58.7","+1,213","+60.7"
"101","00878","國泰永續高股息","32.3","-0.08","-0.25","08/19","+0.21","+2.52","+10.2","+18.4","+19.6","+24.7","+40.3","+82.5","+22.4","+78.3"
"102","4541","晟田","67.6","-2.9","-4.11","08/19","-6.07","-3.72","-0.83","+18.4","+39.3","+18.4","-1.57","-35.2","-47","-51.4"
"103","6491","晶碩","375.5","+14","+3.87","08/19","+5.23","+6.94","+12.3","+18.4","+19.9","+52.9","-2.18","-45.8","-68.9","-32.1"
"104","3105","穩懋","363.5","-11","-2.94","08/19","+4.84","+3.68","+1.89","+18.3","+34.2","+3.5","+130","+63.1","+33.9","+111"
"105","6435","大中","257","+3","+1.18","08/19","-0.94","-0.69","+2.12","+18.1","+21.5","+42.7","+142","+327","+378","+186"
"106","5464","霖宏","70.7","-1.9","-2.62","08/19","+0.14","+5.41","+8.25","+18","+104","+253","+577","+1,419","+749","+1,002"
"107","2072","世紀風電","149.5","-2","-1.32","08/19","-3.1","+10.9","-4.82","+17.9","+6.23","+66.7","","","",""
"108","6226","光鼎","21.3","+0.2","+0.95","08/19","+3.11","+12.4","+14.3","+17.8","+54.5","+538","","","",""
"109","3555","博士旺","160","-10","-5.88","08/19","+6.22","+6.22","+7.17","+17.7","+15.5","+9.63","+3.02","+251","","+360"
"110","5340","建榮","75.8","-1.6","-2.07","08/19","-2.51","+5.2","+4.02","+17.7","+27.7","+13","-8.17","+37.2","-1.75","+12.8"
"111","2061","風青","48.85","+0.85","+1.77","08/19","+0.44","+16.6","+15","+17.7","+18","+55.1","+61.6","+135","+224","+184"
"112","6804","明係","18.95","0","0","08/19","0","0","+14.6","+17.5","+46.8","+80.5","+61.9","+20.5","+80.5","+176"
"113","3532","台勝科","356.5","-12.5","-3.39","08/19","+6.06","+11.8","+18.1","+17.2","+0.36","+38.6","+66.6","-5.17","+79.1","-0.8"
"114","6451","訊芯-KY","414","-7","-1.66","08/19","+16.8","+23","+19.7","+17.2","+34.3","+12.2","-17.2","-17.6","-29.6","-29.3"
"115","6177","達麗","48.4","-0.7","-1.43","08/19","+3.61","+7.3","+11.1","+16.8","+22.4","+26.3","+63.9","+95.5","-21.4","+63.5"
"116","6214","精誠","178.5","+2.5","+1.42","08/19","-7.53","-4.01","+20.4","+16.7","+27.4","+61.4","-56.7","-62.3","+3.95","-57.5"
"117","7820","立盈","120","+7","+6.19","08/19","+16.7","+16.7","+16.7","+16.7","+133","+250","","","",""
"118","3703","欣陸","19.55","+0.15","+0.77","08/19","+2.42","+5.82","+9.3","+16.4","+27","+35.4","+27.9","+172","+154","+163"
"119","2059","川湖","14095","-275","-1.91","08/19","+3.93","+19.6","+19","+16.4","+11.8","+52.2","-36.5","-55","-59.4","-77.1"
"120","00881","國泰台灣科技龍頭","48.54","-0.94","-1.9","08/19","-0.44","-0.49","+10.9","+16.3","+63.6","+68.2","+1.31","+9.86","+180","+61.3"
"121","1810","和成","26.1","-0.75","-2.79","08/19","+3.3","+6.48","+10.3","+16.3","+11.8","+28.6","+99.9","+23.4","+112","+25.6"
"122","00679B","元大美債20年","25.98","+0.18","+0.7","08/19","+3.4","+6.68","+11.3","+16.2","+17.6","+18.3","+15.9","-7.85","-57.9","+8.84"
"123","9925","新保","39.95","-0.05","-0.12","08/19","+2.03","+5.68","+9.18","+16.1","+39.4","+35","+43.6","+121","+341","+266"
"124","6640","均華","966","-99","-9.3","08/19","+1.77","+5.5","+18.6","+15.6","+28.5","+7.48","+121","-21.5","-8","-25.8"
"125","3045","台灣大","113.5","+2.5","+2.25","08/19","+11.1","+11","+11.8","+15.4","+16.4","-45.3","-50.8","-66.3","+33.1","-60"
"126","00403A","主動統一升級50","9.97","-0.19","-1.87","08/19","+3.81","+4.57","+7.9","+15.3","-13.8","-48.4","+79.4","","",""
"127","00982A","主動群益台灣強棒","21.63","-0.51","-2.3","08/19","+15.7","+15.5","+18.5","+15.3","+17.4","-17.3","-27.9","+403","+295","+327"
