"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(萬元)","2日增減(萬元)","3日增減(萬元)","5日增減(萬元)","10日增減(萬元)","1個月增減(萬元)","3個月增減(萬元)","半年增減(萬元)","1年增減(萬元)","今年增減(萬元)"
"177","3289","宜特","140.5","-1.5","-1.06","08/27","-2,207","-2,375","-3,287","-4,411","-669","-8,374","+25,380","+57,308","+53,190","+48,972"
"178","8096","擎亞","109.5","-0.5","-0.45","08/27","+377","-569","-3,057","-4,393","-17,575","-20,760","-25,409","-54,142","-62,664","-77,196"
"179","9939","宏全","132","-1","-0.75","08/27","+556","+252","-4,087","-4,356","-28,738","-53,072","-87,994","-91,639","+4,608","-100,236"
"180","1718","中纖","10.75","+0.05","+0.47","08/27","+770","-4,877","-4,122","-4,268","-3,748","+19,896","+29,601","+37,828","+38,291","+36,443"
"181","6672","騰輝電子-KY","289.5","+8","+2.84","08/27","-4,328","-3,746","-3,957","-4,242","-15,494","-10,487","-41,158","-1,980","-162","-4,065"
"182","9907","統一實","15.35","-0.1","-0.65","08/27","-1,222","-4,716","-4,455","-4,214","-4,099","-6,838","-4,659","+44,230","+55,846","+44,499"
"183","2467","志聖","610","+25","+4.27","08/27","-2,847","-5,022","-5,332","-4,167","-8,150","-7,681","-22,629","-68,726","-214,621","-96,251"
"184","2104","國際中橡","10.25","-0.2","-1.91","08/27","-408","-3,001","-3,886","-4,141","-5,523","+1,143","+2,366","+8,152","+12,165","+8,424"
"185","5469","瀚宇博","74.8","+1.8","+2.47","08/27","-2,497","-3,919","-4,891","-4,037","-9,971","-23,738","+49,139","+108,273","+164,932","+54,245"
"186","6265","方土昶","57.1","-1","-1.72","08/27","+11.7","-3,256","-4,202","-4,021","-9,836","-10,983","-2,528","-909","-1,216","-3,208"
"187","3515","華擎","220","+2","+0.92","08/27","+308","-4,454","-4,083","-3,968","-10,403","-11,407","-6,255","+40,046","+72,944","+71,644"
"188","3481","群創","48.6","+2.35","+5.08","08/27","-4,613","-4,931","-4,443","-3,910","+23,806","+23,612","+469,346","+670,070","+1,515,725","+1,457,902"
"189","3645","達邁","76.6","+6.9","+9.9","08/27","-1,056","-3,269","-3,345","-3,861","-4,693","-1,009","-24,802","-36,022","-56,013","-32,287"
"190","3551","世禾","180.5","+3","+1.69","08/27","-692","-1,391","-2,629","-3,832","-7,005","-8,347","-11,153","-4,983","-1,163","+12,033"
"191","9941","裕融","86.6","-0.5","-0.57","08/27","-1,533","+362","-3,256","-3,804","-18,508","-34,562","-255","-27,510","+87,945","+51,273"
"192","6202","盛群","59.4","+0.2","+0.34","08/27","-3,216","-4,437","-4,105","-3,785","-3,038","-379","-13,831","-18,663","-10,883","-20,100"
"193","6438","迅得","151","+2.5","+1.68","08/27","-372","-1,556","-3,213","-3,730","-3,649","-6,752","-9,702","-26,692","+18,902","-2,060"
"194","3013","晟銘電","89.5","+1.6","+1.82","08/27","+97.3","-337","-1,134","-3,601","-6,327","-17,281","-12,842","-14,705","-54,593","+4,147"
"195","1308","亞聚","13.85","-0.25","-1.77","08/27","-449","-3,450","-3,865","-3,580","-3,281","-789","-14,734","+17,054","+20,061","+19,690"
"196","6757","台灣虎航","55.1","-1.1","-1.96","08/27","-544","-1,096","-1,830","-3,569","-8,475","-16,704","-69,668","-51,210","-23,111","-58,566"
"197","9938","百和","42.1","-0.5","-1.17","08/27","-653","-1,505","-2,697","-3,508","-1,705","+6,884","-6,208","+64,345","+84,011","+71,489"
"198","00984D","主動聯博全球非投","10.01","-0.03","-0.3","08/27","-56.2","-56.2","-56.2","-3,494","+9,793","+15,871","+21,196","+27,277","",""
"199","00891","中信關鍵半導體","34.58","+0.31","+0.9","08/27","-6,813","-6,633","-3,768","-3,451","+10,855","+23,874","-6,159","+38,313","+26,886","+44,405"
"200","6830","汎銓","525","-5","-0.94","08/27","+5,009","+9,738","+1,976","-3,421","-7,013","+11,796","-1,048","+39,515","+31,445","+37,519"
"201","6244","茂迪","24.4","+0.15","+0.62","08/27","-775","-1,694","-2,967","-3,386","-6,429","-11,103","-18,607","-15,068","+17,784","+1,681"
"202","2355","敬鵬","44.5","+0.1","+0.23","08/27","+389","-1,779","-2,206","-3,381","-4,577","+3,557","+28,008","+26,777","+53,874","+20,332"
"203","2392","正崴","44.5","-2.15","-4.61","08/27","-453","-3,038","-2,873","-3,330","-5,047","-5,198","-11,368","-17,234","-16,797","-19,071"
"204","2027","大成鋼","48.4","-0.25","-0.51","08/27","-739","-1,590","-3,855","-3,314","-10,156","-34,326","-326,197","-318,905","-163,130","-243,536"
"205","2101","南港","31.75","-0.55","-1.7","08/27","+105","-10.2","-1,197","-3,262","-2,179","-3,784","-29,916","-20,005","+45,154","-16,458"
"206","8454","富邦媒","250","-5.5","-2.15","08/27","+356","+49","-3,686","-3,185","-6,263","-6,066","+4,306","+9,379","+81,025","+27,106"
"207","6279","胡連","127","-0.5","-0.39","08/27","-1,188","-1,111","-1,555","-3,177","-11,828","-31,282","-30,863","-44,855","+25,972","-26,755"
"208","2607","榮運","51.7","-0.6","-1.15","08/27","-476","-2,049","-3,425","-3,146","-4,247","-6,847","-6,828","+9,842","+23,812","-1,497"
"209","4576","大銀微系統","216","+0.5","+0.23","08/27","+129","-569","-3,395","-3,135","-4,682","+6,107","+265","-23,480","-29,495","-21,558"
"210","1808","潤隆","34.8","-1.15","-3.2","08/27","+111","+731","-2,569","-3,125","-7,382","-10,550","-19,335","-9,662","-35,608","-7,765"
"211","2548","華固","93.8","-2.1","-2.19","08/27","+716","+1,504","+674","-3,098","+10,297","+53,677","+132,909","+157,530","+144,012","+164,574"
"212","6919","康霈*","99.6","-3.4","-3.3","08/27","0","0","-1,708","-3,077","-17,156","-20,976","-73,401","+74,120","+74,120","+74,120"
"213","00405A","主動富邦台灣龍耀","8.78","+0.1","+1.15","08/27","-3,178","-3,264","-2,854","-3,054","-3,248","-7,200","","","",""
"214","3708","上緯投控","101","-2","-1.94","08/27","-187","-1,902","-2,941","-3,045","-6,512","-6,480","+547","-16,288","-2,696","-30,629"
"215","1609","大亞","38.1","+0.35","+0.93","08/27","+2,091","-635","-1,939","-3,029","-8,201","-4,022","+16,529","+36,754","-45,552","-20,063"
"216","9910","豐泰","68.2","-0.1","-0.15","08/27","-1,614","+256","-1,024","-3,015","-12,236","-17,463","+103,739","+54,938","+90,366","+143,085"
"217","2753","八方雲集","180","+1","+0.56","08/27","-3,047","-3,172","-3,210","-2,948","-5,059","-5,146","-12,582","+1,900","+655","+3,140"
"218","1232","大統益","156.5","-0.5","-0.32","08/27","-15.7","-1,366","-1,569","-2,909","-3,643","+3,000","+9,199","+10,983","+10,775","+10,119"
"219","4766","南寶","345","0","0","08/27","-345","-380","-1,275","-2,860","-299","-24,754","-65,615","+3,001","+55,931","-7,161"
"220","3062","建漢","20.95","-0.25","-1.18","08/27","+48.8","-1,888","-1,937","-2,847","-5,132","-7,061","+9,389","-4,686","-12,387","-26,583"
"221","5284","jpp-KY","321.5","-1.5","-0.46","08/27","+389","-3,875","-4,847","-2,837","-1,925","-6,712","+6,437","+13,136","+33,649","+26,671"
"222","3680","家登","500","+9.5","+1.94","08/27","-1,766","-3,161","-4,072","-2,836","-786","+7,940","-59,169","-195,824","-207,511","-211,544"
"223","2327","國巨*","597","+42","+7.57","08/27","-13,075","+3,485","+24,103","-2,761","+307,123","+453,419","+235,630","+644,110","+376,074","+339,510"
"224","6788","華景電","368.5","+1.5","+0.41","08/27","+36.5","-1,575","-2,026","-2,678","-7,415","-15,133","+6,489","+23,831","+15,281","+31,150"
"225","2009","第一銅","41.3","-0.5","-1.2","08/27","+313","-1,177","-2,414","-2,663","-2,618","-8,379","+2,633","-9,538","-6,906","-9,082"
"226","4770","上品","215","+2","+0.94","08/27","+214","-1,202","-1,427","-2,577","-5,508","-5,977","+6,092","+21,923","+13,002","+30,598"
"227","2723","美食-KY","77.2","0","0","08/27","-1,951","-1,833","-2,479","-2,575","-3,701","-3,910","-9,445","-8,014","+4,603","-3,776"
"228","3211","順達","400","+2.5","+0.63","08/27","+24,081","-12,811","-24,840","-2,541","+44,834","+276,014","+67,264","+132,122","+236,286","+152,758"
"229","3147","大綜","219","+2","+0.92","08/27","+329","+418","-651","-2,536","-9,668","-7,144","-33,314","-36,033","-29,160","-34,512"
"230","3048","益登","55.6","-0.6","-1.07","08/27","-934","-985","-1,337","-2,505","-4,012","+20,372","+23,489","-17,016","+16,384","-19,405"
"231","00923","群益台ESG低碳50","39.77","+0.38","+0.96","08/27","-1,979","-1,979","-1,979","-2,446","+2,310","+29,760","+22,940","+16,325","+30,416","+33,228"
"232","6190","萬泰科","70.6","+1.8","+2.62","08/27","-425","+350","-1,831","-2,430","-6,070","-12,910","-23,688","-1,981","+4,085","-16,982"
"233","4722","國精化","213.5","+0.5","+0.23","08/27","-367","-473","-2,617","-2,391","+492","+8,336","+10,761","-35,489","-6,527","-57,784"
"234","3056","富華新","14.2","-0.2","-1.39","08/27","-613","-1,174","-1,888","-2,384","-3,463","-6,128","-14,938","-15,856","+2,417","-23,488"
"235","9917","中保科","111","0","0","08/27","-433","-300","-1,140","-2,343","-10,309","-11,991","+12,393","+460","+21,932","+16,278"
"236","3691","碩禾","100","+1.3","+1.32","08/27","-208","-920","-1,954","-2,338","-3,312","-4,818","+20,973","+30,424","+31,137","+32,498"
"237","2495","普安","38.4","0","0","08/27","-291","-2,794","-2,531","-2,330","-1,744","+2,451","+23,829","-4,444","+19,395","-10,991"
"238","2889","國票金","15.9","-0.3","-1.85","08/27","+141","+1,841","-2,898","-2,290","-10,024","-6,371","-32,076","+155","-69,807","-5,338"
"239","9802","鈺齊-KY","71.7","-0.4","-0.55","08/27","-217","-516","-1,974","-2,247","-5,396","-10,371","-49,119","-53,485","+67,825","-40,568"
"240","2820","華票","16.65","+0.05","+0.3","08/27","+41.8","-356","-1,363","-2,222","-125","+3,656","+2,782","+5,514","+4,497","+5,886"
"241","6016","康和證","21.35","+1","+4.91","08/27","-269","-2,314","-2,046","-2,208","-69.9","+6,535","+52,751","+55,445","+52,051","+55,675"
"242","2520","冠德","35.3","-0.35","-0.98","08/27","-107","-2,270","-1,859","-2,205","-12,240","-15,270","-30,500","-11,838","-64,141","-42,785"
"243","6443","元晶","26.65","-0.05","-0.19","08/27","-585","-847","-1,243","-2,184","-11,915","-18,682","-27,174","-17,710","-32,224","-9,637"
"244","3045","台灣大","115.5","0","0","08/27","-24,607","-27,139","-18,557","-2,171","+35,232","-79,720","-304,524","-517,781","+29,085","-419,414"
"245","1612","宏泰","35.2","-0.3","-0.85","08/27","+157","-1,937","-1,889","-2,057","-3,064","-249","+5,154","+4,505","-2,555","-367"
"246","2362","藍天","47.75","-0.8","-1.65","08/27","-14.6","-436","-1,179","-2,048","-7,669","-12,699","+3,993","+2,427","-2,511","+3,197"
"247","1227","佳格","28.65","-0.2","-0.69","08/27","-626","-678","-942","-2,026","-2,164","-1,240","-34,009","-19,096","+1,630","-10,966"
"248","6263","普萊德","165.5","0","0","08/27","-215","-1,069","-1,587","-1,992","-4,777","-9,554","+20,184","+23,897","+24,757","+22,991"
"249","2707","晶華","179.5","-1.5","-0.83","08/27","-596","-523","-2,347","-1,984","-1,359","-627","-27,308","+4,779","+965","+6,526"
"250","8074","鉅橡","58.1","+1.1","+1.93","08/27","-177","-1,811","-1,986","-1,970","-2,777","-5,359","+322","-2,567","+389","-6,630"
"251","2540","愛山林","48.2","+0.2","+0.42","08/27","+536","-1,979","-1,714","-1,957","-1,592","-6,387","-16,054","-9,578","+41,444","+2,003"
"252","4939","亞電","92.8","+6.2","+7.16","08/27","-3,460","-1,668","-3,046","-1,917","+2,605","+3,436","+12,131","+10,545","+14,527","+4,546"
"253","8261","富鼎","187.5","+2.5","+1.35","08/27","-1,024","-1,042","-1,354","-1,902","+18,434","+28,528","+15,492","+6,130","+28,553","-15,088"
"254","5530","龍巖","51.2","+0.6","+1.19","08/27","+5.04","-687","-1,294","-1,849","-2,856","-4,453","-15,553","-1,746","+15,044","+10,513"
"255","1313","聯成","11.85","-0.3","-2.47","08/27","-290","-964","-2,083","-1,842","-2,294","-1,063","-24,583","+9,320","+8,430","+8,744"
"256","00961","FT臺灣永續高息","13.17","0","0","08/27","-1,253","-1,230","-924","-1,830","-68.8","-573","+3,310","+3,120","+488","+2,472"
"257","1312","國喬","14.15","-0.15","-1.05","08/27","+84.4","-2,620","-3,265","-1,818","-345","+2,944","-1,604","+39,661","+26,106","+35,558"
"258","00945B","凱基美國非投等債","14.38","-0.06","-0.42","08/27","0","0","0","-1,798","+5,292","+8,176","+5,991","+4,591","+8,441","+7,724"
"259","4540","全球傳動","60.2","-1.2","-1.95","08/27","-36.8","-1,683","-2,038","-1,779","-575","-2,731","+14,575","+11,375","+8,397","+10,121"
"260","6175","立敦","76.8","+2.6","+3.5","08/27","-746","-1,543","-1,343","-1,772","-1,330","-2,686","-5,627","-389","-1,179","-5,886"
"261","4768","晶呈科技","313","-16","-4.86","08/27","+134","-761","-1,280","-1,704","-4,101","-21,722","+31,930","+55,242","+44,433","+56,984"
"262","2347","聯強","86.5","-0.3","-0.35","08/27","+566","+1,089","-684","-1,704","-3,432","-35,558","-34,534","-6,164","-169,734","-28,289"
"263","2006","東和鋼鐵","80.6","-0.2","-0.25","08/27","-903","-1,025","-3,108","-1,702","-9,483","+840","-69,710","-21,438","-12,904","-23,474"
"264","3015","全漢","54.3","-0.4","-0.73","08/27","-728","-1,500","-1,494","-1,681","-2,365","-217","-4,919","-4,217","+5,895","-3,008"
"265","1304","台聚","12.05","-0.35","-2.82","08/27","+51.1","-2,263","-2,120","-1,661","-1,534","+2,289","-1,383","+40,671","+41,977","+39,144"
"266","00407A","主動凱基台灣","9.87","+0.1","+1.02","08/27","-98","-1,207","-1,207","-1,647","-1,818","-2,403","","","",""
"267","3236","千如","46.1","+1.95","+4.42","08/27","-199","-221","-196","-1,644","-1,607","-339","+3,022","+4,068","+7,724","+1,091"
"268","6261","久元","79","+0.1","+0.13","08/27","-403","-874","-1,630","-1,614","-2,331","-8,816","-2,477","+28,843","+24,899","+28,733"
"269","1773","勝一","159.5","-0.5","-0.31","08/27","+97.4","-126","-947","-1,534","-10,724","-6,254","-8,999","-46,043","-40,053","-40,779"
"270","6584","南俊國際","682","+62","+10","08/27","-185","-185","-1,120","-1,533","+1,555","+5,368","+17,316","+20,042","+8,297","+13,849"
"271","4960","誠美材","21.85","-0.3","-1.35","08/27","+276","-1,454","-1,576","-1,529","-2,478","-1,118","+1,103","+10,950","+10,897","+13,765"
"272","3563","牧德","697","+4","+0.58","08/27","-1,667","-1,599","-3,808","-1,527","-2,673","-33,069","+17,344","-14,271","+82,624","+4,981"
"273","2395","研華","669","-6","-0.89","08/27","+476","-1,298","+823","-1,498","+48,676","+22,497","-509,101","-697,189","-266,145","-360,601"
"274","3024","憶聲","14.65","+0.05","+0.34","08/27","+78.6","-717","-1,030","-1,492","-1,640","-1,278","-256","+3,648","+4,408","+2,943"
"275","2485","兆赫","43","-1","-2.27","08/27","-190","-3,854","-1,775","-1,491","-4,343","-5,029","-12,494","-9,725","+16,460","-8,060"
"276","2543","皇昌","38.3","-0.3","-0.78","08/27","+229","+221","-507","-1,481","-5,988","-7,931","-11,820","-11,613","+30,115","-3,361"
"277","6179","亞通","30.4","+2.75","+9.95","08/27","-1,097","-1,666","-1,126","-1,443","-3,938","-4,622","-9,776","-3,090","+3,995","-5,735"
"278","2641","正德","18","-0.2","-1.1","08/27","-129","-679","-1,588","-1,423","-80.8","-96","+6,282","+9,292","+22,763","+10,928"
"279","00696B","富邦美債20年","28.12","-0.25","-0.88","08/27","0","0","-1,410","-1,410","-1,444","-14,422","-19,007","-25,220","-33,355","-24,940"
"280","2536","宏普","20.8","-0.3","-1.42","08/27","-177","-592","-1,228","-1,408","-1,906","-1,592","+726","+1,603","+2,147","+2,164"
"281","2340","台亞","34.25","+0.05","+0.15","08/27","-2,320","-2,096","-1,416","-1,357","-2,462","-896","+4,398","+3,093","+26,637","+4,743"
"282","3712","永崴投控","20.75","-0.9","-4.16","08/27","-670","-1,051","-1,357","-1,354","-872","-1,266","-1,542","-2,876","+6,297","-689"
"283","1710","東聯","15.9","+0.1","+0.63","08/27","-329","-191","-989","-1,352","-1,565","+5,742","-4,022","+21,698","+20,993","+23,037"
"284","4167","松瑞藥","20","-0.15","-0.74","08/27","-321","-319","-354","-1,351","-2,381","-1,804","-5,159","-2,924","-119","-873"
"285","5314","世紀*","34.2","-3.8","-10","08/27","0","-1,151","-1,323","-1,347","+1,387","-13,780","-722","+26,957","+77,302","+17,153"
"286","2731","雄獅","145","+0.5","+0.35","08/27","-43.5","-743","-1,326","-1,341","-43.3","+2,365","+20,185","+80,225","+68,818","+77,359"
"287","2329","華泰","44.1","+0.3","+0.68","08/27","+186","-831","+60.7","-1,321","+171","-2,990","+25,118","+54,410","+137,219","+105,657"
"288","2501","國建","22.5","-0.4","-1.75","08/27","-69.2","+152","-165","-1,320","-790","+6,575","+11,688","+15,802","+11,579","+15,651"
"289","4536","拓凱","167.5","-0.5","-0.3","08/27","+16.9","+119","-272","-1,318","-3,654","-1,437","-8,935","-13,614","+17,238","-2,855"
"290","6548","長科*","73.5","-1.5","-2","08/27","-515","+556","+89.3","-1,318","-7,420","-18,107","-1,108","+25,336","+15,382","+2,374"
"291","2108","南帝","30.45","+0.3","+1","08/27","-669","-820","-1,386","-1,316","-2,814","-2,384","+1,655","+1,290","-493","+1,970"
"292","5243","乙盛-KY","91.3","-3.1","-3.28","08/27","-960","-1,124","-1,080","-1,282","-4,458","-13,520","+18,924","+19,100","+20,898","+17,035"
"293","9933","中鼎","40.6","-1","-2.4","08/27","-176","-163","+47.2","-1,240","-5,234","-2,995","+6,129","-74,037","-104,318","-89,775"
"294","6933","AMAX-KY","260","+23.5","+9.94","08/27","+23.6","-1,068","-1,099","-1,234","-1,386","-1,569","-727","-81","+2,142","+86.5"
"295","2457","飛宏","22.9","-0.2","-0.87","08/27","-401","-1,524","-1,616","-1,227","-1,921","-4,176","+12,341","-9,825","+35,561","-17,874"
"296","7744","崴寶","512","+9","+1.79","08/27","-149","-149","-1,419","-1,226","-1,078","-887","+3,270","+1,384","","+4,213"
"297","8091","翔名","220.5","+2.5","+1.15","08/27","-65.9","-561","-96.6","-1,222","-2,835","-4,942","+14,106","+14,078","+11,223","+13,768"
"298","7717","萊德光電-KY","440","+6","+1.38","08/27","-393","-1,345","-1,422","-1,219","-1,884","-2,914","+1,572","+9,277","","+10,153"
"299","6854","錼創科技-KY創","90.7","-3","-3.2","08/27","-122","-909","-1,229","-1,211","-1,471","-1,131","+8,125","+3,747","+11,019","+2,295"
"300","2328","廣宇","46.6","-0.1","-0.21","08/27","-1,321","-1,484","-1,484","-1,195","-4,765","-9,225","+17,182","-22,606","+22,410","-49,540"
