" "," ","#","股票代號/名稱","類別","20260123","0130","0206","0211","0226","0306"," ","走 勢","總增減"," ","上週持有%","今日收盤價","今日漲跌"," "
" "," ","102","4440宜新實業","紡織","0.21","0.21","0.21","0.55","0.12","0.26"," ","31","1.56"," ","54.55","18.05","0.35"," "
" "," ","103","2006東和鋼鐵","鋼鐵","0.08","0.07","0.06","0.22","0.09","1.00"," ","31","1.52"," ","81.19","77.70","-3.30"," "
" "," ","104","8110華東","半導體","-0.81","-0.15","1.95","0.02","-1.44","1.94"," ","31","1.51"," ","56.99","53.20","-0.50"," "
" "," ","105","3605宏致","電子零組件","0.59","-0.19","0.55","-0.20","0.75","-0.02"," ","30","1.48"," ","45.99","59.60","-0.40"," "
" "," ","106","6449鈺邦","電子零組件","0.14","-0.03","0.07","0.02","-0.03","1.30"," ","31","1.47"," ","72.31","160.50","-0.50"," "
" "," ","107","5215科嘉-KY","電腦週邊","0.81","0.10","0.16","0.16","0.13","0.09"," ","10","1.45"," ","50.46","37.10","0.05"," "
" "," ","108","3653健策","電子零組件","0.54","0.19","0.41","-0.27","0.21","0.36"," ","50","1.44"," ","69.52","3245.00","-195.00"," "
" "," ","109","1538正峰","電機","0.00","0.00","0.00","1.28","0.23","-0.09"," ","10","1.42"," ","79.11","17.65","0.15"," "
" "," ","110","1516川飛","其他","1.27","0.52","-0.11","0.14","0.01","-0.42"," ","10","1.41"," ","62.47","23.40","-1.10"," "
" "," ","111","3010華立","電子通路","-0.11","1.08","-0.17","0.30","0.42","-0.11"," ","30","1.41"," ","63.93","130.50","0.50"," "
" "," ","112","911622泰聚亨-DR","存託憑證","-0.12","0.02","1.28","0.04","0.01","0.18"," ","31","1.41"," ","49.74","3.98","-0.15"," "
" "," ","113","2250IKKA-KY","汽車","0.00","1.14","1.13","-2.27","1.48","-0.08"," ","30","1.40"," ","51.84","64.10","-1.20"," "
" "," ","114","2347聯強","電子通路","0.45","0.22","0.11","0.22","0.30","0.09"," ","30","1.39"," ","86.84","70.20","0.30"," "
" "," ","115","5434崇越","電子通路","0.01","0.09","0.34","0.11","0.88","-0.07"," ","30","1.36"," ","54.22","331.50","-1.00"," "
" "," ","116","6988威力暘-創","創新板","0.10","0.84","0.53","-0.26","0.06","0.07"," ","50","1.34"," ","79.14","15.75","0.95"," "
" "," ","117","1503士電","電機","2.11","-0.05","-0.52","0.07","-0.04","-0.26"," ","10","1.31"," ","76.66","203.00","-0.50"," "
" "," ","118","9136巨騰-DR","存託憑證","1.05","0.56","0.27","-0.15","-0.69","0.26"," ","31","1.30"," ","62.64","9.21","-0.24"," "
" "," ","119","4961天鈺","半導體","0.72","0.58","0.03","0.21","-0.23","-0.01"," ","31","1.30"," ","40.45","144.50","1.00"," "
" "," ","120","2637慧洋-KY","航運","0.37","0.01","-0.01","0.23","0.52","0.18"," ","30","1.30"," ","79.25","66.90","-2.30"," "
" "," ","121","2449京元電子","半導體","0.74","0.69","-0.65","0.64","-0.08","-0.05"," ","31","1.29"," ","74.07","295.50","-4.50"," "
" "," ","122","2022聚亨","鋼鐵","0.15","0.17","-0.04","0.37","0.27","0.36"," ","31","1.28"," ","38.64","9.05","0.00"," "
" "," ","123","6005群益證","金融","0.80","0.69","-0.35","0.00","0.35","-0.23"," ","30","1.26"," ","78.54","27.80","0.00"," "
" "," ","124","3038全台","光電","0.28","0.31","0.52","-0.20","0.29","0.05"," ","30","1.25"," ","40.15","23.10","0.30"," "
" "," ","125","2069運錩","鋼鐵","0.14","0.04","0.53","0.43","0.02","0.09"," ","31","1.25"," ","60.73","19.15","0.10"," "
" "," ","126","3044健鼎","電子零組件","0.85","0.17","0.57","-0.14","-0.08","-0.13"," ","30","1.24"," ","81.68","380.00","21.00"," "
" "," ","127","2903遠百","貿易百貨","-0.09","0.13","0.60","0.36","0.11","0.12"," ","31","1.23"," ","78.13","23.25","0.10"," "
" "," ","128","2010春源","鋼鐵","0.03","0.18","0.39","0.20","0.27","0.16"," ","30","1.23"," ","71.17","24.20","0.40"," "
" "," ","129","6108競國","電子零組件","0.27","0.53","0.05","-0.14","0.03","0.47"," ","50","1.21"," ","52.30","15.75","-0.55"," "
" "," ","130","6226光鼎","光電","0.58","0.35","0.09","0.06","0.05","0.07"," ","31","1.20"," ","25.09","10.05","0.87"," "
" "," ","131","6405悅城","光電","0.10","-1.43","0.67","0.56","0.84","0.45"," ","30","1.19"," ","53.68","30.85","-0.60"," "
" "," ","132","6164華興","光電","0.32","0.14","0.16","0.39","0.50","-0.32"," ","30","1.19"," ","22.42","12.55","0.65"," "
" "," ","133","8112至上","電子通路","-1.85","3.74","-2.32","0.76","0.94","-0.08"," ","30","1.19"," ","41.72","87.00","-2.20"," "
" "," ","134","1437勤益控","其他","0.02","0.11","0.30","0.44","0.04","0.27"," ","31","1.18"," ","79.23","31.40","-0.05"," "
" "," ","135","9906欣巴巴","營建","0.12","0.05","0.21","0.44","-0.01","0.36"," ","31","1.17"," ","77.22","41.70","-0.30"," "
" "," ","136","2413環科","電子零組件","-0.86","-0.16","-0.01","-0.17","5.69","-3.33"," ","30","1.16"," ","59.88","46.25","-0.90"," "
" "," ","137","3576聯合再生","光電","-0.70","0.61","1.59","-1.43","2.26","-1.17"," ","30","1.16"," ","39.22","24.00","0.40"," "
" "," ","138","3036文曄","電子通路","-0.27","0.38","-0.03","0.38","0.30","0.39"," ","31","1.15"," ","89.84","235.50","4.00"," "
" "," ","139","3311閎暉","通信網路","-0.21","0.00","0.58","0.00","0.14","0.63"," ","50","1.14"," ","53.53","31.60","-0.25"," "
" "," ","140","6456GIS-KY","光電","-0.23","-0.65","-0.23","0.51","0.66","1.08"," ","50","1.14"," ","53.52","63.00","-1.30"," "
" "," ","141","2897王道銀行","金融","0.14","0.13","0.22","0.37","0.06","0.20"," ","31","1.12"," ","83.86","9.93","-0.05"," "
" "," ","142","5244弘凱","光電","0.18","0.11","0.01","-0.09","0.80","0.10"," ","30","1.11"," ","48.14","36.85","2.35"," "
" "," ","143","2460建通","電子零組件","0.04","0.75","0.21","-0.24","-0.16","0.50"," ","50","1.10"," ","61.88","23.75","0.65"," "
" "," ","144","6192巨路","其他電子","0.84","-0.65","0.53","-0.47","0.35","0.49"," ","50","1.09"," ","56.80","120.50","3.00"," "
" "," ","145","2420新巨","電子零組件","-0.27","0.31","0.25","0.05","0.37","0.38"," ","50","1.09"," ","49.90","50.90","0.00"," "
" "," ","146","2609陽明","航運","-0.12","-0.09","-0.05","-0.02","1.00","0.35"," ","30","1.07"," ","59.29","59.20","-2.90"," "
" "," ","147","2731雄獅","觀光","0.07","0.52","0.93","1.06","-1.07","-0.44"," ","31","1.07"," ","55.97","173.50","-2.00"," "
" "," ","148","5607遠雄港","航運","-0.33","-0.08","0.09","-0.07","0.97","0.48"," ","30","1.06"," ","74.95","49.25","-0.95"," "
" "," ","149","911608明輝-DR","存託憑證","0.61","0.08","0.05","0.03","0.15","0.10"," ","30","1.02"," ","24.52","3.03","0.03"," "
