"排名","代號","名稱","成交","漲跌價","漲跌幅","法人買賣日期","當日賣出佔成交","2日賣出佔成交","3日賣出佔成交","5日賣出佔成交","10日賣出佔成交","1個月賣出佔成交","3個月賣出佔成交","半年賣出佔成交","1年賣出佔成交","3年賣出佔成交","10年賣出佔成交","今年賣出佔成交"
"195","8162","微矽電子-創","57","+0.2","+0.35","08/19","57.7","51.7","48.9","43.2","40.4","38.1","28.5","22.6","18.4","","","22"
"196","2511","太子","8.2","-0.02","-0.24","08/19","53.9","50.3","48.9","55.1","54.6","44.2","31.8","34.9","40.4","37.5","26.7","35.3"
"197","8147","正淩","119","-1.5","-1.24","08/19","58.1","48.8","48.8","34.8","35.5","48.1","41.6","28.8","20.5","4.63","3.38","24.6"
"198","6469","大樹","67.9","-0.3","-0.44","08/19","46","47.6","48.8","44.9","48.2","43.7","31.3","37.2","35.3","31.9","26.5","36.6"
"199","7769","鴻勁","6445","-80","-1.23","08/19","47.1","55.4","48.8","46.2","46.3","51.5","52.5","38.4","","","","28.4"
"200","6126","信音","29.45","-0.2","-0.67","08/19","53.8","51.7","48.8","46.3","27.5","34.1","25.9","24.7","21.8","20","14.2","22.1"
"201","1736","喬山","129","0","0","08/19","57.8","53.8","48.7","45.2","36.8","38.5","37.5","37.6","40.1","39","25.4","38.4"
"202","2412","中華電","136","-1","-0.73","08/19","54.2","49.1","48.7","52.2","53.2","39.3","50.3","46.6","48.2","42.5","40.3","47"
"203","00762","元大全球AI","111.6","-3.85","-3.33","08/19","70.6","63.9","48.6","36.9","28.5","22.1","16.5","11.4","8.58","7.81","","10.4"
"204","2454","聯發科","3845","-40","-1.03","08/19","53.2","50.8","48.3","43.2","45.6","50.7","49.1","50.8","51.2","50.4","48.8","49.7"
"205","6020","大展證","20.35","-0.25","-1.21","08/19","37.5","38.1","48.3","14.6","6.71","8.83","9.08","7.57","6.76","4.83","3.95","7.26"
"206","1611","中電","11.95","-0.15","-1.24","08/19","73.2","54.4","48.2","40","44.1","50.1","31.2","31.2","29.2","24.8","16.5","30"
"207","3715","定穎投控","107.5","-2.5","-2.27","08/19","51","46.4","48","48.2","43","41.9","33.6","29.6","27.8","23.7","","28.7"
"208","6235","華孚","37.3","-0.4","-1.06","08/19","42.1","52.9","48","35.9","34.4","34.9","34.9","35.1","28.7","25","16.8","34.2"
"209","6414","樺漢","408.5","+19","+4.88","08/19","39.8","51.1","48","50.5","46.4","38.8","35.8","33.2","35.5","30.7","24.2","33.3"
"210","6695","芯鼎","47.5","-0.8","-1.66","08/19","53.8","50.6","47.9","35.5","32.1","37.2","28","26","25.4","17.9","","26.3"
"211","2820","華票","16.25","0","0","08/19","34.8","31.7","47.9","60","65.4","56.4","39","37","34.3","28.2","26","36.5"
"212","6021","美好證","35.9","-0.55","-1.51","08/19","44.6","38.9","47.8","54.2","44.7","46.2","32.8","29.9","22.5","13.5","6.91","26.8"
"213","2404","漢唐","1095","-20","-1.79","08/19","49.2","54.2","47.8","40.9","44.1","45.7","34.8","37.1","37.7","35.5","28.4","36.8"
"214","8996","高力","1135","-40","-3.4","08/19","46.1","46","47.8","45.6","45.2","45.3","39.8","30.1","13.6","3.91","1.49","26.1"
"215","2362","藍天","47.15","-0.05","-0.11","08/19","52","43.4","47.8","31.6","27.3","28.9","33.9","34.4","34.7","26.2","26.3","34.9"
"216","7799","禾榮科","345","-6","-1.71","08/19","46","48.9","47.8","39.5","34.8","37.6","34","30","","","","25.9"
"217","4763","材料*-KY","50.7","+0.3","+0.6","08/19","30.4","26.4","47.7","46.8","31.6","31.5","31.3","31.8","33.1","29.3","26","32.1"
"218","2731","雄獅","142","0","0","08/19","50.8","49","47.7","46.9","45","42.3","31.2","41.3","34.9","28.2","22.4","39.1"
"219","3231","緯創","182","+1","+0.55","08/19","57.4","52.5","47.6","42.6","38.6","32.4","35.6","37.1","35.9","32.7","35.6","37.9"
"220","8404","百和興業-KY","16.1","+0.1","+0.62","08/19","47.8","45.3","47.6","43.4","41.9","37.6","33.1","25.3","6.59","1.65","0.8","22.7"
"221","2006","東和鋼鐵","81.3","+0.5","+0.62","08/19","45","47.4","47.6","53.2","41.4","44.9","39","40.7","46.4","45","29.9","41.1"
"222","2892","第一金","33.6","-0.1","-0.3","08/19","57.8","57.5","47.5","45.5","50.2","55.6","55.5","57.5","55.2","53.5","47","57.7"
"223","6895","宏碩系統","120","-2.5","-2.04","08/19","78.5","47.4","47.5","41.6","33.8","31.6","27.7","24.2","5.7","","","24"
"224","6958","日盛台駿","16.9","-0.5","-2.87","08/19","52.2","62.9","47.4","51.2","37.6","29.1","25.9","18.2","12.2","","","16.2"
"225","8104","錸寶","30.3","-0.5","-1.62","08/19","43.3","55.5","47.4","34.9","33","28.1","22.7","20.4","10.7","3.47","","17.5"
"226","1519","華城","718","+4","+0.56","08/19","49.9","53.1","47.4","46.1","44.4","41.3","35","35.7","31.3","27.4","21.8","33.8"
"227","8466","美吉吉-KY","15.5","-0.35","-2.21","08/19","23.2","45.3","47.3","52.2","38.7","29.4","21.4","15.6","9.56","2.19","","14.4"
"228","4755","三福化","113.5","-0.5","-0.44","08/19","52.6","52.7","47.3","45.1","42.1","47.8","38.2","31.9","30.2","26.1","16.7","30.6"
"229","4137","麗豐-KY","90","-0.1","-0.11","08/19","37","40.9","47.2","45.1","45.1","47.2","41.4","37.7","36.3","32.8","21","35.9"
"230","4953","緯致","123","+0.5","+0.41","08/19","38.5","45.4","47.2","34.6","38.2","35.1","28.8","31.1","27.2","21.8","12.3","30.8"
"231","4770","上品","212","-2","-0.93","08/19","42.4","46.5","47.2","40.3","32.5","30.1","30.6","33.7","31.9","30.5","","33.1"
"232","2748","雲品","38.3","+0.05","+0.13","08/19","65.5","40.1","47.1","41.9","45.7","36.6","26.1","25.2","26.2","21","","24.6"
"233","2910","統領","24.4","+0.4","+1.67","08/19","66.6","58.8","47","52.8","36.3","21.8","15.6","18.5","18","15","14.6","18.6"
"234","3515","華擎","220","+3.5","+1.62","08/19","40.9","51.3","47","30.6","31.2","31.8","29.6","33.1","37","32.2","20.4","35.4"
"235","2428","興勤","256.5","+4.5","+1.79","08/19","38.8","43.8","47","53.5","51.8","49.9","37.7","34.8","31.6","30.2","21.2","34.5"
"236","2723","美食-KY","65.2","+2.7","+4.32","08/19","38.7","45.9","47","54.8","56","54.4","42.4","41.6","49.9","46.1","40.4","41.5"
"237","1609","大亞","36.8","-0.15","-0.41","08/19","42.6","35.3","47","31.5","31.3","36","28.6","30.7","28.1","23.6","17.4","29.1"
"238","6283","淳安","19.9","-0.05","-0.25","08/19","86.4","60.4","46.9","36.4","33.8","32","32.2","30.6","27","22.5","13.1","31.5"
"239","4162","智擎","58.2","-0.8","-1.36","08/19","46.4","40.4","46.9","37.4","34","32.8","27.3","26.6","28.4","23.7","17.2","28.1"
"240","3712","永崴投控","20.5","+0.1","+0.49","08/19","49.4","50","46.8","48.1","38.9","38.8","35.8","32","30.8","25.1","","32.1"
"241","1903","士紙","47.3","-0.1","-0.21","08/19","44","48.8","46.7","47.5","38.9","33.5","30.6","32.3","27.6","23.4","20.4","29.3"
"242","1409","新纖","24.1","-0.25","-1.03","08/19","49.1","36","46.6","39.7","37.2","38.7","27.9","28.9","29.2","27.9","22","29.1"
"243","2451","創見","281","+1","+0.36","08/19","49.7","46.5","46.6","39.3","29.7","33.9","38.5","35.9","32.8","35","35.4","34"
"244","3376","新日興","186.5","-2.5","-1.32","08/19","46.6","48.9","46.6","43.8","40.1","38.9","36.3","34.3","34","29.4","26.8","34.3"
"245","8112","至上","91","+0.7","+0.78","08/19","37.1","40","46.6","37.3","27.3","29.1","33.2","27","12.3","8.23","4.36","25"
"246","2474","可成","204","0","0","08/19","54.6","49.8","46.6","42.2","35.8","46.1","46.6","48","50.1","52.3","46","48.1"
"247","5287","數字","153.5","0","0","08/19","38.3","32.6","46.5","38.6","31.6","36.4","35","34.8","32.1","36.5","28.9","34.2"
"248","5263","智崴","88","-1.4","-1.57","08/19","47.2","46.1","46.5","44.8","36.9","41.2","33.7","30.7","31.1","25.3","16.8","29.8"
"249","6944","兆聯實業","732","-11","-1.48","08/19","58","57.9","46.4","46.4","48.4","51.3","44.8","30.2","16","","","27.8"
"250","6770","力積電","66.6","-3.1","-4.45","08/19","51.8","45","46.4","32.3","28.8","30.8","31.3","31.5","28.6","30.1","","30.1"
"251","3028","增你強","65.6","0","0","08/19","40.1","50","46.4","44.7","43.5","43","36.7","30.3","27.6","26.9","21.9","28.2"
"252","6585","鼎基","114","-2.5","-2.15","08/19","56.2","57.7","46.4","41.5","36.1","39.9","30.5","33.3","33.5","28.4","","33"
"253","1583","程泰","48.75","-0.05","-0.1","08/19","59.7","51.3","46.3","33","25","25.3","24","25.4","22.1","17.2","11.6","23.2"
"254","8048","德勝","51.5","-0.4","-0.77","08/19","55.8","53.6","46.2","37.2","39.1","45.5","33.5","16.6","6.87","3.14","1.42","17.5"
"255","1307","三芳","30.3","0","0","08/19","55.1","47.8","46.2","51.6","52.1","49","37.1","36.6","35.2","32.6","27.2","35.3"
"256","4720","德淵","17.7","-0.55","-3.01","08/19","39.8","46.8","46.1","41.4","39","35.2","24","21.6","20.8","21.7","14.6","21"
"257","2254","巨鎧精密-創","58.7","-0.6","-1.01","08/19","60","60","46.1","64.3","48.3","33.3","23","21.9","13.3","","","13.5"
