排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 超過 600張 (%),超過 600張 增減,持股 超過 800張 (%),超過 800張 增減,持股 超過 1千張 (%),超過 1千張 增減
25,00962,台新AI優息動能,14.93,-0.09,-0.6,26W27,07/03,24.3,-0.21,24.3,-0.21,20.7,-0.27
26,7835,永悅健康-創,27.3,2.05,8.12,26W27,07/03,85.3,0.0,83.9,0.0,83.9,0.0
27,00943,兆豐電子高息等權,21.51,-0.19,-0.88,26W27,07/03,35.0,0.58,33.3,0.58,33.3,0.58
28,00694B,富邦美債1-3,42.29,-0.05,-0.12,26W27,07/03,74.2,0.98,70.6,-0.53,70.6,-0.53
29,3211,順達,338.5,-18.0,-5.05,26W27,07/03,48.7,-1.06,45.4,0.34,42.6,-1.34
30,00645,富邦日本,57.45,0.15,0.26,26W27,07/03,18.8,-0.74,18.8,-0.74,14.7,-0.75
31,4163,鐿鈦,144.0,9.5,7.06,26W27,07/03,65.6,0.0,64.4,0.0,62.5,0.0
32,1718,中纖,9.91,-0.29,-2.84,26W27,07/03,53.0,-0.69,51.6,-0.6,50.4,-0.88
33,5464,霖宏,62.6,-5.0,-7.4,26W27,07/03,71.1,-0.24,65.9,-1.31,59.1,-2.67
34,00752,中信中國50,23.99,-0.01,-0.04,26W27,07/03,32.7,-2.29,31.7,-2.34,31.1,-2.36
35,9949,琉園,23.55,0.25,1.07,26W27,07/03,68.1,0.0,66.8,0.0,58.7,0.0
36,8358,金居,352.0,-32.0,-8.33,26W27,07/03,51.5,-2.91,48.5,-3.18,45.0,-3.71
37,00700,富邦恒生國企,17.75,0.0,0.0,26W27,07/03,6.86,2.51,2.79,0.37,0.0,0.0
38,00907,永豐優息存股,16.85,0.08,0.48,26W27,07/03,11.4,-2.2,10.1,-2.61,9.58,-2.63
39,2483,百容,35.45,-2.0,-5.34,26W27,07/03,62.7,2.63,61.2,1.9,61.2,3.56
40,5490,同亨,30.7,-2.65,-7.95,26W27,07/03,29.6,-1.2,28.2,-1.22,24.5,-1.14
41,3090,日電貿,150.5,-4.5,-2.9,26W27,07/03,66.1,-0.13,64.5,0.08,62.7,0.09
42,0055,元大MSCI金融,43.9,0.28,0.64,26W27,07/03,41.5,0.35,38.5,0.38,38.5,0.38
43,00981D,主動中信非投等債,10.47,-0.02,-0.19,26W27,07/03,43.7,0.23,40.0,0.35,36.7,0.32
44,6831,邁科,637.0,-19.0,-2.9,26W27,07/03,57.5,1.41,49.0,1.43,43.7,0.11
45,2492,華新科,251.0,-5.5,-2.14,26W27,07/03,71.9,0.34,70.9,0.34,69.4,-0.04
46,4971,IET-KY,460.5,-19.5,-4.06,26W27,07/03,21.7,-0.17,11.6,-0.08,7.02,-0.03
47,00963,中信全球高股息,13.35,-0.01,-0.07,26W27,07/03,28.5,-0.44,27.8,-0.44,25.8,0.56
48,5011,久陽,17.75,-0.65,-3.53,26W27,07/03,45.7,0.09,41.7,1.79,37.3,0.07
49,5483,中美晶,168.5,-9.0,-5.07,26W27,07/03,59.2,1.53,56.7,0.93,54.6,0.91
50,00687B,國泰20年美債,27.49,-0.27,-0.97,26W27,07/03,44.1,-0.94,42.7,-0.88,41.7,-0.82
51,00665L,富邦恒生國企正2,9.63,0.05,0.52,26W27,07/03,53.8,-0.32,49.2,-0.27,45.8,-0.78
52,2233,宇隆,201.0,-3.0,-1.47,26W27,07/03,44.7,-2.43,37.1,-3.46,34.2,1.09
53,2243,宏旭-KY,40.05,-2.85,-6.64,26W27,07/03,59.1,0.2,51.8,-1.04,47.8,0.09
54,3081,聯亞,2305.0,-70.0,-2.95,26W27,07/03,42.5,0.54,37.3,0.48,34.5,2.45
55,8028,昇陽半導體,254.0,-20.5,-7.47,26W27,07/03,44.1,-0.59,40.3,-0.32,37.4,0.34
56,8043,蜜望實,126.0,-9.0,-6.67,26W27,07/03,46.0,-1.88,44.3,-2.65,43.2,-3.72
57,6907,雅特力-KY,189.0,-6.0,-3.08,26W27,07/03,64.3,-0.09,62.3,0.0,62.3,0.0
58,1459,聯發,12.9,-0.05,-0.39,26W27,07/03,83.4,0.04,81.3,0.04,79.5,0.07
59,6672,騰輝電子-KY,229.0,-3.5,-1.51,26W27,07/03,31.1,-1.73,23.6,-4.2,21.2,-4.27
60,009822,華南永昌未來金融,9.57,-0.14,-1.44,26W27,07/03,7.44,-1.85,6.24,-1.39,5.37,0.04
61,00882,中信中國高股息,14.96,-0.04,-0.27,26W27,07/03,21.1,-0.49,18.8,-0.52,16.6,-0.7
62,6187,萬潤,1130.0,-45.0,-3.83,26W27,07/03,42.5,-0.44,38.9,1.05,32.3,-0.71
63,8071,能率網通,23.15,0.0,0.0,26W27,07/03,30.6,-1.71,28.3,-0.4,25.2,-1.98
64,00985D,主動貝萊德優投等,10.05,-0.06,-0.59,26W27,07/03,65.2,0.65,63.4,0.66,58.4,-0.48
65,00693U,期街口S&P黃豆,21.65,0.15,0.7,26W27,07/03,32.2,1.02,31.3,1.01,29.1,-0.07
66,4764,雙鍵,236.5,-26.0,-9.9,26W27,07/03,71.4,-1.42,68.8,0.05,65.7,-0.04
67,4551,智伸科,167.5,-2.5,-1.47,26W27,07/03,80.8,0.32,78.9,-0.97,76.5,-1.79
68,2368,金像電,982.0,-3.0,-0.3,26W27,07/03,75.0,0.38,73.0,0.42,70.3,0.61
69,6796,晉弘,56.3,-0.5,-0.88,26W27,07/03,41.0,0.0,37.6,0.0,35.5,0.0
70,00983A,主動中信ARK創新,11.53,-0.08,-0.69,26W27,07/03,25.7,4.02,25.2,5.01,23.7,4.83
71,00982D,主動富邦動態入息,9.87,-0.04,-0.4,26W27,07/03,29.7,-1.36,29.7,-0.32,27.0,1.96
72,3048,益登,57.5,-0.9,-1.54,26W27,07/03,48.5,-1.66,47.2,-1.61,45.9,-0.96
73,5439,高技,241.0,5.0,2.12,26W27,07/03,43.0,-0.25,39.2,-1.72,35.3,0.02
74,2436,偉詮電,61.6,0.2,0.33,26W27,07/03,25.5,0.21,22.7,-0.44,21.4,-0.41
75,6207,雷科,99.9,-4.1,-3.94,26W27,07/03,15.5,0.69,13.2,-0.15,12.2,-0.11
