"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"254","4960","誠美材","20.05","-0.45","-2.2","2,716","08/19","-377","-497","-210","-190","+235","-680","-4,728","+4,555","+1,624","+4,014"
"255","00892","富邦台灣半導體","39.15","-0.35","-0.89","3,129","08/19","-19","-49","-87","-189","-451","-687","+898","+1,334","+1,213","+1,329"
"256","6218","豪勉","38.55","+0.8","+2.12","1,447","08/19","+81","-33","+59","-189","-448","-484","-1,034","+394","+141","+132"
"257","6261","久元","76.2","-0.5","-0.65","383","08/19","-24","-43","-54","-189","-428","-1,288","-2,911","+1,723","+2,367","+1,792"
"258","00918","大華優利高填息30","33.82","+0.03","+0.09","13,028","08/19","+89","-146","-156","-188","-116","+109","+2,532","+1,221","-1,408","-457"
"259","2414","精技","51.9","-0.5","-0.95","270","08/19","-1","+3","-183","-186","-276","-258","+84","+56","-326","+28"
"260","4976","佳凌","37.1","-0.45","-1.2","1,387","08/19","+40","-35","-153","-184","-212","+90","+220","-263","+1,970","+504"
"261","6156","松上","21.05","-0.05","-0.24","367","08/19","-37","-54","-43","-184","-117","-1,608","-588","-2,109","-1,294","-1,649"
"262","6605","帝寶","141","+3","+2.17","548","08/19","-46","-46","-29","-184","-118","-145","+48","+295","+327","+230"
"263","2330","台積電","2350","-30","-1.26","23,619","08/19","+566","+695","+362","-182","-804","-4,126","+1,388","+7,165","+13,653","+6,656"
"264","8027","鈦昇","169","-0.5","-0.29","1,783","08/19","-21","-215","-160","-182","-258","-2,401","-3,690","-616","+2,185","-329"
"265","3356","奇偶","63","-1","-1.56","493","08/19","-14","-32","-22","-180","-137","-218","-281","-651","-1,309","-804"
"266","00904","台新臺灣半導體30","38.76","-0.7","-1.77","687","08/19","+11","-147","-178","-179","-109","-219","-672","+27","+272","+131"
"267","4949","有成精密","70","-3","-4.11","592","08/19","-8","-41","-11","-178","+36","-458","-1,367","+290","-1,161","-631"
"268","8064","東捷","99.2","+0.2","+0.2","1,504","08/19","+24","-19","+22","-178","-202","-2,010","-3,088","+1,058","-299","-1,348"
"269","3712","永崴投控","20.5","+0.1","+0.49","940","08/19","-48","-15","-71","-177","-273","-626","-610","-1,960","-3,415","-1,791"
"270","00651R","復華香港反1","5.16","-0.05","-0.96","281","08/19","-36","-46","-46","-174","-90","-235","-473","-1,046","-2,796","-1,382"
"271","4513","福裕","16.45","-0.5","-2.95","619","08/19","-41","-59","-25","-174","-336","-472","-401","-593","-833","-785"
"272","5213","亞昕","21.1","+0.2","+0.96","273","08/19","-23","-19","-17","-170","-185","-382","-1,067","+128","-362","-114"
"273","6695","芯鼎","47.5","-0.8","-1.66","500","08/19","-34","-115","-124","-170","-191","-222","+582","+715","-682","+246"
"274","4526","東台","29.9","-0.3","-0.99","975","08/19","+4","-39","-155","-169","-196","-1,333","-3,020","-2,295","-7,243","-3,394"
"275","4157","太景*-KY","8.77","+0.09","+1.04","266","08/19","+2","-97","-65","-168","-204","-687","+28","+508","+3,663","+1,448"
"276","3550","聯穎","22.6","-0.1","-0.44","1,040","08/19","-111","-150","-122","-166","+421","+62","+249","+651","+4,604","+2,027"
"277","6465","威潤","46.1","-0.7","-1.5","99","08/19","+6","+3","-109","-165","-27","+237","+535","+1,327","+1,327","+1,327"
"278","1815","富喬","98","+2.7","+2.83","42,899","08/19","-151","+982","+970","-163","-604","-10,184","-25,544","-28,341","-35,612","-39,365"
"279","2345","智邦","2125","-100","-4.49","4,041","08/19","+31","-101","-50","-163","+373","+357","+125","-284","-523","-1,565"
"280","6505","台塑化","70.2","-1.8","-2.5","20,728","08/19","+427","+191","+176","-163","+185","-1,778","+354","+7,376","+3,661","+7,426"
"281","2812","台中銀","19","0","0","5,671","08/19","-18","-146","-92","-161","-253","-2,432","-2,958","-1,475","-1,649","-916"
"282","1526","日馳","17","+0.45","+2.72","414","08/19","-12","-46","-62","-160","-66","+21","+152","-339","-329","-324"
"283","2451","創見","281","+1","+0.36","2,772","08/19","-48","-157","-190","-160","-1,118","+756","+1,675","+611","+5,659","+975"
"284","1467","南緯","8.31","+0.05","+0.61","371","08/19","+12","-74","-92","-159","+257","+670","+2,202","+2,657","+1,464","+1,752"
"285","3260","威剛","395","+8","+2.07","6,354","08/19","+94","+299","+179","-158","-1,135","-1,961","-3,655","+6,609","+13,383","+7,865"
"286","4977","眾達-KY","145","-6","-3.97","1,962","08/19","+12","+177","+109","-158","-76","-110","-2,139","-2,403","-3,743","-3,289"
"287","3689","湧德","106.5","-0.5","-0.47","623","08/19","-73","-88","-50","-157","-100","-284","-1,187","-1,771","-2,424","-2,616"
"288","2404","漢唐","1095","-20","-1.79","1,112","08/19","-128","-154","-196","-156","-78","-130","-1,467","-244","+1,177","-554"
"289","8213","志超","32.5","-0.5","-1.52","390","08/19","-99","-119","-102","-156","-190","-402","-1,360","+1,440","+1,088","+953"
"290","3176","基亞","34","-0.95","-2.72","314","08/19","+45","+14","-155","-154","-101","-1","-178","-56","","+230"
"291","9907","統一實","15.05","+0.2","+1.35","3,009","08/19","-118","-103","-103","-154","-190","+44","+261","-408","-2,383","-1,752"
"292","5521","工信","10.65","+0.2","+1.91","1,341","08/19","+29","+12","-57","-153","-266","-1,861","-2,058","-12,030","+4,772","-2,275"
"293","2495","普安","37.3","-0.2","-0.53","713","08/19","+24","-47","-36","-152","-290","-1,224","-2,351","-888","+1,904","-2,241"
"294","2010","春源","22.65","-0.1","-0.44","732","08/19","-54","-79","-132","-151","-76","-59","-48","+742","-186","+795"
"295","2431","聯昌","10.15","-0.05","-0.49","169","08/19","-51","-151","-151","-151","-158","-283","-732","-2,717","-3,345","-2,371"
"296","5434","崇越","530","-23","-4.16","1,627","08/19","-8","-176","-163","-149","-137","-75","+233","+280","+129","+78"
"297","6191","精成科","82.5","-2.9","-3.4","2,288","08/19","+123","+89","+7","-147","-545","-2,736","-5,132","-4,225","+2,994","-4,782"
"298","00757","統一FANG+","136.35","-1.1","-0.8","3,430","08/19","-5","-144","-130","-146","-179","+3","-134","-935","-1,063","-345"
"299","6873","泓德能源","68","-2.2","-3.13","316","08/19","-18","-75","-115","-145","-252","-742","-582","-1,040","+284","-797"
"300","4129","聯合","87","+1.2","+1.4","199","08/19","-12","-14","-32","-143","-121","-207","-435","+304","+140","+365"
