"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"204","6214","精誠","183.5","+2.5","+1.38","08/31","+6","+65","-9","+188","+120","+840","-2,356","-4,488","+528","-3,687"
"205","3135","凌航","182.5","+1.5","+0.83","08/31","+32","+88","+95","+186","+155","+296","+1,145","+797","","+1,263"
"206","6442","光聖","1630","+15","+0.93","08/31","+84","+90","+141","+185","+250","+1,694","+1,820","+2,046","+1,316","+1,081"
"207","009819","中信數據及電力","9.78","-0.11","-1.11","08/31","+55","-29","-29","+184","+339","-346","-4,789","","",""
"208","4720","德淵","19","+0.05","+0.26","08/31","+1","+90","+179","+183","+246","+226","-889","+2,122","+2,546","+2,496"
"209","6962","奕力-KY","31.55","+0.4","+1.28","08/31","+90","+231","+240","+182","+580","+476","-2,106","+1,433","+11,311","-1,644"
"210","3622","洋華","53.1","-0.4","-0.75","08/31","+11","+55","+74","+180","+439","+454","+763","+1,739","+2,324","+2,128"
"211","00706L","期元大S&P日圓正2","18.81","-0.07","-0.37","08/31","0","+182","+182","+175","+184","+427","+973","+2,070","+2,747","+2,580"
"212","2388","威盛","72.7","-0.6","-0.82","08/31","+98","+46","-72","+175","-281","-7,618","-2,299","-10,376","-2,815","-6,235"
"213","3717","聯嘉投控","22.65","-0.6","-2.58","08/31","+73","+158","+158","+175","+512","+1,402","+3,168","+4,580","+6,505","+5,938"
"214","2501","國建","22.35","-0.15","-0.67","08/31","+37","+245","+215","+174","-182","+2,856","+4,841","+7,076","+5,187","+7,039"
"215","6669","緯穎","7095","-105","-1.46","08/31","+42","+151","+200","+173","+191","+50","-1,038","+3,058","+7,507","+4,556"
"216","3317","尼克森","63","-3.7","-5.55","08/31","+91","+162","+198","+172","+157","-254","+594","+897","+2,314","+282"
"217","2231","為升","91.3","-1.6","-1.72","08/31","+17","+14","+12","+170","+522","+340","+155","+289","+1,136","+17"
"218","6477","安集","36.45","-0.6","-1.62","08/31","+16","+9","+41","+169","+693","+1,697","+1,328","+1,324","-229","+386"
"219","7740","熙特爾-創","129.5","-4.5","-3.36","08/31","+22","+67","+97","+168","+188","+179","+452","+1,115","","+1,263"
"220","6885","全福生技","23.1","+0.45","+1.99","08/31","+35","+93","+160","+167","+228","+467","+797","+835","+715","+790"
"221","4746","台耀","48.75","-0.6","-1.22","08/31","+63","+58","+149","+166","-199","-418","-683","+959","+1,040","+1,007"
"222","4510","高鋒","44.75","-1","-2.19","08/31","+15","+39","+156","+164","+18","-475","+368","+351","-382","-774"
"223","5243","乙盛-KY","90.3","-1","-1.1","08/31","+40","+279","+176","+163","-124","-1,138","+1,553","+2,356","+2,390","+2,102"
"224","7786","東方風能","117","-3","-2.5","08/31","+53","+95","+117","+163","+198","+241","+613","","",""
"225","4716","大立","19.3","+0.15","+0.78","08/31","+41","+136","+136","+159","+167","+1,182","+1,890","+1,600","+2,117","+1,494"
"226","1231","聯華食","80.5","-0.1","-0.12","08/31","+38","+128","+154","+157","+232","+1,431","+1,476","+1,762","+4,872","+2,528"
"227","00635U","期元大S&P黃金","45.89","-1.49","-3.14","08/31","+149","+136","+150","+157","+164","+697","+1,581","+1,171","+3,240","+2,889"
"228","5471","松翰","61.2","-0.5","-0.81","08/31","-157","-197","-120","+156","+608","+1,694","+3,692","+6,753","+7,429","+6,727"
"229","1444","力麗","7.09","-0.08","-1.12","08/31","+22","+16","+74","+155","+155","+155","+152","-1,814","-10,683","-4,594"
"230","2606","裕民","76.1","+3.9","+5.4","08/31","+193","+254","+322","+154","-197","-632","-11,260","-5,928","-18,531","-18,422"
"231","3152","璟德","241.5","-6.5","-2.62","08/31","0","+14","+32","+154","+283","+313","-787","-2,117","-588","-1,266"
"232","2905","三商","17.5","+0.35","+2.04","08/31","0","+34","+90","+153","-158","+34","-1,504","-1,622","-5,230","-2,870"
"233","2613","中櫃","22.7","0","0","08/31","+62","+30","+51","+149","+169","+215","-46","+368","-141","-588"
"234","00673R","期元大S&P原油反1","12.06","-0.33","-2.66","08/31","0","0","0","+148","+1,467","+2,277","-5,946","+7,100","+10,390","+12,590"
"235","3227","原相","192","-5","-2.54","08/31","+15","+58","+46","+147","+208","-1,608","-113","-3,457","-515","+307"
"236","3305","昇貿","112","-4.5","-3.86","08/31","+107","+141","+106","+147","-31","+369","+67","-5,545","-4,557","-5,791"
"237","2236","百達-KY","121.5","0","0","08/31","+40","+41","+49","+144","+138","+239","+571","+506","+537","+530"
"238","3014","聯陽","128.5","-3","-2.28","08/31","+114","+149","+146","+144","+189","+1,871","+8,421","+9,216","+11,626","+9,420"
"239","3630","新鉅科","26.5","+0.1","+0.38","08/31","+17","+53","+74","+142","+185","+278","+980","+1,664","+2,889","+2,420"
"240","1529","樂事綠能","17.1","-0.5","-2.84","08/31","+75","+156","+162","+140","+29","+215","-458","+626","+970","+1,359"
"241","6101","寬魚國際","38.4","+0.5","+1.32","08/31","+2","+25","+56","+140","+220","+367","+650","+737","+419","+700"
"242","5864","致和證","35.75","-0.2","-0.56","08/31","+82","-235","-32","+139","+927","+2,136","+7,869","+7,873","+7,373","+8,619"
"243","4736","泰博","127.5","+3","+2.41","08/31","+22","+31","+37","+138","+66","+39","-533","+232","-557","-12"
"244","00985A","主動野村台灣50","22.98","-0.31","-1.33","08/31","-9","+133","+133","+136","+339","+273","-1,596","-214","+3,033","+235"
"245","6579","研揚","146.5","-0.5","-0.34","08/31","+20","+48","+88","+135","+280","+320","+668","+403","+699","+544"
"246","2511","太子","8.3","-0.02","-0.24","08/31","+50","+98","+105","+131","+155","+478","-2","+2,415","-496","+2,759"
"247","2061","風青","51.6","-0.1","-0.19","08/31","-30","+59","+107","+130","+242","+261","+472","+631","+746","+706"
"248","3004","豐達科","118.5","-0.5","-0.42","08/31","+22","+58","+109","+129","-22","+21","-850","-476","-360","-468"
"249","4137","麗豐-KY","84.2","-1.7","-1.98","08/31","+42","+89","+98","+129","+151","+32","+465","+880","+599","+801"
"250","7750","新代","2270","-30","-1.3","08/31","+11","+35","+43","+129","+171","+211","+300","","",""
"251","1904","正隆","25.2","+0.05","+0.2","08/31","+103","+123","+66","+127","+193","+841","-1,803","-2,600","-4,717","-2,336"
"252","3257","虹冠電","49.55","-0.75","-1.49","08/31","+19","+60","+71","+126","+185","+219","+458","+973","+2,246","+657"
"253","1713","國化","44.15","-0.05","-0.11","08/31","+25","+64","+79","+126","+260","+274","-220","-901","+210","+431"
"254","3025","星通","52.6","-1","-1.87","08/31","+60","+15","+33","+126","+232","+188","+944","+874","+2,100","+85"
"255","6409","旭隼","1035","+5","+0.49","08/31","+20","+106","+124","+126","+123","+110","+1,902","+4,783","+5,047","+5,008"
"256","4938","和碩","91.1","+2.6","+2.94","08/31","+1,832","+803","+1,623","+125","-1,060","-8,690","+974","+57,471","+71,214","+36,799"
"257","3443","創意","6100","+85","+1.41","08/31","+11","+43","+130","+124","-76","-121","+316","+141","-1,360","+275"
"258","4772","台特化","258","-7","-2.64","08/31","+47","+95","+133","+123","+206","+271","+726","+5,460","+4,465","+6,776"
"259","2897","王道銀行","10.35","0","0","08/31","+95","+119","+121","+121","-523","+335","-18,644","-23,510","-12,586","-13,905"
"260","3380","明泰","28.5","+0.35","+1.24","08/31","+243","+51","+143","+121","-225","+2,049","+2,777","+6,268","+12,490","+3,053"
"261","2030","彰源","22.65","-0.15","-0.66","08/31","+65","+74","+60","+120","-103","+244","-593","-1,284","+760","+728"
"262","3709","鑫聯大投控","66.6","-0.7","-1.04","08/31","+45","+67","+113","+118","+361","+12","+596","+48","-1,497","-742"
"263","3530","晶相光","58.9","-0.9","-1.51","08/31","+35","+46","+67","+114","+114","+185","+41","-159","+133","-184"
"264","4768","晶呈科技","310.5","-2.5","-0.8","08/31","+37","+155","+159","+114","+4","-457","+647","+1,059","+804","+1,182"
"265","1210","大成","51.4","-0.6","-1.15","08/31","+400","+809","+967","+112","-1,952","+54","+14,991","+18,771","+20,257","+15,752"
"266","3217","優群","136.5","-1","-0.73","08/31","+24","+33","+46","+112","+396","+369","+1,007","+2,723","+3,562","+3,184"
"267","6271","同欣電","212","-3","-1.4","08/31","+23","+31","+55","+112","-82","+831","+712","-1,301","+1,686","+1,162"
"268","2442","新美齊","19.3","-0.1","-0.52","08/31","+123","+163","+177","+111","+264","+330","+1,107","+3,334","+3,159","+4,294"
"269","5234","達興材料","295.5","-8","-2.64","08/31","+74","+104","+123","+111","+60","+222","+1,498","+2,027","-378","+1,581"
