排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (%),2日 增減 (%),3日 增減 (%),5日 增減 (%),10日 增減 (%),1個月 增減 (%),3個月 增減 (%),半年 增減 (%),1年 增減 (%),今年 增減 (%)
179,1521,大億,25.6,0.3,1.19,07/02,2.59,-15.6,-13.8,-12.5,-16.8,-17.9,-7.75,41.7,36.8,41.7
180,6542,隆中,46.2,-0.25,-0.54,07/02,-12.5,-12.5,-12.5,-12.5,-12.5,-6.67,7.69,27.3,-12.5,27.3
181,5521,工信,10.35,0.1,0.98,07/02,-2.68,-6.01,-8.63,-12.5,-15.6,11.4,87.3,504.0,128.0,504.0
182,7705,三商餐飲,32.95,0.75,2.33,07/02,-4.52,-5.47,-12.4,-12.4,-12.8,-5.0,31.9,97.9,1800.0,97.9
183,4741,泓瀚,61.7,5.6,9.98,07/02,0.0,3.1,4.96,-12.4,-19.1,-47.7,3.87,6.21,76.2,6.21
184,00965,元大航太防衛科技,25.28,0.36,1.44,07/02,-8.19,-8.19,-8.15,-12.3,-12.3,-13.6,-36.4,-18.0,-29.6,-18.0
185,1440,南紡,13.95,0.75,5.68,07/02,1.84,5.73,-12.5,-12.3,-11.2,-5.39,97.9,90.6,-9.33,90.6
186,8085,福華,12.05,0.25,2.12,07/02,-12.2,-12.2,-12.2,-12.2,-12.2,-49.0,-82.3,-36.1,-93.8,-36.1
187,3591,艾笛森,26.35,0.6,2.33,07/02,0.0,0.0,0.0,-12.0,-19.1,-18.7,-34.1,36.2,-28.4,36.2
188,6195,詩肯,25.5,0.0,0.0,07/02,0.0,0.0,-12.0,-12.0,-20.0,-45.7,-40.5,-26.7,76.0,-26.7
189,2939,永邑-KY,18.95,-0.25,-1.3,07/02,-1.89,-5.45,-11.9,-11.9,-16.1,-23.5,-29.7,10.6,-38.8,10.6
190,6919,康霈*,96.6,-2.1,-2.13,07/02,0.0,-11.8,-11.8,-11.8,-23.0,-26.7,-26.4,0.0,0.0,0.0
191,6657,華安,35.4,-0.3,-0.84,07/02,-0.29,-2.29,-6.44,-11.8,-23.7,-49.4,-43.4,75.1,77.4,75.1
192,4764,雙鍵,303.5,2.5,0.83,07/02,0.11,-11.7,-11.7,-11.7,-11.7,74.8,34.6,66.7,1403.0,66.7
193,3653,健策,3475.0,75.0,2.21,07/02,-2.23,-4.66,-10.2,-11.6,1.32,-2.28,-12.4,-33.8,86.2,-33.8
194,6257,矽格,251.0,6.0,2.45,07/02,0.03,-3.37,-3.64,-11.6,-22.0,-42.8,-46.9,-35.7,-18.3,-35.7
195,6417,韋僑,131.5,1.0,0.77,07/02,0.0,1.82,1.82,-11.6,-13.4,-4.55,13.5,-8.2,3.7,-8.2
196,2059,川湖,7880.0,225.0,2.94,07/02,-1.72,-4.35,-1.38,-11.5,-56.2,-51.3,-64.8,-86.2,-78.6,-86.2
197,2636,台驊控股,70.2,0.4,0.57,07/02,-3.18,-2.07,-12.1,-11.5,-17.3,-29.8,-26.1,-21.4,-23.5,-21.4
198,4576,大銀微系統,235.0,21.0,9.81,07/02,-6.58,-5.26,-7.5,-11.5,-24.1,-37.8,-30.9,-64.3,-64.9,-64.3
199,6114,久威,31.9,2.05,6.87,07/02,0.0,0.0,-11.4,-11.4,-11.4,-28.4,-57.8,-67.9,-65.3,-67.9
200,00987A,主動台新優勢成長,17.32,0.01,0.06,07/02,0.0,1.62,-11.4,-11.4,-11.4,2.23,151.0,336.0,,336.0
201,00673R,期元大S&P原油反1,16.3,0.43,2.71,07/02,-2.7,-4.5,-6.42,-11.3,-25.8,-39.9,-53.1,,356.0,
202,2478,大毅,228.0,2.5,1.11,07/02,-7.54,-8.47,-9.13,-11.3,-26.4,45.3,-28.2,-50.5,506.0,-50.5
203,1319,東陽,75.4,-0.7,-0.92,07/02,-1.3,0.61,-0.05,-11.2,-17.9,-16.8,33.9,93.0,282.0,93.0
204,00990A,主動元大AI新經濟,20.38,-0.85,-4.0,07/02,-3.33,-3.33,-2.86,-11.1,-25.8,-46.5,-13.9,-84.6,,-84.6
205,2034,允強,20.05,0.05,0.25,07/02,0.33,1.67,-8.68,-11.1,-19.1,-24.3,-24.4,4.37,348.0,4.37
206,2816,旺旺保,33.65,-0.2,-0.59,07/02,0.12,0.25,0.25,-11.1,-21.3,-24.5,24.2,3.97,-45.3,3.97
207,00643,群益深証中小,20.14,-0.7,-3.36,07/02,0.96,-12.5,-11.0,-11.0,-11.0,21.7,21.7,12.3,-74.6,12.3
208,3363,上詮,529.0,-8.0,-1.49,07/02,-4.58,-5.31,-9.57,-11.0,-12.8,-12.5,102.0,101.0,39.2,101.0
209,6179,亞通,26.25,-0.05,-0.19,07/02,-0.34,-2.59,-9.92,-11.0,-17.7,-21.0,2.26,4.97,109.0,4.97
210,00992A,主動群益科技創新,19.07,0.1,0.53,07/02,-10.4,-10.7,-10.7,-10.9,-43.4,-52.6,86.1,2911.0,,2911.0
211,6187,萬潤,1005.0,-60.0,-5.63,07/02,3.45,1.75,-10.5,-10.9,-22.0,0.16,0.1,-67.6,-70.5,-67.6
212,3546,宇峻,82.1,-0.6,-0.73,07/02,1.64,1.22,-11.9,-10.8,-20.5,-41.7,-59.0,-56.9,-63.2,-56.9
