排名,代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,當日 賣出 佔 成交,2日 賣出 佔 成交,3日 賣出 佔 成交,5日 賣出 佔 成交,10日 賣出 佔 成交,1個月 賣出 佔 成交,3個月 賣出 佔 成交,半年 賣出 佔 成交,1年 賣出 佔 成交,3年 賣出 佔 成交,10年 賣出 佔 成交,今年 賣出 佔 成交
227,8926,台汽電,75.0,2.0,2.74,07/03,29.7,38.0,39.2,46.5,43.8,34.4,29.8,27.1,20.8,10.4,4.0,27.1
228,3661,世芯-KY,4650.0,-245.0,-5.01,07/03,42.7,40.4,39.2,42.1,47.0,46.1,38.5,37.7,37.3,35.7,19.7,37.6
229,7799,禾榮科,391.0,-7.0,-1.76,07/03,38.2,39.7,39.2,35.5,30.2,33.1,33.4,22.9,,,,23.1
230,2538,基泰,9.97,0.17,1.73,07/03,25.5,33.3,39.1,48.2,42.6,32.5,22.8,23.0,28.5,26.9,19.9,23.1
231,2387,精元,41.05,0.25,0.61,07/03,15.8,40.6,39.0,36.4,36.1,38.6,31.5,31.7,37.1,29.1,17.4,31.7
232,2352,佳世達,32.2,0.3,0.94,07/03,44.5,47.1,39.0,34.8,35.9,34.9,32.4,35.2,34.4,35.4,25.4,35.2
233,6919,康霈*,99.7,3.1,3.21,07/03,35.0,39.5,38.9,38.9,41.8,29.6,29.5,20.8,8.12,,,20.8
234,1303,南亞,197.0,0.0,0.0,07/03,54.1,46.6,38.9,36.5,42.1,37.6,35.0,32.4,32.0,36.0,40.0,32.6
235,8473,山林水,49.15,0.75,1.55,07/03,23.2,27.3,38.7,32.8,31.5,29.1,26.4,22.6,13.7,3.95,,22.6
236,2034,允強,20.45,0.4,2.0,07/03,14.4,24.5,38.7,46.5,46.4,35.5,32.7,33.9,35.5,31.4,20.8,33.9
237,8215,明基材,29.5,-0.6,-1.99,07/03,53.2,37.5,38.7,32.6,31.0,31.3,24.8,19.3,15.4,10.9,0.95,19.3
238,8147,正淩,156.0,4.5,2.97,07/03,37.9,37.0,38.7,42.3,42.6,40.8,31.7,22.6,17.9,4.1,2.86,22.6
239,4741,泓瀚,59.0,-2.7,-4.38,07/03,45.2,38.0,38.7,38.2,39.5,25.8,22.6,19.8,18.4,16.5,,19.8
240,2851,中再保,38.45,1.05,2.81,07/03,32.4,29.3,38.5,26.4,40.1,35.6,30.3,27.0,27.1,27.7,23.2,27.0
241,2449,京元電子,335.0,-12.5,-3.6,07/03,54.9,43.4,38.5,34.5,27.8,32.3,35.8,37.6,36.1,38.1,34.7,37.5
242,2328,廣宇,51.2,-1.0,-1.92,07/03,49.0,44.6,38.5,36.1,34.0,34.0,27.0,26.6,23.7,23.4,15.8,26.5
243,5236,凌陽創新,169.0,1.0,0.6,07/03,47.4,36.2,38.5,41.2,26.8,29.1,23.0,23.3,25.0,22.5,,23.3
244,6654,天正國際,200.0,14.0,7.53,07/03,40.5,40.3,38.4,45.0,30.2,19.6,15.1,15.0,17.6,15.0,,15.0
245,3025,星通,68.0,1.1,1.64,07/03,22.6,24.2,38.4,37.8,33.1,34.7,29.3,26.7,24.7,19.6,17.1,26.6
246,4966,譜瑞-KY,654.0,-2.0,-0.3,07/03,44.4,41.2,38.4,37.4,34.5,31.1,26.3,31.4,33.5,38.2,34.6,31.5
247,6831,邁科,923.0,-33.0,-3.45,07/03,53.8,43.1,38.3,38.0,35.6,35.6,34.8,22.2,,,,22.1
248,6139,亞翔,948.0,9.0,0.96,07/03,31.9,32.6,38.3,38.6,33.4,33.6,33.2,33.6,31.0,28.6,23.1,33.7
249,5531,鄉林,8.11,0.21,2.66,07/03,30.2,38.9,38.3,39.8,41.2,40.9,34.4,30.9,31.6,29.8,21.1,31.0
250,2739,寒舍,37.95,0.2,0.53,07/03,26.6,39.4,38.3,41.7,24.9,22.6,23.0,22.2,23.4,23.0,17.4,22.1
251,1201,味全,12.65,0.35,2.85,07/03,24.2,29.6,38.3,43.0,35.4,34.4,30.4,28.6,27.5,32.7,19.6,28.6
252,1216,統一,76.3,1.4,1.87,07/03,18.1,33.0,38.3,49.9,63.2,61.2,60.8,60.4,62.7,62.4,65.8,60.4
253,6244,茂迪,27.2,0.3,1.12,07/03,26.6,34.9,38.2,37.8,37.0,32.8,30.7,27.1,26.4,27.0,16.1,27.2
254,00876,元大全球5G,100.2,-2.75,-2.67,07/03,24.6,42.5,38.2,25.2,30.0,22.1,15.4,13.5,7.87,6.32,,13.5
255,3217,優群,179.0,-1.0,-0.56,07/03,31.3,29.5,38.2,41.3,32.6,32.7,23.2,27.4,28.1,24.7,14.1,27.4
256,00990A,主動元大AI新經濟,19.76,-0.62,-3.04,07/03,49.2,50.9,38.2,34.6,35.0,27.1,23.5,20.2,,,,20.2
257,9939,宏全,122.0,4.0,3.39,07/03,10.9,30.1,38.2,46.3,46.4,40.3,36.4,27.8,15.2,5.8,1.7,27.7
