排名,代號,名稱,成交,漲跌 價,漲跌 幅,更新 日期,當日 增減 (萬元),2日 增減 (萬元),3日 增減 (萬元),5日 增減 (萬元),10日 增減 (萬元),1個月 增減 (萬元),3個月 增減 (萬元),半年 增減 (萬元),1年 增減 (萬元),今年 增減 (萬元)
137,2377,微星,145.0,0.0,0.0,08/28,3176.0,11278.0,565.0,-6058,-95910.0,-219457.0,-108807.0,103353.0,443076.0,316598.0
138,3005,神基,116.0,0.0,0.0,08/28,-418.0,-546.0,1402.0,-6014,-30054.0,-107212.0,-241586.0,135079.0,159795.0,150561.0
139,2034,允強,20.45,0.1,0.49,08/28,-376.0,-1008.0,-3756.0,-5968,-9566.0,-8555.0,-17667.0,-15939.0,8759.0,-5867.0
140,2812,台中銀,18.85,0.0,0.0,08/28,-431.0,-21.0,-2791.0,-5900,2007.0,41207.0,-86646.0,95123.0,160176.0,145910.0
141,6830,汎銓,525.0,-5.0,-0.94,08/28,-1157.0,3852.0,8580.0,-5833,-8335.0,6829.0,-6925.0,38358.0,29375.0,36361.0
142,6173,信昌電,239.0,21.5,9.89,08/28,2397.0,2481.0,-4831.0,-5824,24638.0,63056.0,60663.0,39279.0,48937.0,15388.0
143,8234,新漢,68.0,-0.6,-0.87,08/28,218.0,-4530.0,-4632.0,-5814,-4741.0,-8116.0,-7595.0,-8147.0,12214.0,-4488.0
144,6526,達發,620.0,10.0,1.64,08/28,929.0,1112.0,-8083.0,-5727,-5819.0,-16605.0,-8044.0,-67240.0,6742.0,-31688.0
145,6177,達麗,47.55,-0.35,-0.73,08/28,266.0,-2516.0,-2627.0,-5711,3194.0,10153.0,16964.0,26986.0,-20381.0,18892.0
146,3596,智易,161.5,1.5,0.94,08/28,-1633.0,-2714.0,-4772.0,-5630,-7312.0,15917.0,-56200.0,59168.0,58692.0,63098.0
147,2610,華航,20.35,-0.45,-2.16,08/28,2740.0,-825.0,-1404.0,-5625,-6878.0,4354.0,-364112.0,-150006.0,-230123.0,-274946.0
148,4147,中裕,64.1,-4.0,-5.87,08/28,1112.0,-740.0,-2246.0,-5564,-9039.0,-10834.0,-27017.0,-3132.0,12620.0,10824.0
149,5464,霖宏,73.1,2.1,2.96,08/28,-8155.0,-7422.0,-6437.0,-5556,-3584.0,2268.0,3948.0,4593.0,4470.0,4500.0
150,6831,邁科,620.0,27.0,4.55,08/28,-248.0,885.0,-1484.0,-5380,-3523.0,6136.0,30850.0,,,
151,9910,豐泰,68.2,-0.1,-0.15,08/28,-3872.0,-5485.0,-3615.0,-5376,-8917.0,-22077.0,94751.0,51066.0,84594.0,139213.0
152,1722,台肥,44.6,0.0,0.0,08/28,-5169.0,-8715.0,-8675.0,-5342,-430.0,4439.0,-73066.0,42367.0,69365.0,48115.0
153,4743,合一,46.95,-0.2,-0.42,08/28,-1561.0,-3515.0,-4190.0,-5338,-11451.0,-11046.0,3500.0,36995.0,55219.0,5497.0
154,5443,均豪,112.0,5.5,5.16,08/28,743.0,-528.0,-6378.0,-5305,-13099.0,-14865.0,-8125.0,-21440.0,-37541.0,-11267.0
155,3515,華擎,220.0,2.0,0.92,08/28,-1538.0,-1230.0,-5993.0,-5158,-9869.0,-12272.0,-6897.0,38508.0,71659.0,70105.0
156,3289,宜特,140.5,-1.5,-1.06,08/28,-1772.0,-3979.0,-4147.0,-5113,-4422.0,-8386.0,22167.0,55536.0,51313.0,47200.0
157,1909,榮成,10.85,-0.05,-0.46,08/28,-141.0,157.0,170.0,-5059,-5724.0,-5708.0,-11617.0,2219.0,-1136.0,1712.0
158,2027,大成鋼,48.4,-0.25,-0.51,08/28,-518.0,-1257.0,-2108.0,-5042,-10751.0,-32265.0,-328048.0,-319423.0,-162777.0,-244054.0
159,3535,晶彩科,90.2,0.7,0.78,08/28,45.2,-571.0,-5411.0,-5010,-4415.0,-11803.0,-22217.0,30084.0,23373.0,16517.0
160,5534,長虹,75.3,-0.4,-0.53,08/28,181.0,-6189.0,-6086.0,-4985,-10004.0,-6154.0,-18868.0,38139.0,18692.0,37732.0
161,9907,統一實,15.35,-0.1,-0.65,08/28,-260.0,-1482.0,-4976.0,-4926,-4650.0,-6337.0,-6890.0,43970.0,56113.0,44239.0
162,2105,正新,30.55,-0.55,-1.77,08/28,1583.0,555.0,1429.0,-4712,-14142.0,-54278.0,-33824.0,-332654.0,-111476.0,-221198.0
163,6515,穎崴,6250.0,145.0,2.38,08/28,-3107.0,-5531.0,-4328.0,-4691,-44877.0,-57770.0,44018.0,-291471.0,-525308.0,-444476.0
164,2104,國際中橡,10.25,-0.2,-1.91,08/28,-917.0,-1325.0,-3918.0,-4593,-6504.0,-1043.0,1175.0,7235.0,11235.0,7507.0
165,1723,中碳,86.3,-0.3,-0.35,08/28,224.0,590.0,-1713.0,-4548,-6189.0,-9278.0,-37791.0,-66432.0,-22246.0,-70507.0
166,2478,大毅,129.5,4.5,3.6,08/28,4409.0,1844.0,-4439.0,-4515,11227.0,26424.0,25049.0,14887.0,29814.0,-1665.0
167,00679B,元大美債20年,25.85,-0.19,-0.73,08/28,287.0,-2316.0,-2413.0,-4360,24841.0,38975.0,33485.0,-7401.0,-201901.0,16433.0
168,6589,台康生技,49.85,-0.35,-0.7,08/28,-40.1,-484.0,-2383.0,-4340,-9113.0,-12924.0,-26318.0,-11551.0,-8609.0,-9073.0
169,6438,迅得,151.0,2.5,1.68,08/28,-967.0,-1339.0,-2523.0,-4282,-4922.0,-8511.0,-10265.0,-27660.0,17375.0,-3027.0
170,2207,和泰車,520.0,-7.0,-1.33,08/28,-6287.0,-5969.0,-5656.0,-4249,-22578.0,-51367.0,-349855.0,-24979.0,130167.0,130785.0
171,2493,揚博,181.5,-3.5,-1.89,08/28,1066.0,239.0,3234.0,-4209,9385.0,52728.0,-25564.0,2591.0,38059.0,-20740.0
172,8454,富邦媒,250.0,-5.5,-2.15,08/28,-654.0,-298.0,-605.0,-4190,-4160.0,-11075.0,3357.0,8724.0,79358.0,26452.0
173,1440,南紡,13.7,-0.15,-1.08,08/28,-444.0,-495.0,-2888.0,-4190,-6226.0,-4849.0,-2866.0,8418.0,-1697.0,7109.0
174,2903,遠百,22.1,-0.25,-1.12,08/28,235.0,367.0,-2899.0,-4189,-1357.0,-1517.0,-658.0,24329.0,22304.0,26239.0
175,4576,大銀微系統,216.0,0.5,0.23,08/28,-1613.0,-1483.0,-2182.0,-4139,-5830.0,2742.0,-46.9,-25093.0,-28550.0,-23171.0
176,6190,萬泰科,70.6,1.8,2.62,08/28,-2417.0,-2842.0,-2066.0,-4123,-7660.0,-15128.0,-24878.0,-4398.0,665.0,-19399.0
177,2646,星宇航空,20.85,-0.25,-1.18,08/28,153.0,-1455.0,-2931.0,-4107,-4302.0,-5334.0,-46645.0,-41971.0,119263.0,-10953.0
