排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 100張 以下 (%),100張 以下 增減,持股 200張 以下 (%),200張 以下 增減,持股 400張 以下 (%),400張 以下 增減,持股 600張 以下 (%),600張 以下 增減
1921,1789,神隆,18.3,-0.3,-1.61,26W37,09/11,16.5,0.03,19.6,-0.04,23.0,0.0,24.3,-0.01
1922,6715,嘉基,321.5,-15.0,-4.46,26W37,09/11,14.0,-1.1,18.9,0.18,23.0,1.32,26.4,-0.18
1923,2368,金像電,1030.0,-15.0,-1.44,26W37,09/11,14.5,0.53,17.9,0.51,23.0,0.56,25.9,0.32
1924,1410,南染,24.4,-0.1,-0.41,26W37,09/11,13.4,-0.19,16.3,-0.03,22.9,-0.03,26.4,-0.03
1925,8466,美吉吉-KY,14.05,0.0,0.0,26W37,09/11,15.4,-0.12,19.2,0.01,22.9,0.0,31.5,0.0
1926,1623,大東電,205.5,-13.0,-5.95,26W37,09/11,17.7,-0.29,20.5,-0.39,22.9,0.0,25.0,0.0
1927,8416,實威,170.0,1.0,0.59,26W37,09/11,17.1,0.0,20.1,0.0,22.9,0.0,22.9,0.0
1928,6488,環球晶,902.0,-15.0,-1.64,26W37,09/11,15.8,0.62,18.4,0.48,22.9,0.56,25.5,0.39
1929,2506,太設,8.7,-0.02,-0.23,26W37,09/11,16.5,-0.09,19.4,0.02,22.7,-0.13,24.8,-0.07
1930,1506,正道,9.92,-0.03,-0.3,26W37,09/11,14.0,-0.03,18.3,0.05,22.7,-0.11,26.2,0.05
1931,4131,浩泰,31.9,0.7,2.24,26W37,09/11,12.9,-0.05,16.1,-0.5,22.7,-1.17,26.2,0.0
1932,2351,順德,234.0,-1.5,-0.64,26W37,09/11,16.7,-0.34,18.4,-0.49,22.6,-0.89,25.7,-1.04
1933,6556,勝品,61.5,0.1,0.16,26W37,09/11,14.9,0.01,16.9,0.01,22.6,0.01,27.8,0.01
1934,6183,關貿,91.2,-0.1,-0.11,26W37,09/11,13.8,0.01,16.8,0.0,22.5,0.0,24.0,0.0
1935,4535,至興,27.5,-0.5,-1.79,26W37,09/11,12.7,0.0,17.7,0.01,22.5,0.01,25.4,0.01
1936,1805,寶徠,10.1,0.0,0.0,26W37,09/11,13.1,-0.01,17.0,-0.08,22.5,-0.02,26.0,-0.01
1937,2248,華勝-KY,59.3,-1.0,-1.66,26W37,09/11,13.1,0.08,16.7,0.06,22.5,0.19,24.7,0.2
1938,2501,國建,22.15,-0.1,-0.45,26W37,09/11,16.6,0.03,19.3,0.01,22.5,0.0,24.2,0.03
1939,2432,倚天酷碁-創,27.2,-0.3,-1.09,26W37,09/11,12.6,-0.08,18.5,-0.06,22.4,-0.07,25.7,-0.07
1940,6762,達亞,161.0,-6.0,-3.59,26W37,09/11,11.1,0.0,15.8,0.0,22.4,0.0,27.7,0.0
