"排名","代號","名稱","市場","成交","漲跌價","漲跌幅","成交張數","法人買賣日期","外資買賣超張數","投信買賣超張數","自營買賣超張數","合計買賣超張數","外資持有(千張)","外資持股(%)","法人買賣超註記"
"512","4749","新應材","櫃","728","-7","-0.95","598","09/22","+50","-168","-36","-154","12.5","13.4","＋－－"
"513","3285","微端","櫃","42.15","-1.05","-2.43","71","09/22","+1","0","-4","-3","5.74","13.4","＋・－"
"514","3587","閎康","櫃","239","-0.5","-0.21","246","09/22","+8","0","-3","+5","9.45","13.3","＋・－"
"515","8027","鈦昇","櫃","181","+1.5","+0.84","3,301","09/22","+78","0","0","+78","14.6","13.2","＋・－"
"516","6788","華景電","櫃","336.5","-5","-1.46","195","09/22","-5","-1","-3","-9","5.13","13.2","－－－"
"517","6138","茂達","櫃","275","+2.5","+0.92","478","09/22","+133","+66","+5","+204","10","13.2","＋＋＋"
"518","6485","點序","櫃","69","-2.8","-3.9","1,580","09/22","-569","0","+3","-566","6.26","13.2","－・＋"
"519","6582","申豐","市","31.3","+0.2","+0.64","15","09/22","+5","0","0","+5","14","13.2","＋・・"
"520","8064","東捷","櫃","134","-4","-2.9","11,517","09/22","-325","0","-177","-502","24.3","13.2","－・－"
"521","4953","緯致","櫃","118","-2","-1.67","322","09/22","-175","0","-2","-177","9.62","13.2","－・－"
"522","2520","冠德","市","37.25","-1.1","-2.87","1,369","09/22","-629","0","+25","-604","80","13.1","－・＋"
"523","4971","IET-KY","櫃","568","-13","-2.24","1,269","09/22","-104","0","0","-104","6.2","13.1","－・＋"
"524","6834","天二科技","市","111.5","-3.5","-3.04","6,167","09/22","+7","0","-56","-49","11.6","13.1","＋・－"
"525","6533","晶心科","市","254.5","-9","-3.42","4,447","09/22","+798","+10","+4","+812","6.64","13.1","＋＋＋"
"526","7805","威聯通","櫃","505","+6.5","+1.3","69","09/22","+11","0","-2","+9","5.19","13.1","＋・－"
"527","3483","力致","櫃","77.9","+3.7","+4.99","538","09/22","+194","0","+3","+197","12.9","13","＋・＋"
"528","5515","建國","市","50.2","+0.65","+1.31","288","09/22","+61","0","-1","+61","26.3","13","＋・－"
"529","1907","永豐餘","市","29","+0.1","+0.35","310","09/22","-2","0","-2","-4","216","13","－・－"
"530","6245","立端","櫃","85.7","-2.7","-3.05","1,140","09/22","-176","0","-36","-212","19.1","13","－・－"
"531","1514","亞力","市","102","-0.5","-0.49","601","09/22","+115","0","-5","+110","36.1","13","＋・－"
"532","6462","神盾","櫃","98","-0.7","-0.71","1,096","09/22","-74","0","-2","-76","11.8","13","－・－"
"533","5306","桂盟","市","89.3","-0.1","-0.11","47","09/22","-11","0","0","-11","16.3","12.9","－・・"
"534","1513","中興電","市","166","-0.5","-0.3","2,116","09/22","+388","0","+21","+408","65","12.9","＋・＋"
"535","5263","智崴","櫃","90","+1.8","+2.04","96","09/22","+8","0","0","+8","10.2","12.9","＋・－"
"536","6419","京晨科","櫃","151","-1","-0.66","60","09/22","-4","0","0","-4","1.69","12.9","－・－"
"537","2015","豐興","市","64.2","-0.5","-0.77","102","09/22","-59","0","+1","-58","74.4","12.8","－・＋"
"538","6472","保瑞","市","420","-0.5","-0.12","437","09/22","+46","-45","-18","-17","16.2","12.7","＋－－"
"539","1712","興農","市","39.9","0","0","535","09/22","-96","+157","0","+61","53.3","12.7","－＋・"
"540","8436","大江","櫃","106","+2","+1.92","890","09/22","+118","0","-4","+114","14.9","12.6","＋・－"
"541","2492","華新科","市","311","+2.5","+0.81","21,975","09/22","+2,330","0","+179","+2,509","61.1","12.6","＋・＋"
"542","1726","永記","市","76.9","+0.2","+0.26","16","09/22","-1","0","0","-1","20.4","12.6","－・・"
"543","1101","台泥","市","24.55","+0.4","+1.66","29,414","09/22","+14,828","-31","+515","+15,312","945","12.6","＋－＋"
"544","6277","宏正","市","78.3","-1","-1.26","109","09/22","-5","0","+2","-3","15","12.5","－・＋"
"545","2436","偉詮電","市","71","+1","+1.43","9,048","09/22","+1,498","0","+132","+1,629","25.1","12.5","＋・＋"
"546","4956","光鋐","市","42.2","-4.65","-9.93","23,196","09/22","+1,839","0","0","+1,839","12.6","12.5","＋・・"
"547","6691","洋基工程","市","635","+3","+0.47","537","09/22","+20","0","+13","+33","16.7","12.5","＋・＋"
"548","1707","葡萄王","市","86.9","-0.4","-0.46","286","09/22","-67","0","0","-67","18.5","12.5","－・－"
"549","8390","金益鼎","櫃","90.4","-1.4","-1.53","481","09/22","-59","0","-4","-63","12","12.4","－・－"
"550","4167","松瑞藥","櫃","19.75","+0.1","+0.51","713","09/22","+316","0","0","+316","41.3","12.4","＋・＋"
"551","2480","敦陽科","市","162.5","-2","-1.22","198","09/22","+26","0","0","+25","13.2","12.4","＋・－"
"552","3611","鼎翰","櫃","182.5","0","0","18","09/22","-3","0","0","-3","5.89","12.4","－・・"
"553","5013","強新","櫃","32.3","+0.2","+0.62","246","09/22","-28","0","0","-28","16.5","12.4","－・＋"
"554","6791","虎門科技","櫃","100","0","0","9","09/22","+3","0","0","+3","2.58","12.4","＋・－"
"555","6934","心誠鎂","市","73","-0.1","-0.14","118","09/22","+16","0","0","+16","4.44","12.3","＋・・"
"556","1463","強盛新","市","17.65","+0.05","+0.28","143","09/22","+33","0","-1","+32","21.3","12.3","＋・－"
"557","3078","僑威","櫃","45.65","-0.55","-1.19","626","09/22","-181","+131","-11","-62","27.9","12.3","－＋－"
"558","6584","南俊國際","櫃","553","-7","-1.25","412","09/22","-78","0","+1","-77","8.75","12.3","－・＋"
"559","3209","全科","市","45.85","0","0","657","09/22","-13","0","0","-13","28.9","12.2","－・・"
"560","1904","正隆","市","25","+0.45","+1.83","2,212","09/22","+970","0","+5","+975","135","12.2","＋・＋"
"561","2617","台航","市","33.1","-0.2","-0.6","584","09/22","+66","0","+1","+67","51","12.2","＋・＋"
"562","4133","亞諾法","市","20.6","+0.05","+0.24","39","09/22","+1","0","0","+1","7.39","12.2","＋・・"
"563","6111","光聚晶電","櫃","36.5","+0.15","+0.41","196","09/22","-21","0","+1","-20","13.2","12.2","－・＋"
"564","8046","南電","市","1165","+105","+9.91","17,066","09/22","+5,863","-134","+253","+5,982","78.6","12.2","＋－＋"
"565","2478","大毅","市","120","0","0","1,736","09/22","+132","0","+28","+160","17.5","12.1","＋・＋"
"566","2636","台驊控股","市","70.7","+0.2","+0.28","204","09/22","+73","0","+3","+76","17.1","12.1","＋・＋"
"567","4967","十銓","市","272","-4.5","-1.63","1,821","09/22","-334","0","-23","-356","10.2","12","－・－"
"568","1717","長興","市","71","-0.7","-0.98","4,481","09/22","-1,075","0","-26","-1,101","142","12","－・－"
"569","8454","富邦媒","市","241","-5.5","-2.23","432","09/22","-120","0","-1","-121","31.7","12","－－－"
"570","8255","朋程","櫃","139.5","+2","+1.45","363","09/22","+60","0","-1","+60","12.2","12","＋・－"
"571","3289","宜特","櫃","138.5","+2","+1.47","1,608","09/22","-218","0","+77","-141","10.4","12","－・＋"
"572","6443","元晶","市","28.4","+0.35","+1.25","43,017","09/22","-9,364","0","-93","-9,457","61.2","11.9","－・－"
"573","6509","聚和","櫃","47.15","-0.05","-0.11","690","09/22","+102","0","-2","+100","23.4","11.9","＋・－"
"574","2466","冠西電","市","115.5","+5.5","+5","2,848","09/22","-251","0","0","-251","20.6","11.9","－・＋"
"575","6919","康霈*","市","82.6","-0.5","-0.6","8,246","09/22","-1,126","0","+17","-1,109","185","11.9","－・＋"
"576","6234","高僑","櫃","38.65","-3.7","-8.74","2,502","09/22","-338","0","-34","-372","11.9","11.9","－・－"
"577","4162","智擎","櫃","56.3","+0.5","+0.9","311","09/22","+62","0","+2","+65","16.9","11.8","＋・＋"
