"排名","代號","名稱","成交","漲跌價","漲跌幅","更新日期","當日增減(%)","2日增減(%)","3日增減(%)","5日增減(%)","10日增減(%)","1個月增減(%)","3個月增減(%)","半年增減(%)","1年增減(%)","今年增減(%)"
"63","2603","長榮","240.5","+2.5","+1.05","08/19","-15","-17.9","-21.2","-27.3","-29.5","-56.7","-62.8","-61.3","-53.5","-64.9"
"64","6216","居易","22.15","+0.15","+0.68","08/19","+0.21","-2.28","-19.8","-27.1","-32.4","-32.1","-15.8","+7.51","-15.5","-14.2"
"65","8410","森田","31.5","-0.1","-0.32","08/19","0","-21.6","-26.1","-26.6","-30.5","-26.6","-18.6","-25.5","+19.3","-30"
"66","1608","華榮","35.3","-0.15","-0.42","08/19","-4.09","-18.2","-20.9","-26.6","-44.4","-40.6","-10.1","-19.6","-18.5","-32.1"
"67","2816","旺旺保","34.2","+0.05","+0.15","08/19","0","-17","-17.2","-26.4","-25.4","-10.5","-23.3","+33.2","-37.7","+4.87"
"68","2103","台橡","27.25","-0.6","-2.15","08/19","-2.59","-13.9","-19.5","-26.3","-26","-12.7","-26.2","+45.7","+60.4","+45"
"69","1597","直得","135","-4.5","-3.23","08/19","-3.98","-16.2","-26.6","-26.3","-26.8","-41.7","+28","-43.3","-56.2","-52.9"
"70","4931","新盛力","268","+8.5","+3.28","08/19","-5.47","-11.9","-20.3","-26.1","-26.1","-22.4","-14.6","+72.4","+65","+430"
"71","5880","合庫金","24.85","-0.1","-0.4","08/19","+3.29","+5.41","+10.7","-26","-24.7","-30.9","-73.7","+31.1","+2.86","+237"
"72","00773B","中信優先金融債","34.82","+0.2","+0.58","08/19","0","0","-25.4","-25.4","-25.4","-26.2","-29.2","-4.7","-8.13","+33.1"
"73","2012","春雨","14.85","-0.1","-0.67","08/19","0","-6.59","-23.9","-25.4","-24.3","-12.8","+7.59","+21.9","+20.9","+41.8"
"74","6922","宸曜","200.5","+9.5","+4.97","08/19","+1.92","-2.75","-26.3","-25.3","-19.7","-20.3","-49.2","-50.8","+10.6","-44"
"75","6781","AES-KY","1065","+5","+0.47","08/19","-0.46","-11.8","-14.2","-25.2","-28.9","-30.6","-33.1","-15.5","+394","-20"
"76","2105","正新","31.05","-0.05","-0.16","08/19","-0.94","-11.1","-8.3","-25.2","-28.9","-50.2","-31.5","-82.8","-61.9","-78"
"77","6196","帆宣","500","-3","-0.6","08/19","+0.17","-9.47","-9.47","-25","-27.3","-51.3","-76.6","-72.7","-82.7","-52.6"
"78","2464","盟立","181.5","+3.5","+1.97","08/19","-8.1","-25.6","-23.7","-25","-36.1","-37.1","-29.2","-62.6","-64","-62.7"
"79","1732","毛寶","26.05","-0.05","-0.19","08/19","-1.47","-1.47","-24.6","-25","-24.2","-30.5","-24.4","-24.1","-43.4","+6.35"
"80","1618","合機","38.5","+0.05","+0.13","08/19","-4.88","-9.14","-19.9","-24.9","-31","-33.2","-47.8","-40.1","-20.4","-34.4"
"81","2006","東和鋼鐵","81.3","+0.5","+0.62","08/19","+2.04","-29.5","-29","-24.4","-8.39","+2.67","-76.3","-62.8","-16.3","-53"
"82","1717","長興","69.6","-0.9","-1.28","08/19","-2.55","-5.5","-18.1","-24.4","-25.3","-12.4","-41","+14.9","+157","+53.7"
"83","1103","嘉泥","13.05","0","0","08/19","+1.1","-14.4","-23.9","-24.1","-25.5","-17.8","-11.2","-21.8","-36.6","-21.9"
"84","6281","全國電","51.1","-0.1","-0.2","08/19","0","0","0","-24.1","-25.9","-28.5","-24.6","+33","+111","+41.9"
"85","8043","蜜望實","143","+5.5","+4","08/19","-0.49","+0.99","-1.81","-23.9","-43.9","-45.3","-49.5","+64.9","+88.6","+24.5"
"86","00948B","中信優息投資級債","9.09","+0.04","+0.44","08/19","0","0","-23.9","-23.9","-25","+148","+2,084","+567","-21.8","+261"
"87","7772","耀穎","89","-0.8","-0.89","08/19","0","-23.8","-23.8","-23.8","-15.8","+100","","","",""
"88","4736","泰博","143","+2.5","+1.78","08/19","-5.22","-20.2","-21","-23.7","-23.8","-26.3","-53.2","-2.77","-56.3","-28.6"
"89","3088","艾訊","126.5","-0.5","-0.39","08/19","+4.68","-13.3","-11.9","-23.5","-43.6","-25.5","-37.1","-16.1","-50.9","-38.6"
"90","6770","力積電","66.6","-3.1","-4.45","08/19","-4.3","-9.51","-23.9","-23.5","-17.7","+20.2","-42.6","+172","-18.2","+53.5"
"91","2408","南亞科","481","-34","-6.6","08/19","+1.29","-6.18","-10.9","-23.4","-36.5","+17.6","+26","+104","-28.8","+105"
"92","6187","萬潤","1305","+45","+3.57","08/19","+3.79","+0.31","-14.2","-23.1","+1.86","+48.9","+58","-58","-75.5","-66.7"
