"排名","代號","名稱","成交","漲跌價","漲跌幅","成交張數","更新日期","當日增減張數","2日增減張數","3日增減張數","5日增減張數","10日增減張數","1個月增減張數","3個月增減張數","半年增減張數","1年增減張數","今年增減張數"
"272","00885","富邦越南","18.53","-0.05","-0.27","2,005","08/27","-3","+122","+111","+138","+104","+53","+265","-2,810","-3,126","-3,796"
"273","6426","統新","263.5","+4","+1.54","2,303","08/27","-7","+149","+180","+138","+471","+869","-1,814","-1,247","+2,044","+677"
"274","00882","中信中國高股息","14.98","-0.02","-0.13","3,108","08/27","+375","+397","+152","+136","-462","+346","+354","+1,109","-4,543","-1,882"
"275","00910","第一金太空衛星","58.35","-0.1","-0.17","558","08/27","+87","+114","+121","+136","+94","-266","-428","-102","+1,610","+876"
"276","9955","佳龍","24.85","-0.15","-0.6","154","08/27","-8","+53","+101","+136","+183","+55","-253","-721","-301","-348"
"277","00670L","富邦NASDAQ正2","200.8","+1.7","+0.85","523","08/27","-42","+14","+61","+134","-81","+192","+263","-312","-526","-193"
"278","3694","海華","50.8","-0.7","-1.36","448","08/27","+43","+80","+50","+134","+330","+403","+82","+113","+3,313","+808"
"279","3135","凌航","181","-1.5","-0.82","1,586","08/27","-41","-277","+79","+133","-253","+409","+893","","",""
"280","3716","中化控股","34.85","-0.3","-0.85","325","08/27","-7","+25","+11","+133","+80","+221","+135","-90","-56","-98"
"281","4720","德淵","18.95","-0.5","-2.57","1,245","08/27","+118","+147","+138","+133","+69","-178","-2,384","+69","+890","+1,460"
"282","5381","光譜","26.95","+0.55","+2.08","2,746","08/27","+81","+102","+96","+133","+71","-124","+2,469","+3,931","+3,931","+3,931"
"283","2614","東森","18.25","-0.25","-1.35","651","08/27","-72","-51","-29","+132","+68","-158","+153","-962","-105","-2,663"
"284","3489","森寶","23.05","-0.05","-0.22","152","08/27","0","+1","+11","+132","-71","-524","-1,477","-1,051","-857","-820"
"285","4576","大銀微系統","216","+0.5","+0.23","1,949","08/27","+243","+308","+237","+132","-374","+151","-1,025","-831","-1,516","-730"
"286","2501","國建","22.5","-0.4","-1.75","2,927","08/27","0","+44","+59","+131","+143","+82","-705","-1,750","-3,518","-2,513"
"287","6220","岳豐","25.9","-0.15","-0.58","261","08/27","+121","+135","+136","+130","+110","-20","+280","+423","+1,245","+1,746"
"288","6706","惠特","124","0","0","1,097","08/27","-120","-62","+133","+129","-402","+2","-4,877","-3,446","+1,297","-6,692"
"289","9904","寶成","24.35","-0.45","-1.81","22,854","08/27","+223","+255","+7","+129","-152","+1,591","+9,107","+13,650","+11,665","+10,172"
"290","2331","精英","19.7","-0.1","-0.51","833","08/27","+114","+127","+60","+127","+244","-322","-745","-4,269","-640","-515"
"291","4967","十銓","273.5","-2","-0.73","2,661","08/27","-110","-345","-379","+125","+598","-559","-2,946","-523","+1,983","-5,881"
"292","6207","雷科","111","+3","+2.78","6,011","08/27","+133","+57","-7","+120","-366","-617","-4,470","+175","-2,530","+229"
"293","1810","和成","25.25","-0.65","-2.51","6,907","08/27","+570","+650","+324","+119","+1,554","+1,989","+3,545","+3,658","+4,174","+3,431"
"294","3035","智原","180.5","+4","+2.27","2,657","08/27","+45","+84","+141","+119","+441","-902","-4,003","-5,600","-3,199","-5,922"
"295","3048","益登","55.6","-0.6","-1.07","3,553","08/27","+58","+78","+121","+118","+165","+383","-2,784","+680","+2,842","-120"
"296","3529","力旺","2540","-110","-4.15","1,695","08/27","-29","+59","+69","+118","+231","+575","-18","-78","+496","-102"
"297","6291","沛亨","400.5","-16.5","-3.96","1,390","08/27","+107","+137","+108","+118","+309","+526","-300","-879","+469","-1,193"
"298","1582","信錦","76.8","+0.9","+1.19","1,070","08/27","+111","+87","+99","+116","+104","-168","-5,648","+583","+489","+1,008"
"299","6664","群翊","359.5","+4.5","+1.27","266","08/27","-1","+12","+18","+116","+61","-51","-262","+420","+400","+24"
"300","2718","全心投控","41.9","-1.45","-3.34","126","08/27","+7","+40","+40","+115","+172","+236","-4","-7","+61","+66"
