排名,代號,名稱,成交,漲跌 價,漲跌 幅,持股 資料 週別,更新 日期,持股 800張 以下 (%),800張 以下 增減,持股 1千張 以下 (%),1千張 以下 增減,持股 超過 1千張 (%),超過 1千張 增減
1915,2237,華德動能-創,27.45,0.45,1.67,26W34,08/21,28.0,0.04,29.4,0.04,70.6,-0.04
1916,3354,律勝,20.3,-0.15,-0.73,26W34,08/21,29.3,0.0,29.3,0.0,70.7,0.0
1917,3296,勝德,24.0,0.3,1.27,26W34,08/21,27.4,0.0,29.3,0.0,70.7,0.0
1918,5880,合庫金,25.05,0.25,1.01,26W34,08/21,28.5,-0.11,29.3,-0.12,70.7,0.12
1919,2889,國票金,15.75,0.1,0.64,26W34,08/21,28.7,0.14,29.3,0.11,70.7,-0.11
1920,3701,大眾控,40.75,0.6,1.49,26W34,08/21,28.9,0.36,29.3,-0.01,70.7,0.01
1921,4556,旭然,74.2,-0.6,-0.8,26W34,08/21,24.9,-0.02,29.3,-0.02,70.7,0.02
1922,1538,正峰,9.16,0.0,0.0,26W34,08/21,29.2,0.0,29.2,0.0,70.8,0.0
1923,9917,中保科,111.0,1.0,0.91,26W34,08/21,27.2,-0.09,29.2,0.14,70.8,-0.14
1924,7799,禾榮科,358.5,-21.0,-5.53,26W34,08/21,26.3,0.05,29.2,0.05,70.8,-0.05
1925,1806,冠軍,8.06,0.04,0.5,26W34,08/21,28.5,-0.07,29.1,-0.3,70.9,0.3
1926,6240,松崗,20.75,-0.35,-1.66,26W34,08/21,24.9,0.0,29.1,0.0,70.9,0.0
1927,2204,中華,55.1,0.1,0.18,26W34,08/21,28.2,-0.53,29.0,-0.7,71.0,0.7
1928,1315,達新,66.3,0.3,0.45,26W34,08/21,28.0,0.0,28.9,0.0,71.1,0.0
1929,6183,關貿,93.6,0.3,0.32,26W34,08/21,28.4,0.0,28.9,0.0,71.1,0.0
1930,2855,統一證,47.1,0.45,0.96,26W34,08/21,27.9,0.06,28.9,-0.11,71.1,0.11
1931,2356,英業達,65.7,1.2,1.86,26W34,08/21,28.0,0.2,28.9,0.2,71.1,-0.2
1932,4551,智伸科,157.5,-4.5,-2.78,26W34,08/21,26.6,0.38,28.9,1.15,71.1,-1.15
1933,2887,台新新光金,37.25,1.3,3.62,26W34,08/21,27.9,-0.04,28.9,-0.08,71.1,0.08
1934,6654,天正國際,165.0,-1.0,-0.6,26W34,08/21,26.7,0.0,28.8,0.0,71.2,0.0
1935,5533,皇鼎,14.0,0.05,0.36,26W34,08/21,26.9,-0.04,28.8,-0.04,71.2,0.04
1936,6582,申豐,32.7,0.7,2.19,26W34,08/21,26.3,0.0,28.8,0.0,71.2,0.0
1937,5205,中茂,20.55,-0.35,-1.67,26W34,08/21,28.7,0.0,28.7,0.0,71.3,0.0
1938,1301,台塑,59.4,1.6,2.77,26W34,08/21,27.9,0.24,28.7,0.23,71.3,-0.23
1939,1259,安心,65.0,0.0,0.0,26W34,08/21,25.9,-2.6,28.7,0.23,71.3,-0.23
1940,2321,東訊,15.4,0.4,2.67,26W34,08/21,28.7,-0.02,28.7,-0.02,71.3,0.02
1941,2072,世紀風電,155.0,4.0,2.65,26W34,08/21,27.8,0.07,28.7,0.05,71.3,-0.05
1942,1506,正道,10.3,0.05,0.49,26W34,08/21,28.0,-0.02,28.6,-0.01,71.4,0.01
1943,6488,環球晶,941.0,-52.0,-5.24,26W34,08/21,26.2,-0.03,28.6,-0.1,71.4,0.1
1944,3093,港建*,45.9,-1.25,-2.65,26W34,08/21,26.8,-0.01,28.5,-0.01,71.5,0.01
1945,7794,宏碁智新,28.55,0.25,0.88,26W34,08/21,28.4,0.0,28.4,0.0,71.6,0.0
