"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料月份","非獨董監持股(萬張)","非獨董監增減張數","非獨董監持股(%)","非獨董監質押(萬張)","非獨董監質押(%)","獨立董監持股(萬張)","獨立董監增減張數","獨立董監持股(%)","獨立董監質押(萬張)","獨立董監質押(%)","全體董監持股(萬張)","全體董監增減張數","全體董監持股(%)","全體董監質押(萬張)","全體董監質押(%)"
"1175","3713","新晶投控","14.6","0","0","26M05","1.88","0","21.4","0","0","0","0","0","0","0","1.88","0","21.4","0","0"
"1176","3714","富采","56.9","-1.7","-2.9","26M05","9.46","0","12.8","0","0","0","0","0","0","0","9.46","0","12.8","0","0"
"1177","4102","永日","19.1","0","0","26M05","0.9","+80","21.3","0","0","0","0","0","0","0","0.9","+80","21.3","0","0"
"1178","4104","佳醫","71.3","0","0","26M05","2.27","0","12.1","0","0","0","0","0","0","0","2.27","0","12.1","0","0"
"1179","4106","雃博","24.65","-0.1","-0.4","26M05","2.81","0","27.8","0","0","0","0","0","0","0","2.81","0","27.8","0","0"
"1180","4107","邦特","114","-0.5","-0.44","26M05","1.56","+18","22.5","0","0","0","0","0","0","0","1.56","+18","22.5","0","0"
"1181","4108","懷特","11.25","+0.05","+0.45","26M05","3.85","+472","19.4","0","0","0","0","0","0","0","3.85","+472","19.4","0","0"
"1182","4109","加捷生醫","11.1","-0.1","-0.89","26M05","0.17","-19,918","1.4","0","0","0","0","0","0","0","0.17","-19,918","1.4","0","0"
"1183","4111","濟生","29.85","-0.2","-0.67","26M05","0.85","0","14.2","0","0","0","0","0.03","0","0","0.85","0","14.3","0","0"
"1184","4116","明基醫","39.4","+0.05","+0.13","26M05","1.94","0","43.4","0","0","0","0","0","0","0","1.94","0","43.4","0","0"
"1185","4119","旭富","53","-2.1","-3.81","26M05","3.68","+506","30.8","0","0","0","0","0.01","0","0","3.68","+506","30.8","0","0"
"1186","4120","友華","49.2","+0.2","+0.41","26M05","1.03","0","11.8","0","0","0","0","0","0","0","1.03","0","11.8","0","0"
"1187","4121","優盛","12.95","-0.05","-0.38","26M05","1.22","+2,652","14.6","0","0","0.01","+89.1","0.11","0","0","1.22","+2,741","14.7","0","0"
"1188","4126","太醫","77","-0.1","-0.13","26M05","0.88","0","12.1","0","0","0","0","0","0","0","0.88","0","12.1","0","0"
"1189","4127","天良","83.3","+0.3","+0.36","26M05","2.05","0","44.8","0","0","0","0","0","0","0","2.05","0","44.8","0","0"
"1190","4128","中天","14.8","-0.2","-1.33","26M05","4.77","0","8.11","0","0","0","0","0","0","0","4.77","0","8.11","0","0"
"1191","4129","聯合","85.2","-2.5","-2.85","26M05","0.96","0","10","0","0","0.02","0","0.19","0","0","0.98","0","10.2","0","0"
"1192","4131","浩泰","32.2","0","0","26M05","1.89","0","47.4","0","0","0","0","0","0","0","1.89","0","47.4","0","0"
"1193","4133","亞諾法","20.8","-0.05","-0.24","26M05","0.9","0","14.8","0","0","0","0","0","0","0","0.9","0","14.8","0","0"
"1194","4137","麗豐-KY","93.2","-0.5","-0.53","26M05","2.86","0","34.7","0","0","0","0","0","0","0","2.86","0","34.7","0","0"
"1195","4138","曜亞","50.7","-0.2","-0.39","26M05","1.36","0","34","0","0","0","0","0","0","0","1.36","0","34","0","0"
"1196","4142","國光生","17.15","-0.15","-0.87","26M05","7.31","0","17","0","0","0","0","0","0","0","7.31","0","17","0","0"
"1197","4148","全宇生技-KY","31.9","-0.65","-2","26M05","0.04","0","0.52","0","0","0","0","0","0","0","0.04","0","0.52","0","0"
"1198","4153","鈺緯","33","+0.2","+0.61","26M05","2.49","0","42.5","0","0","0","0","0","0","0","2.49","0","42.5","0","0"
"1199","4157","太景*-KY","8.84","-0.29","-3.18","26M05","23.5","-663","33","0","0","0","0","0","0","0","23.5","-663","33","0","0"
"1200","4160","訊聯基因","39.8","-0.15","-0.38","26M05","0.79","-336","29.6","0","0","0","0","0","0","0","0.79","-336","29.6","0","0"
