"排名","代號","名稱","成交","漲跌價","漲跌幅","持股資料週別","更新日期","持股超過600張(%)","超過600張增減","持股超過800張(%)","超過800張增減","持股超過1千張(%)","超過1千張增減"
"228","8436","大江","119.5","+1","+0.84","26W18","04/30","33.4","-1.16","29.8","0","29","0"
"229","9802","鈺齊-KY","79","-1.9","-2.35","26W18","04/30","60.5","+0.23","58","+0.6","54.8","-0.23"
"230","8121","越峰","43.5","-1","-2.25","26W18","04/30","56.7","+0.03","55","+0.38","53.1","0"
"231","00963","中信全球高股息","12.64","+0.12","+0.96","26W18","04/30","25.7","+0.68","22.5","+1.46","21.4","+2.44"
"232","3515","華擎","243.5","+0.5","+0.21","26W18","04/30","67.3","+0.03","66.8","+0.02","64.5","+0.02"
"233","1504","東元","68.4","-1.1","-1.58","26W18","04/30","73","+0.03","72","-0.03","71","-0.04"
"234","4763","材料*-KY","43.75","-0.5","-1.13","26W18","04/30","58.5","-1.17","57.4","-1.12","56.6","-1.12"
"235","1316","上曜","10.8","-0.2","-1.82","26W18","04/30","35.1","-0.85","31.4","-0.92","28.6","-1.2"
"236","2498","宏達電","42","+0.2","+0.48","26W18","04/30","38.1","-0.38","36.2","-0.45","35.2","-0.57"
"237","00985B","群益ESG投等債0-5","10.18","+0.03","+0.3","26W18","04/30","38.6","+0.58","35.9","+0.43","33.9","+0.83"
"238","3293","鈊象","762","-37","-4.63","26W18","04/30","48.4","+0.05","45.7","+0.34","43.1","-0.61"
"239","00669R","國泰美國道瓊反1","5.48","+0.05","+0.92","26W18","04/30","41.5","+0.37","38","+0.37","35.9","+0.37"
"240","5469","瀚宇博","80.6","0","0","26W18","04/30","69.8","-1.14","67.8","-1.45","66.2","-1.29"
"241","00996A","主動兆豐台灣豐收","14.37","0","0","26W18","04/30","11.5","+3.59","10.2","+4.2","8.97","+3.93"
"242","2834","臺企銀","17","+0.05","+0.29","26W18","04/30","58.7","-0.11","57","-0.08","55.8","-0.07"
"243","3023","信邦","308","+1.5","+0.49","26W18","04/30","63.7","+0.39","58.3","-0.15","54.3","+0.59"
"244","4532","瑞智","24.1","0","0","26W18","04/30","67.1","-0.31","65.5","-0.19","63.8","-0.39"
