排名,代號,名稱,市 場,成交,漲跌 價,漲跌 幅,成交 張數,法人 買賣 日期,外資 買賣超 張數,投信 買賣超 張數,自營 買賣超 張數,合計 買賣超 張數,外資 持有 (千張),外資 持股 (%),法人 買賣超 註記
274,2887,台新新光金,市,31.9,0.05,0.16,52875,06/26,7636,-721,2853,9768,5802.0,23.3,＋－＋
275,3227,原相,櫃,212.5,-15.0,-6.59,3819,06/26,-1294,73,-242,-1464,35.4,23.3,－＋－
276,9914,美利達,市,73.6,0.8,1.1,1971,06/26,762,0,-24,738,69.7,23.3,＋・－
277,6285,啟碁,市,236.0,-20.5,-7.99,8936,06/26,841,5,-262,584,113.0,23.3,＋＋－
278,2496,卓越,市,63.4,-1.1,-1.71,25,06/26,-2,0,0,-2,4.44,23.2,－・・
279,3033,威健,市,49.0,-0.25,-0.51,11261,06/26,4143,-19,-15,4110,112.0,23.1,＋－－
280,2618,長榮航,市,43.8,-0.7,-1.57,46293,06/26,7123,-252,-369,6501,1246.0,23.1,＋－－
281,2103,台橡,市,20.25,-1.2,-5.59,6076,06/26,-1008,0,-24,-1033,190.0,23.0,－・－
282,2637,慧洋-KY,市,71.7,-4.4,-5.78,4075,06/26,-1384,63,-76,-1397,172.0,23.0,－＋－
283,3014,聯陽,市,154.5,-14.0,-8.31,5736,06/26,-660,45,-58,-674,38.1,23.0,－＋－
284,7827,漢康-KY創,市,174.5,5.5,3.25,853,06/26,221,0,2,223,31.8,22.8,＋・＋
285,2481,強茂,市,175.0,-17.0,-8.85,13911,06/26,314,-1972,-114,-1773,87.0,22.8,＋－－
286,6670,復盛應用,市,251.0,5.5,2.24,1016,06/26,-308,417,-19,90,31.6,22.6,－＋－
287,8213,志超,市,35.65,-1.2,-3.26,771,06/26,-127,0,30,-97,61.2,22.6,－・＋
288,6576,逸達,櫃,78.0,-1.3,-1.64,113,06/26,-10,0,0,-10,35.3,22.4,－・・
289,2376,技嘉,市,319.5,-14.5,-4.34,9847,06/26,-447,837,10,399,149.0,22.3,－＋＋
290,3105,穩懋,櫃,424.0,-39.0,-8.42,33904,06/26,-983,-2894,-498,-4375,94.4,22.3,－－－
291,2369,菱生,市,40.95,-2.45,-5.65,44242,06/26,-2229,0,-84,-2314,84.5,22.2,－・－
292,8437,大地-KY,櫃,10.1,0.05,0.5,35,06/26,-12,0,0,-12,10.4,22.2,－・・
293,3526,凡甲,櫃,304.0,-7.5,-2.41,604,06/26,0,-1,-11,-12,14.6,22.1,－－－
294,2207,和泰車,市,481.0,1.0,0.21,664,06/26,199,2,-2,199,123.0,22.0,＋＋－
295,2882,國泰金,市,106.0,-5.5,-4.93,57625,06/26,-9846,2843,103,-6900,3203.0,21.8,－＋＋
296,5212,凌網,櫃,46.0,0.3,0.66,12,06/26,-1,0,0,-1,7.54,21.8,－・・
297,3481,群創,市,65.0,-5.9,-8.32,735698,06/26,-152253,111,-22189,-174331,1738.0,21.8,－＋－
298,4105,東洋,櫃,74.6,-0.1,-0.13,613,06/26,175,-10,-2,163,54.0,21.7,＋－－
299,6213,聯茂,市,346.5,7.0,2.06,35983,06/26,3833,978,91,4902,78.6,21.6,＋＋＋
300,6175,立敦,櫃,111.0,-5.5,-4.72,11615,06/26,868,0,-118,750,32.3,21.5,＋・－
