代號,名稱,成交,漲跌 價,漲跌 幅,法人 買賣 日期,外資 連續 買賣 日數,外資 連續 買賣 張數,外資 連續 買賣 佔 成交 (%),外資 連續 買賣 佔發 行量 (%),投信 連續 買賣 日數,投信 連續 買賣 張數,投信 連續 買賣 佔 成交 (%),投信 連續 買賣 佔發 行量 (%),自營 商 連續 買賣 日數,自營 商 連續 買賣 張數,自營 商 連續 買賣 佔 成交 (%),自營 商 連續 買賣 佔發 行量 (%),三大 法人 連續 買賣 日數,三大 法人 連續 買賣 張數,三大 法人 連續 買賣 佔 成交 (%),三大 法人 連續 買賣 佔發 行量 (%)
3049,精金,12.75,0.3,2.41,05/25,2,1165,7.77,0.15,0,0,0.0,0.0,1,5,0.06,0.0,2,1166,7.78,0.15
3054,立萬利,69.0,1.4,2.07,05/25,2,90,16.4,0.11,0,0,0.0,0.0,0,0,0.0,0.0,2,90,16.4,0.11
3055,蔚華科,118.0,0.0,0.0,05/25,2,332,2.9,0.29,0,0,0.0,0.0,-4,-437,-1.61,-0.38,2,77,0.67,0.07
3059,華晶科,43.3,-0.25,-0.57,05/25,2,708,2.45,0.23,0,0,0.0,0.0,3,270,0.72,0.09,2,885,3.06,0.29
3158,嘉實,85.6,-0.2,-0.23,05/25,2,4,9.29,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,4,9.29,0.01
3221,台嘉碩,60.2,3.8,6.74,05/25,2,2820,8.7,2.68,0,0,0.0,0.0,-1,-2,-0.01,0.0,2,2945,9.08,2.8
3229,晟鈦,43.55,3.95,9.97,05/25,2,160,10.2,0.25,0,0,0.0,0.0,2,20,1.3,0.03,2,180,11.5,0.28
3230,錦明,32.5,0.15,0.46,05/25,2,156,19.5,0.18,0,0,0.0,0.0,1,0,0.08,0.0,2,156,19.4,0.18
3266,昇陽,12.85,0.45,3.63,05/25,2,45,9.87,0.01,0,0,0.0,0.0,-1,-7,-2.33,0.0,2,39,8.55,0.01
3321,同泰,16.55,0.6,3.76,05/25,2,297,30.0,0.35,0,0,0.0,0.0,1,11,1.74,0.01,2,306,30.9,0.36
3325,旭品,12.4,0.45,3.77,05/25,2,399,30.5,0.36,0,0,0.0,0.0,1,0,0.04,0.0,2,399,30.5,0.36
3373,熱映,16.85,-0.05,-0.3,05/25,2,18,9.62,0.04,0,0,0.0,0.0,0,0,0.0,0.0,2,18,9.62,0.04
3374,精材,258.0,5.0,1.98,05/25,2,71,0.22,0.03,1,151,0.85,0.06,-1,-13,-0.07,0.0,2,468,1.45,0.17
3379,彬台,42.0,-0.8,-1.87,05/25,2,117,4.71,0.31,0,0,0.0,0.0,0,0,0.0,0.0,2,117,4.71,0.31
3434,哲固,29.2,0.2,0.69,05/25,2,4,1.55,0.01,0,0,0.0,0.0,1,0,0.13,0.0,2,4,1.64,0.01
3485,敘豐,291.5,26.5,10.0,05/25,2,35,5.53,0.09,0,0,0.0,0.0,3,10,0.84,0.03,2,40,6.24,0.1
3521,台鋼建設,12.8,-0.25,-1.92,05/25,2,9,5.62,0.01,0,0,0.0,0.0,1,0,0.08,0.0,2,9,5.68,0.01
3535,晶彩科,130.0,2.5,1.96,05/25,2,210,3.15,0.27,0,0,0.0,0.0,1,1,0.02,0.0,2,208,3.12,0.26
3546,宇峻,81.4,0.1,0.12,05/25,2,170,14.9,0.29,0,0,0.0,0.0,5,84,2.01,0.14,2,206,18.0,0.35
3576,聯合再生,19.35,1.1,6.03,05/25,2,15697,22.5,0.96,0,0,0.0,0.0,1,31,0.08,0.0,2,15691,22.5,0.96
3580,友威科,111.0,7.0,6.73,05/25,2,1205,11.7,3.05,0,0,0.0,0.0,1,15,0.27,0.04,2,1220,11.8,3.09
3597,映興,27.6,-0.6,-2.13,05/25,2,22,10.0,0.06,0,0,0.0,0.0,0,0,0.0,0.0,2,22,10.0,0.06
3666,光耀,27.2,-0.05,-0.18,05/25,2,59,27.1,0.04,0,0,0.0,0.0,0,0,0.0,0.0,2,59,27.1,0.04
3672,康聯訊,10.9,-0.5,-4.39,05/25,2,5,3.16,0.01,0,0,0.0,0.0,1,1,1.24,0.0,2,6,3.8,0.01
3686,達能,18.2,-0.05,-0.27,05/25,2,374,28.1,0.49,0,0,0.0,0.0,1,3,0.6,0.0,2,361,27.2,0.47
3689,湧德,125.0,1.5,1.21,05/25,2,806,15.9,0.9,0,0,0.0,0.0,1,35,1.08,0.04,2,835,16.5,0.93
4121,優盛,14.7,0.3,2.08,05/25,2,137,19.1,0.16,0,0,0.0,0.0,0,0,0.0,0.0,2,137,19.1,0.16
4155,訊映,14.75,-0.45,-2.96,05/25,2,43,3.77,0.03,0,0,0.0,0.0,-1,-4,-0.67,0.0,4,48,2.12,0.03
4188,安克,11.4,0.1,0.88,05/25,2,12,12.1,0.02,0,0,0.0,0.0,-1,0,-0.2,0.0,2,12,11.9,0.02
4304,勝昱,28.5,0.0,0.0,05/25,2,6,11.2,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,6,11.5,0.01
4426,利勤,7.6,-0.01,-0.13,05/25,2,77,14.7,0.04,0,0,0.0,0.0,1,6,2.26,0.0,2,83,15.8,0.05
4430,耀億,16.8,-0.1,-0.59,05/25,2,2,3.93,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,2,3.93,0.0
4527,方土霖,44.65,0.75,1.71,05/25,2,4,3.34,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,10,8.34,0.01
4538,大詠城,18.55,0.2,1.09,05/25,2,14,12.8,0.02,0,0,0.0,0.0,1,0,0.14,0.0,2,14,12.9,0.02
4550,長佳,24.85,-0.15,-0.6,05/25,2,5,8.83,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,5,8.83,0.01
4583,台灣精銳,731.0,2.0,0.27,05/25,2,66,19.3,0.08,0,0,0.0,0.0,3,21,4.94,0.03,2,87,25.4,0.11
4706,大恭,31.1,0.1,0.32,05/25,2,6,18.3,0.01,0,0,0.0,0.0,0,0,0.0,0.0,5,11,13.6,0.01
4745,合富-KY,16.5,-0.05,-0.3,05/25,2,27,12.1,0.03,0,0,0.0,0.0,0,0,0.0,0.0,2,27,12.1,0.03
4768,晶呈科技,462.0,7.0,1.54,05/25,2,106,2.19,0.22,0,0,0.0,0.0,1,0,0.01,0.0,1,34,2.32,0.07
4912,聯德控股-KY,110.0,4.0,3.77,05/25,2,331,10.6,0.49,0,0,0.0,0.0,1,3,0.15,0.0,2,334,10.7,0.5
4916,事欣科,101.5,3.2,3.26,05/25,2,2362,3.12,2.14,-5,-638,-0.39,-0.58,-2,-509,-0.67,-0.46,2,1603,2.12,1.45
4931,新盛力,223.5,11.5,5.42,05/25,2,4438,16.7,6.77,0,0,0.0,0.0,-1,-34,-0.24,-0.05,2,4588,17.3,7.0
4933,友輝,74.3,0.4,0.54,05/25,2,146,7.38,0.18,5,565,10.2,0.68,-1,-2,-0.19,0.0,2,373,18.9,0.45
5009,榮剛,36.75,1.15,3.23,05/25,2,731,9.57,0.12,-1,-4,-0.09,0.0,2,365,4.78,0.06,2,1092,14.3,0.18
5016,松和,27.35,2.25,8.96,05/25,2,55,11.3,0.11,0,0,0.0,0.0,-1,-6,-1.42,-0.01,2,49,10.1,0.1
5211,蒙恬,18.2,0.6,3.41,05/25,2,61,9.11,0.19,0,0,0.0,0.0,0,0,0.0,0.0,2,61,9.11,0.19
5212,凌網,46.2,-0.2,-0.43,05/25,2,3,8.93,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,3,8.93,0.01
5258,虹堡,58.3,0.7,1.22,05/25,2,318,9.47,0.29,0,0,0.0,0.0,-5,-4,-0.03,0.0,2,317,9.46,0.29
5276,達輝-KY,19.8,0.9,4.76,05/25,2,6,6.55,0.02,0,0,0.0,0.0,0,0,0.0,0.0,2,6,6.55,0.02
5344,立衛,16.1,-0.1,-0.62,05/25,2,18,8.87,0.02,0,0,0.0,0.0,0,0,0.0,0.0,2,18,8.87,0.02
5483,中美晶,154.5,7.0,4.75,05/25,2,2070,6.21,0.32,-2,-717,-2.15,-0.11,3,860,1.91,0.13,3,2117,4.7,0.33
5488,松普,11.9,0.35,3.03,05/25,2,382,14.2,0.42,0,0,0.0,0.0,0,0,0.0,0.0,2,390,14.5,0.43
5516,雙喜,10.25,-0.45,-4.21,05/25,2,6,2.4,0.01,0,0,0.0,0.0,-1,0,-0.01,0.0,2,6,2.4,0.01
5536,聖暉*,949.0,22.0,2.37,05/25,2,126,5.32,0.1,0,0,0.0,0.0,3,68,1.74,0.05,1,130,12.1,0.1
5543,桓鼎-KY,30.3,0.4,1.34,05/25,2,11,12.1,0.02,0,0,0.0,0.0,0,0,0.0,0.0,2,11,12.1,0.02
5548,安倉,23.4,-0.2,-0.85,05/25,2,5,5.17,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,5,5.17,0.01
6101,寬魚國際,41.85,3.8,9.99,05/25,2,42,1.92,0.04,0,0,0.0,0.0,-1,-2,-0.1,0.0,2,40,1.83,0.03
6133,金橋,24.1,0.0,0.0,05/25,2,358,6.4,0.31,0,0,0.0,0.0,-1,-2,-0.07,0.0,2,356,6.36,0.3
6161,捷波,59.1,5.3,9.85,05/25,2,338,8.52,0.6,0,0,0.0,0.0,1,2,0.1,0.0,2,341,8.58,0.61
6198,瑞築,21.5,-0.35,-1.6,05/25,2,2,9.72,0.0,0,0,0.0,0.0,0,0,0.0,0.0,2,2,9.72,0.0
6206,飛捷,144.0,4.0,2.86,05/25,2,1767,26.4,1.24,-14,-183,-0.34,-0.13,3,187,1.78,0.13,2,1930,28.8,1.35
6221,晉泰,23.05,-0.15,-0.65,05/25,2,36,8.81,0.02,0,0,0.0,0.0,0,0,0.0,0.0,2,36,8.81,0.02
6222,立軒,21.5,0.9,4.37,05/25,2,7,7.43,0.01,0,0,0.0,0.0,0,0,0.0,0.0,4,8,8.04,0.01
6264,富裔,6.04,0.01,0.17,05/25,2,14,3.55,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,14,3.55,0.01
6292,迅德,57.9,3.7,6.83,05/25,2,152,16.3,0.33,0,0,0.0,0.0,0,0,0.0,0.0,2,153,16.4,0.33
6409,旭隼,715.0,38.0,5.61,05/25,2,171,8.24,0.19,-3,-12,-0.4,-0.01,3,57,1.88,0.07,2,206,9.95,0.23
6417,韋僑,145.0,12.5,9.43,05/25,2,28,3.5,0.07,0,0,0.0,0.0,-1,-30,-5.27,-0.07,-1,-3,-0.51,-0.01
6435,大中,254.0,23.0,9.96,05/25,2,468,17.7,1.25,0,0,0.0,0.0,-1,-10,-0.65,-0.03,2,459,17.3,1.22
6451,訊芯-KY,576.0,52.0,9.92,05/25,2,988,11.9,0.92,0,0,0.0,0.0,1,70,1.94,0.07,2,1038,12.5,0.97
6464,台數科,78.0,-0.1,-0.13,05/25,2,14,4.93,0.01,0,0,0.0,0.0,0,0,0.0,0.0,2,14,4.85,0.01
6510,精測,3455.0,50.0,1.47,05/25,2,60,5.53,0.18,1,4,1.02,0.01,3,62,3.26,0.19,1,44,11.2,0.13
6531,愛普*,1055.0,92.0,9.55,05/25,2,808,6.35,0.5,9,6245,7.52,3.83,-1,-17,-0.37,-0.01,2,1084,8.52,0.67
6550,北極星藥業-KY,16.75,0.5,3.08,05/25,2,351,12.7,0.04,0,0,0.0,0.0,-2,-24,-0.87,0.0,2,327,11.8,0.04
6573,虹揚-KY,13.4,0.25,1.9,05/25,2,111,23.2,0.14,0,0,0.0,0.0,0,0,0.0,0.0,2,112,23.4,0.14
6616,特昇-KY,9.73,-0.21,-2.11,05/25,2,22,12.4,0.06,0,0,0.0,0.0,0,0,0.0,0.0,2,22,12.4,0.06
6645,金萬林-創,11.8,-0.15,-1.26,05/25,2,12,6.25,0.02,0,0,0.0,0.0,-1,-1,-1.9,0.0,2,12,6.43,0.02
6658,聯策,212.0,19.0,9.84,05/25,2,197,9.81,0.54,0,0,0.0,0.0,-1,0,0.0,0.0,2,223,11.1,0.61
6669,緯穎,5610.0,85.0,1.54,05/25,2,203,4.96,0.11,-2,-106,-2.59,-0.06,4,137,1.68,0.07,2,152,3.71,0.08
6716,應廣,105.0,3.5,3.45,05/25,2,177,9.07,0.58,0,0,0.0,0.0,1,0,0.04,0.0,2,177,9.06,0.58
6722,輝創,38.15,0.55,1.46,05/25,2,19,8.38,0.02,0,0,0.0,0.0,1,5,4.03,0.01,2,24,10.6,0.03
6754,匯僑設計,44.35,0.0,0.0,05/25,2,4,9.09,0.01,0,0,0.0,0.0,-1,-2,-9.16,0.0,-1,-1,-4.58,0.0
6761,穩得,209.5,8.0,3.97,05/25,2,528,19.5,1.51,0,0,0.0,0.0,1,35,1.82,0.1,4,612,15.6,1.75
